period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,15.9,,,2.79,5.7,,,
2006-06-30,10.09,,,2.98,3.39,,,
2006-09-30,8.07,,,3.04,2.66,,,
2006-12-31,9.48,-0.08,0.0,3.13,3.03,3.46,2.74,
2007-03-31,11.01,-0.08,0.0,3.23,3.41,3.41,3.23,
2007-06-30,14.89,-0.31,0.0,3.17,4.7,3.6,4.14,
2007-09-30,21.67,0.0,0.0,3.66,5.92,3.8,5.7,
2007-12-31,18.32,0.33,55.5,4.11,4.46,4.0,4.58,
2008-03-31,15.04,0.51,29.49,4.2,3.58,4.18,3.6,
2008-06-30,18.44,0.84,21.96,4.47,4.12,4.35,4.24,
2008-09-30,14.82,0.88,16.84,4.77,3.11,4.56,3.25,
2008-12-31,10.76,0.67,16.06,4.89,2.2,4.43,2.43,
2009-03-31,13.22,0.48,27.55,4.98,2.65,4.31,3.07,
2009-06-30,19.12,0.44,43.45,5.25,3.64,4.3,4.45,
2009-09-30,20.01,0.49,40.83,5.78,3.46,4.25,4.71,
2009-12-31,20.45,0.54,37.87,6.06,3.38,4.56,4.48,
2010-03-31,19.02,0.73,26.06,6.4,2.97,5.02,3.79,
2010-06-30,15.24,0.81,18.81,6.84,2.23,5.34,2.85,
2010-09-30,13.93,0.82,16.99,7.07,1.97,5.8,2.4,
2010-12-31,14.09,0.78,18.07,7.04,2.0,5.77,2.44,
2011-03-31,12.11,0.66,18.34,6.97,1.74,5.67,2.13,
2011-06-30,13.16,0.59,22.3,6.79,1.94,5.7,2.31,
2011-09-30,8.68,0.4,21.71,7.04,1.23,5.5,1.58,
2011-12-31,12.86,0.38,33.83,7.18,1.79,5.61,2.29,
2012-03-31,16.78,0.41,40.93,7.4,2.27,5.8,2.9,
2012-06-30,16.93,0.49,34.56,7.73,2.19,5.95,2.85,
2012-09-30,16.85,0.49,34.39,8.05,2.09,5.95,2.83,
2012-12-31,19.9,0.43,46.28,7.24,2.75,5.93,3.36,
2013-03-31,21.77,0.42,51.83,7.52,2.89,5.87,3.71,
2013-06-30,21.54,0.38,56.68,7.87,2.74,5.76,3.74,
2013-09-30,27.05,0.41,65.97,8.3,3.26,5.88,4.6,
2013-12-31,30.96,0.59,52.48,8.45,3.67,6.2,5.0,
2014-03-31,34.63,0.75,46.18,8.65,4.0,6.35,5.45,
2014-06-30,37.97,0.77,49.31,8.63,4.4,6.57,5.78,
2014-09-30,39.62,0.86,46.07,8.8,4.5,6.87,5.77,
2014-12-31,44.88,0.89,50.42,8.92,5.03,7.12,6.3,
2015-03-31,47.69,0.81,58.87,8.8,5.42,7.41,6.43,
2015-06-30,46.1,0.84,54.88,8.95,5.15,7.68,6.0,
