period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,16.54,,,8.63,1.92,,,
2006-06-30,17.31,,,8.86,1.95,,,
2006-09-30,20.09,,,8.88,2.26,,,
2006-12-31,21.08,2.03,10.39,8.1,2.6,10.35,2.04,
2007-03-31,21.54,2.12,10.16,8.54,2.52,10.52,2.05,
2007-06-30,24.47,2.2,11.12,8.98,2.72,10.68,2.29,
2007-09-30,25.59,2.47,10.36,9.53,2.69,10.97,2.33,
2007-12-31,28.96,1.49,19.43,8.37,3.46,11.06,2.62,
2008-03-31,19.08,2.23,8.55,9.09,2.1,11.09,1.72,
2008-06-30,19.14,2.28,8.39,9.45,2.02,11.11,1.72,
2008-09-30,16.2,2.09,7.75,9.26,1.75,11.13,1.46,
2008-12-31,15.83,3.63,4.36,10.04,1.58,11.09,1.43,
2009-03-31,14.16,2.78,5.09,10.43,1.36,10.97,1.29,
2009-06-30,15.01,2.7,5.56,10.78,1.39,10.95,1.37,
2009-09-30,17.19,3.8,4.52,12.02,1.43,11.03,1.56,
2009-12-31,20.06,5.65,3.55,19.78,1.01,12.65,1.59,
2010-03-31,20.72,5.07,4.09,19.36,1.07,13.74,1.51,
2010-06-30,19.61,4.57,4.29,18.71,1.05,14.57,1.35,
2010-09-30,20.86,3.07,6.79,18.85,1.11,15.29,1.36,
2010-12-31,20.64,0.28,73.72,18.43,1.12,14.73,1.4,
2011-03-31,19.13,0.53,36.09,18.42,1.04,14.82,1.29,
2011-06-30,20.67,0.94,21.99,18.79,1.1,15.1,1.37,
2011-09-30,19.38,1.38,14.05,18.87,1.03,15.4,1.26,
2011-12-31,22.61,2.02,11.2,18.73,1.21,15.5,1.46,
2012-03-31,23.29,2.24,10.4,18.84,1.24,15.59,1.49,
2012-06-30,25.6,2.17,11.8,18.98,1.35,15.69,1.63,
2012-09-30,27.92,2.18,12.81,19.12,1.46,15.53,1.8,
2012-12-31,25.58,2.0,12.79,18.33,1.4,15.37,1.66,
2013-03-31,27.89,1.96,14.23,18.43,1.51,15.05,1.85,
2013-06-30,29.58,1.68,17.61,17.12,1.73,14.7,2.01,
2013-09-30,30.59,1.5,20.39,17.09,1.79,14.7,2.08,
2013-12-31,32.45,1.47,22.07,17.87,1.82,14.66,2.21,
2014-03-31,37.09,1.52,24.4,17.94,2.07,14.62,2.54,
2014-06-30,38.08,1.9,20.04,16.73,2.28,14.67,2.6,
2014-09-30,39.31,1.83,21.48,15.86,2.48,14.57,2.7,
2014-12-31,37.94,4.07,9.32,17.19,2.21,14.37,2.64,
2015-03-31,38.71,3.83,10.11,16.94,2.29,14.2,2.73,
2015-06-30,38.64,3.39,11.4,16.52,2.34,13.93,2.77,
2015-09-30,33.81,3.72,9.09,16.3,2.07,13.85,2.44,
2015-12-31,36.47,1.56,23.38,16.1,2.27,13.87,2.63,
2016-03-31,36.85,1.63,22.61,15.85,2.32,13.91,2.65,
2016-06-30,40.45,1.82,22.23,15.71,2.57,14.01,2.89,
2016-09-30,44.14,1.96,22.52,15.92,2.77,14.24,3.1,
2016-12-31,41.96,1.41,29.76,14.66,2.86,14.27,2.94,
2017-03-31,45.61,1.57,29.05,14.63,3.12,14.35,3.18,
2017-06-30,46.35,1.85,25.05,14.56,3.18,14.43,3.21,
2017-09-30,46.64,1.05,44.42,14.12,3.3,14.43,3.23,
2017-12-31,41.33,0.87,47.51,12.82,3.22,14.6,2.83,
2018-03-31,40.36,0.58,69.59,12.59,3.21,14.89,2.71,
2018-06-30,45.32,0.5,90.65,12.27,3.69,15.17,2.99,
2018-09-30,53.33,1.25,42.67,12.28,4.34,15.41,3.46,
2018-12-31,57.85,2.32,24.93,10.37,5.58,15.72,3.68,
2019-03-31,63.39,3.17,20.0,10.71,5.92,16.17,3.92,
2019-06-30,64.34,3.57,18.02,10.81,5.95,16.84,3.82,
2019-09-30,65.02,3.58,18.16,10.56,6.16,17.62,3.69,
2019-12-31,70.73,3.81,18.56,10.24,6.91,15.13,4.68,
2020-03-31,60.33,3.95,15.27,10.42,5.79,15.71,3.84,
2020-06-30,61.12,4.1,14.91,10.97,5.57,14.85,4.12,
2020-09-30,66.04,4.52,14.61,11.57,5.71,14.34,4.61,
2020-12-31,65.63,2.78,23.61,10.04,6.54,16.34,4.02,
2021-03-31,62.4,2.77,22.53,10.68,5.84,15.79,3.95,
2021-06-30,66.54,2.2,30.24,13.18,5.05,16.59,4.01,
2021-09-30,64.84,2.84,22.83,14.2,4.57,17.47,3.71,12.56
2021-12-31,66.79,5.14,12.99,15.14,4.41,19.19,3.48,10.97
2022-03-31,72.14,5.59,12.9,16.2,4.45,21.27,3.39,11.23
2022-06-30,80.81,6.53,12.38,17.1,4.73,22.53,3.59,13.15
2022-09-30,76.95,6.01,12.8,17.57,4.38,23.23,3.31,12.51
2022-12-31,99.79,5.71,17.48,18.15,5.5,23.34,4.28,15.45
2023-03-31,96.36,5.12,18.82,18.49,5.21,22.75,4.24,15.24
2023-06-30,105.21,1.22,86.24,15.26,6.9,22.93,4.59,15.71
2023-09-30,94.5,1.8,52.5,16.29,5.8,23.31,4.05,13.33
2023-12-31,100.8,0.14,720.01,14.87,6.78,23.61,4.27,17.47
2024-03-31,122.78,0.9,136.42,15.96,7.69,24.14,5.09,15.35
2024-06-30,115.88,5.39,21.5,17.21,6.73,24.55,4.72,13.97
2024-09-30,107.01,4.77,22.43,17.6,6.08,24.83,4.31,13.31
2024-12-31,94.49,6.74,14.02,18.35,5.15,25.24,3.74,11.05
2025-03-31,86.0,6.88,12.5,19.24,4.47,25.17,3.42,10.0
2025-06-30,76.6,6.5,11.78,19.6,3.91,25.13,3.05,8.83
2025-09-30,82.02,7.58,10.82,20.87,3.93,25.49,3.22,9.16
2025-12-31,103.74,7.28,14.25,21.28,4.87,25.88,4.01,12.18
2026-03-31,119.43,3.55,33.64,18.6,6.42,26.34,4.53,23.47
