period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-01-31,29.12,,,5.16,5.64,,,
2006-04-30,24.3,,,5.43,4.47,,,
2006-07-31,15.79,,,5.55,2.84,,,
2006-10-31,15.56,0.21,74.09,5.64,2.76,3.32,4.68,
2007-01-31,15.57,-0.02,0.0,5.49,2.83,3.61,4.31,
2007-04-30,13.74,-0.23,0.0,5.48,2.51,3.88,3.54,
2007-07-31,15.32,-0.4,0.0,5.47,2.8,4.09,3.75,
2007-10-31,15.35,-0.42,0.0,5.58,2.75,4.54,3.38,
2008-01-31,10.1,-0.19,0.0,5.69,1.78,4.91,2.06,
2008-04-30,11.02,0.01,0.0,5.86,1.88,5.12,2.15,
2008-07-31,12.59,0.22,57.22,6.07,2.07,5.32,2.36,
2008-10-31,5.92,0.34,17.42,6.25,0.95,5.29,1.12,
2009-01-31,6.21,0.23,26.98,6.21,1.0,4.68,1.33,
2009-04-30,9.35,-0.06,0.0,6.05,1.54,4.23,2.21,
2009-07-31,11.35,-0.08,0.0,6.19,1.83,3.9,2.91,
2009-10-31,11.69,0.12,97.39,6.57,1.78,3.86,3.03,
2010-01-31,14.84,0.54,27.47,6.92,2.14,4.34,3.42,
2010-04-30,17.59,1.02,17.24,7.29,2.41,4.76,3.7,
2010-07-31,12.7,1.26,10.08,7.66,1.66,5.1,2.49,
2010-10-31,16.41,1.33,12.34,8.04,2.04,5.3,3.1,
2011-01-31,16.18,1.34,12.08,8.37,1.93,5.34,3.03,
2011-04-30,13.13,1.26,10.42,8.02,1.64,5.3,2.48,
2011-07-31,12.61,1.24,10.17,8.3,1.52,5.41,2.33,
2011-10-31,11.91,1.18,10.09,8.64,1.38,5.54,2.15,
2012-01-31,13.23,0.99,13.36,8.59,1.54,5.4,2.45,
2012-04-30,12.78,0.93,13.74,8.74,1.46,5.52,2.31,
2012-07-31,9.63,0.78,12.35,8.61,1.12,5.51,1.75,
2012-10-31,6.79,0.58,11.71,8.74,0.78,5.36,1.27,
2013-01-31,8.02,0.54,14.84,8.82,0.91,5.54,1.45,
2013-04-30,9.38,0.49,19.14,8.84,1.06,5.66,1.66,
2013-07-31,11.37,0.45,25.27,8.92,1.27,5.84,1.95,
2013-10-31,10.56,0.54,19.56,9.07,1.16,6.3,1.68,
2014-01-31,13.2,0.63,20.96,9.31,1.42,6.77,1.95,
2014-04-30,14.08,0.71,19.83,9.39,1.5,7.16,1.97,
2014-07-31,11.89,0.86,13.83,9.65,1.23,7.39,1.61,
2014-10-31,12.03,0.87,13.83,9.85,1.22,7.32,1.64,
2015-01-31,13.92,0.84,16.57,9.99,1.39,7.12,1.96,
2015-04-30,12.64,0.68,18.58,9.91,1.27,6.65,1.9,
2015-07-31,11.27,-1.08,0.0,8.24,1.37,6.18,1.82,
2015-10-31,7.49,-1.41,0.0,8.04,0.93,5.73,1.31,
2016-01-31,8.13,-1.56,0.0,8.16,1.0,5.3,1.53,
2016-04-30,9.22,-1.63,0.0,8.02,1.15,4.95,1.86,
2016-07-31,10.92,-0.04,0.0,8.13,1.34,4.73,2.31,
2016-10-31,12.17,0.21,57.93,8.23,1.48,4.59,2.65,
2017-01-31,13.94,0.04,348.6,7.96,1.75,4.46,3.13,
2017-04-30,14.14,0.29,48.75,7.88,1.79,4.55,3.11,
2017-07-31,14.7,0.51,28.82,8.02,1.83,4.57,3.22,
2017-10-31,17.51,0.77,22.73,8.27,2.12,4.6,3.81,
2018-01-31,22.17,1.02,21.74,8.35,2.66,4.72,4.7,
2018-04-30,19.12,1.06,18.04,8.57,2.23,4.8,3.98,
2018-07-31,20.37,0.75,27.16,11.64,1.75,4.8,4.24,
2018-10-31,15.73,0.27,58.27,11.52,1.37,4.87,3.23,
2019-01-31,17.84,-0.3,0.0,11.1,1.61,4.93,3.62,
2019-04-30,24.16,-0.62,0.0,10.94,2.21,4.74,5.09,
2019-07-31,25.41,-0.72,0.0,10.8,2.35,4.55,5.59,
2019-10-31,23.67,-0.76,0.0,10.68,2.22,4.25,5.57,
2020-01-31,23.38,2.34,9.99,13.08,1.79,4.05,5.78,
2020-04-30,26.08,2.24,11.64,12.83,2.03,4.09,6.38,
2020-07-31,35.62,2.09,17.04,12.56,2.84,4.19,8.51,
2020-10-31,36.69,2.18,16.83,12.49,2.94,4.32,8.5,
2021-01-31,50.4,-0.41,0.0,12.49,4.04,4.45,11.33,
2021-04-30,44.33,-0.37,0.0,18.2,2.44,4.6,9.63,
2021-07-31,59.4,-0.47,0.0,17.9,3.32,4.82,12.32,
2021-10-30,,,,,,,,40.78
2021-10-31,67.3,-0.52,0.0,18.64,3.61,5.17,13.03,
2022-01-29,,,,,,,,31.8
2022-01-31,70.2,-0.53,0.0,18.55,3.79,5.66,12.41,
2022-04-30,57.16,-0.6,0.0,18.18,3.14,6.16,9.27,25.32
2022-07-30,,,,,,,,22.58
2022-07-31,54.87,-0.25,0.0,18.22,3.01,6.62,8.29,
2022-10-29,,,,,,,,16.32
2022-10-31,39.15,-0.15,0.0,18.24,2.15,6.95,5.63,
2023-01-28,,,,,,,,23.54
2023-01-31,42.64,-0.19,0.0,18.27,2.33,6.93,6.15,
2023-04-29,,,,,,,,25.85
2023-04-30,39.08,-0.19,0.0,18.02,2.17,6.77,5.77,
2023-07-29,,,,,,,,37.83
2023-07-31,64.53,-0.44,0.0,17.83,3.62,6.56,9.84,
2023-10-28,,,,,,,,24.3
2023-10-31,46.84,-0.65,0.0,17.63,2.66,6.41,7.31,
2024-01-31,67.22,-1.08,0.0,17.14,3.92,6.4,10.5,
2024-02-03,,,,,,,,36.15
2024-04-30,65.5,-1.13,0.0,16.73,3.92,6.2,10.56,
2024-05-04,,,,,,,,48.06
2024-07-31,66.62,-1.11,0.0,16.4,4.06,6.11,10.9,
2024-08-03,,,,,,,,35.77
2024-10-31,79.74,-1.7,0.0,15.46,5.16,6.22,12.82,
2024-11-02,,,,,,,,41.59
2025-01-31,112.4,-1.02,0.0,15.5,7.25,6.66,16.87,
2025-02-01,,,,,,,,43.66
2025-04-30,58.2,-0.57,0.0,15.44,3.77,7.49,7.77,
2025-05-03,,,,,,,,22.28
2025-07-31,80.2,-0.13,0.0,15.57,5.15,8.32,9.64,
2025-08-02,,,,,,,,25.07
2025-10-31,93.6,2.85,32.84,16.56,5.65,8.97,10.43,
2025-11-01,,,,,,,,30.57
2026-01-31,78.86,3.07,25.69,16.89,4.67,9.42,8.37,23.66
2026-04-30,165.11,2.91,56.74,20.8,7.94,9.96,16.57,
2026-05-02,,,,,,,,43.08
2026-07-31,187.56,3.02,62.11,21.14,8.87,10.63,17.64,
2026-08-01,,,,,,,,41.24
2026-09-14,218.82,,72.46,,10.35,,20.58,40.1
