period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-02-28,31.87,,,28.14,1.13,,,
2006-05-31,31.99,,,30.09,1.06,,,
2006-08-31,35.45,,,32.28,1.1,,,
2006-11-30,41.18,4.98,8.27,,0.0,52.3,0.79,
2007-02-28,40.65,6.01,6.76,35.75,1.14,57.25,0.71,
2007-05-31,46.29,6.71,6.9,37.57,1.23,64.61,0.72,
2007-08-31,41.06,6.4,6.42,33.18,1.24,67.05,0.61,
2007-11-30,34.84,6.4,5.44,,0.0,67.05,0.52,
2007-12-31,35.1,0.39,90.0,,0.0,57.95,0.61,
2008-02-29,28.0,-0.61,0.0,30.11,0.93,52.93,0.53,
2008-03-31,30.38,-0.79,0.0,,0.0,51.82,0.59,
2008-05-31,29.57,0.16,184.82,31.11,0.95,67.31,0.44,
2008-06-30,24.12,4.68,5.15,,0.0,69.01,0.35,
2008-08-31,27.5,4.55,6.04,32.25,0.85,64.56,0.43,
2008-09-30,15.49,10.67,1.45,,0.0,71.37,0.22,
2008-11-30,10.06,9.72,1.03,49.19,0.2,55.89,0.18,
2008-12-31,10.94,0.43,25.44,46.03,0.24,46.34,0.24,
2009-03-31,15.74,-1.46,0.0,45.49,0.35,35.91,0.44,
2009-06-30,19.77,-9.94,0.0,37.86,0.52,16.31,1.21,
2009-09-30,21.46,-9.56,0.0,38.43,0.56,23.87,0.9,
2009-12-31,20.6,-0.77,0.0,38.79,0.53,25.55,0.81,
2010-03-31,20.42,0.79,25.85,39.46,0.52,26.82,0.76,
2010-06-30,16.21,2.98,5.44,42.35,0.38,26.11,0.62,
2010-09-30,17.27,2.53,6.82,43.35,0.4,24.46,0.71,
2010-12-31,19.08,2.63,7.25,43.26,0.44,24.25,0.79,
2011-03-31,19.19,2.14,8.97,43.05,0.45,24.23,0.79,
2011-06-30,16.19,0.67,24.16,35.33,0.46,26.43,0.61,
2011-09-30,9.53,1.89,5.04,36.36,0.26,26.63,0.36,
2011-12-31,10.7,1.23,8.7,36.37,0.29,24.38,0.44,
2012-03-31,13.93,0.67,20.79,35.68,0.39,22.52,0.62,
2012-06-30,10.38,1.34,7.74,36.23,0.29,19.25,0.54,
2012-09-30,11.95,-0.36,0.0,33.0,0.36,16.75,0.71,
2012-12-31,13.69,-0.02,0.0,33.14,0.41,16.89,0.81,
2013-03-31,15.77,0.52,30.34,33.7,0.47,17.17,0.92,
2013-06-30,17.57,0.64,27.46,33.74,0.52,17.67,0.99,
2013-09-30,19.42,1.64,11.84,34.94,0.56,18.7,1.04,
2013-12-31,22.64,1.36,16.65,35.49,0.64,18.91,1.2,
2014-03-31,22.54,1.62,13.91,35.64,0.63,19.18,1.18,
2014-06-30,23.45,2.13,11.01,36.75,0.64,19.14,1.23,
2014-09-30,25.16,2.51,10.02,37.79,0.67,19.44,1.29,
2014-12-31,28.32,1.6,17.7,36.96,0.77,19.26,1.47,
2015-03-31,26.12,2.04,12.8,38.28,0.68,19.67,1.33,
2015-06-30,28.51,1.97,14.47,38.9,0.73,20.12,1.42,
2015-09-30,23.24,1.62,14.34,39.43,0.59,19.52,1.19,
2015-12-31,23.58,2.9,8.13,39.68,0.59,19.37,1.22,
2016-03-31,18.65,2.27,8.21,39.82,0.47,18.38,1.01,
2016-06-30,19.47,2.17,8.97,40.87,0.48,18.15,1.07,
2016-09-30,24.2,2.5,9.68,41.81,0.58,18.94,1.28,
2016-12-31,32.08,2.92,10.99,41.66,0.77,20.03,1.6,
2017-03-31,32.68,3.37,9.7,42.7,0.77,21.46,1.52,
2017-06-30,34.14,3.49,9.78,43.47,0.79,22.3,1.53,
2017-09-30,37.11,3.61,10.28,44.2,0.84,23.09,1.61,
2017-12-31,40.62,3.07,13.23,43.88,0.93,23.88,1.7,
2018-03-31,41.95,3.52,11.92,44.81,0.94,25.26,1.66,
2018-06-30,37.03,3.95,9.37,46.01,0.8,26.76,1.38,
2018-09-30,36.6,4.19,8.73,46.4,0.79,28.12,1.3,
2018-12-31,31.37,4.73,6.63,47.89,0.66,28.74,1.09,
2019-03-31,33.63,4.67,7.2,48.57,0.69,29.51,1.14,
2019-06-30,35.13,4.6,7.64,49.94,0.7,30.37,1.16,
2019-09-30,34.48,4.7,7.34,51.46,0.67,31.18,1.11,
2019-12-31,41.62,5.19,8.02,51.88,0.8,32.7,1.27,
2020-03-31,27.86,4.81,5.79,55.37,0.5,32.19,0.87,
2020-06-30,39.93,5.54,7.21,55.84,0.72,33.16,1.2,
2020-09-30,40.25,5.93,6.79,56.97,0.71,32.92,1.22,
2020-12-31,57.48,6.46,8.9,57.0,1.01,33.29,1.73,
2021-03-31,65.47,7.64,8.57,57.57,1.14,34.58,1.89,
2021-06-30,77.62,7.53,10.31,58.96,1.32,33.53,2.32,
2021-09-30,82.99,7.85,10.57,59.55,1.39,33.98,2.44,
2021-12-31,84.29,8.03,10.5,60.15,1.4,33.56,2.51,
2022-03-31,75.57,7.86,9.61,59.26,1.28,33.37,2.26,
2022-06-30,66.33,7.4,8.96,59.58,1.11,33.56,1.98,
2022-09-30,69.56,6.89,10.1,60.26,1.15,35.03,1.99,
2022-12-31,75.58,6.15,12.29,60.42,1.25,38.32,1.97,
2023-03-31,78.68,5.83,13.5,61.04,1.29,42.96,1.83,
2023-06-30,77.19,5.68,13.59,61.11,1.26,48.11,1.6,
2023-09-30,74.5,5.59,13.33,60.99,1.22,52.6,1.42,
2023-12-31,86.1,5.18,16.62,61.46,1.4,55.6,1.55,
2024-03-31,87.79,5.5,15.96,61.56,1.43,58.53,1.5,
2024-06-30,91.46,6.08,15.04,62.76,1.46,61.43,1.49,
2024-09-30,98.97,6.58,15.04,64.93,1.52,64.18,1.54,
2024-12-31,120.31,7.95,15.13,65.62,1.83,66.57,1.81,
2025-03-31,112.4,8.53,13.18,67.12,1.67,68.52,1.64,
2025-06-30,136.79,8.84,15.47,68.37,2.0,70.51,1.94,
2025-09-30,155.44,9.76,15.93,69.8,2.23,73.11,2.13,
2025-12-31,174.65,10.21,17.11,71.17,2.45,75.09,2.33,
2026-03-31,162.79,11.04,14.75,73.05,2.23,77.91,2.09,
2026-06-30,207.9,12.37,16.81,74.71,2.78,81.46,2.55,
