period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,18.92,,,4.11,4.6,,,
2006-06-30,16.27,,,3.99,4.08,,,
2006-09-30,19.16,,,3.68,5.21,,,
2006-12-31,20.99,1.18,17.79,3.75,5.6,4.51,4.66,
2007-03-31,19.66,1.39,14.15,3.65,5.38,4.92,3.99,
2007-06-30,20.86,1.42,14.69,3.32,6.29,5.15,4.05,
2007-09-30,20.92,1.52,13.77,3.44,6.09,5.52,3.79,
2007-12-31,25.37,1.76,14.41,3.69,6.87,5.98,4.24,
2008-03-31,20.3,1.73,11.74,4.03,5.03,6.05,3.35,
2008-06-30,19.75,1.87,10.56,3.97,4.98,6.37,3.1,
2008-09-30,19.24,1.9,10.13,3.74,5.14,6.57,2.93,
2008-12-31,14.11,1.87,7.54,3.88,3.64,6.71,2.1,
2009-03-31,13.42,1.73,7.76,4.15,3.23,6.71,2.0,
2009-06-30,17.48,1.62,10.79,4.44,3.94,6.49,2.69,
2009-09-30,19.02,1.54,12.35,4.63,4.11,6.29,3.02,
2009-12-31,22.64,1.81,12.51,5.03,4.5,6.55,3.46,
2010-03-31,21.86,1.93,11.32,5.22,4.19,6.65,3.29,
2010-06-30,17.25,2.1,8.21,5.33,3.24,6.99,2.47,
2010-09-30,18.46,2.32,7.95,5.48,3.37,7.42,2.49,
2010-12-31,21.16,2.35,9.01,5.77,3.67,7.62,2.78,
2011-03-31,19.37,2.51,7.72,6.34,3.05,7.92,2.45,
2011-06-30,19.96,2.69,7.42,6.82,2.93,8.14,2.45,
2011-09-30,19.23,2.75,6.99,7.06,2.72,8.33,2.31,
2011-12-31,20.21,2.76,7.32,7.65,2.64,8.46,2.39,
2012-03-31,25.28,2.75,9.19,8.17,3.09,8.58,2.94,
2012-06-30,24.12,2.0,12.06,7.92,3.05,8.68,2.78,
2012-09-30,23.63,1.85,12.77,8.17,2.89,8.52,2.77,
2012-12-31,21.37,1.83,11.68,8.67,2.47,8.6,2.49,
2013-03-31,23.08,1.95,11.84,9.19,2.51,8.98,2.57,
2013-06-30,28.06,2.58,10.88,9.48,2.96,9.21,3.05,
2013-09-30,27.23,2.67,10.2,9.78,2.78,9.52,2.86,
2013-12-31,30.84,2.69,11.47,10.25,3.01,9.9,3.12,
2014-03-31,34.05,2.65,12.85,10.58,3.22,9.91,3.44,
2014-06-30,34.88,2.63,13.26,10.9,3.2,10.34,3.37,
2014-09-30,39.02,2.55,15.3,10.92,3.57,10.92,3.57,
2014-12-31,39.34,2.48,15.86,11.18,3.52,11.19,3.52,
2015-03-31,34.69,2.41,14.39,11.11,3.12,11.39,3.05,
2015-06-30,37.91,1.48,25.61,9.98,3.8,11.29,3.36,
2015-09-30,38.25,1.55,24.68,9.7,3.94,11.04,3.47,
2015-12-31,48.27,1.46,33.06,9.69,4.98,10.8,4.47,
