period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-02-28,15.12,,,10.29,1.47,,,
2006-05-31,16.15,,,10.44,1.55,,,
2006-08-31,16.85,,,10.83,1.56,,,
2006-11-30,14.24,0.63,22.6,10.97,1.3,7.39,1.93,
2007-02-28,11.57,0.29,39.88,10.91,1.06,7.53,1.53,
2007-05-31,11.88,-0.12,0.0,10.42,1.14,7.39,1.61,
2007-08-31,11.17,-0.42,0.0,10.23,1.09,7.37,1.52,
2007-11-30,8.11,-0.91,0.0,9.86,0.82,7.39,1.1,
2008-02-29,7.33,-1.85,0.0,8.86,0.83,7.3,1.0,
2008-05-31,7.87,-1.86,0.0,8.55,0.92,7.55,1.04,
2008-08-31,4.13,-2.14,0.0,8.12,0.51,7.56,0.55,
2008-11-30,2.67,-2.73,0.0,7.18,0.37,7.39,0.36,
2009-02-28,3.14,-2.71,0.0,6.1,0.51,6.91,0.45,
2009-05-31,4.93,-2.78,0.0,5.55,0.89,6.33,0.78,
2009-08-31,7.19,-2.35,0.0,8.18,0.88,6.08,1.18,
2009-11-30,7.33,-1.19,0.0,8.34,0.88,6.01,1.22,
2010-02-28,8.83,0.19,46.5,8.67,1.02,6.68,1.32,
2010-05-31,8.86,1.48,5.99,9.53,0.93,7.5,1.18,
2010-08-31,6.3,1.85,3.41,9.87,0.64,8.24,0.76,
2010-11-30,7.09,1.77,4.01,10.03,0.71,8.69,0.82,
2011-02-28,10.85,1.45,7.49,9.95,1.09,8.91,1.22,
2011-05-31,9.95,0.6,16.58,9.99,1.0,8.79,1.13,
2011-08-31,5.76,0.17,33.9,10.01,0.58,8.54,0.68,
2011-11-30,5.84,-0.17,0.0,9.83,0.59,8.48,0.69,
2012-02-29,8.34,-0.53,0.0,9.46,0.88,8.35,1.0,
2012-05-31,5.69,-0.92,0.0,8.53,0.67,8.5,0.67,
2012-08-31,6.06,-1.04,0.0,8.27,0.73,8.35,0.72,
2012-11-30,5.82,-1.12,0.0,8.02,0.73,8.03,0.72,
2013-02-28,8.17,-1.11,0.0,7.75,1.05,8.03,1.02,
2013-05-31,11.39,-0.75,0.0,7.76,1.47,8.05,1.42,
2013-08-31,13.23,1.13,11.71,9.58,1.38,8.76,1.51,
2013-11-30,20.58,1.7,12.1,9.59,2.15,10.33,1.99,
2014-02-28,23.59,2.59,9.11,9.39,2.51,11.7,2.02,
2014-05-31,27.88,3.23,8.63,10.0,2.79,12.84,2.17,
2014-08-31,31.79,2.54,12.52,10.78,2.95,13.67,2.32,
2014-11-30,35.06,3.08,11.38,11.62,3.02,14.12,2.48,
2015-02-28,29.91,3.25,9.2,12.25,2.44,14.2,2.11,
2015-05-31,27.24,2.99,9.11,12.33,2.21,14.15,1.92,
2015-08-31,16.0,2.47,6.48,12.74,1.26,13.7,1.17,
2015-11-30,15.53,1.82,8.54,12.83,1.21,12.96,1.2,
2016-02-29,10.37,0.95,10.91,12.77,0.81,12.29,0.84,
2016-05-31,12.4,0.32,38.76,12.57,0.99,11.79,1.05,
2016-08-31,16.08,-0.27,0.0,12.43,1.29,11.82,1.36,
2016-11-30,19.04,-0.3,0.0,11.99,1.59,12.37,1.54,
2017-02-28,22.86,0.56,40.82,13.68,1.67,13.55,1.69,
2017-05-31,30.01,2.17,13.83,15.33,1.96,15.48,1.94,
2017-08-31,31.18,4.41,7.07,17.51,1.78,17.69,1.76,
2017-11-30,41.34,6.44,6.42,20.2,2.05,19.61,2.11,
2018-02-28,47.6,8.34,5.71,22.94,2.07,21.54,2.21,
2018-05-31,56.16,10.04,5.59,25.45,2.21,23.12,2.43,
2018-08-31,51.21,11.51,4.45,28.57,1.79,24.67,2.08,
2018-11-30,37.6,12.13,3.1,31.02,1.21,25.86,1.45,
2019-02-28,39.86,10.88,3.66,32.03,1.24,25.03,1.59,
2019-05-31,31.8,8.52,3.73,32.78,0.97,22.96,1.38,
2019-08-31,44.14,5.51,8.01,33.25,1.33,20.36,2.17,
2019-11-30,46.33,3.13,14.8,32.94,1.41,18.17,2.55,
2020-02-29,51.25,2.07,24.76,33.29,1.54,17.29,2.96,
2020-05-31,46.72,2.04,22.9,34.01,1.37,17.87,2.61,
2020-08-31,44.38,2.37,18.73,35.04,1.27,18.96,2.34,
2020-11-30,62.5,2.65,23.58,35.73,1.75,19.49,3.21,
2021-02-28,89.25,2.82,31.65,36.27,2.46,20.71,4.31,
2021-05-31,82.05,3.63,22.6,37.73,2.17,22.37,3.67,
2021-08-31,71.87,5.14,13.98,39.26,1.83,24.27,2.96,
2021-09-02,,,,,,,,7.09
2021-11-30,82.03,6.47,12.68,40.99,2.0,25.99,3.16,
2021-12-02,,,,,,,,9.2
2022-02-28,86.86,7.94,10.94,42.8,2.03,27.43,3.17,
2022-03-03,,,,,,,,8.89
2022-05-31,72.28,8.76,8.25,44.6,1.62,28.65,2.52,
2022-06-02,,,,,,,,6.53
2022-08-31,55.44,7.75,7.15,45.62,1.22,27.32,2.03,
2022-09-01,,,,,,,,11.93
2022-11-30,56.66,5.53,10.25,45.19,1.25,24.27,2.33,
2022-12-01,,,,,,,,203.0
2023-02-28,56.96,1.41,40.4,43.2,1.32,20.76,2.74,
2023-03-02,,,,,,,,203.0
2023-05-31,67.32,-2.66,0.0,41.47,1.62,16.48,4.08,
2023-06-01,,,,,,,,203.0
2023-08-31,69.17,-5.34,0.0,40.18,1.72,14.23,4.86,203.0
2023-11-30,75.4,-6.28,0.0,38.85,1.94,14.78,5.1,203.0
2024-02-29,89.88,-3.45,0.0,39.63,2.27,16.62,5.41,48.88
2024-05-30,,,,,,,,26.19
2024-05-31,124.11,-1.42,0.0,39.88,3.11,19.26,6.44,
2024-08-29,,,,,,,,12.78
2024-08-31,95.64,0.7,136.63,40.7,2.35,22.52,4.25,
2024-11-28,,,,,,,,11.01
2024-11-30,97.45,3.49,27.92,42.01,2.32,25.99,3.75,
2025-02-27,,,,,,,,11.99
2025-02-28,93.27,4.19,22.26,43.5,2.14,27.93,3.34,
2025-05-29,,,,,,,,11.11
2025-05-31,94.22,5.57,16.92,45.35,2.08,30.13,3.13,
2025-08-28,,,,,,,,10.15
2025-08-31,118.82,7.59,15.65,48.28,2.46,33.26,3.57,
2025-11-27,,,,,,,,13.62
2025-11-30,236.25,10.52,22.46,52.23,4.52,37.48,6.3,
2026-02-26,,,,,,,,10.35
2026-02-28,412.13,21.18,19.46,64.24,6.42,51.21,8.05,
2026-05-28,,,,,,,,9.83
2026-05-31,970.85,44.17,21.98,89.22,10.88,79.15,12.27,
2026-09-14,924.03,,20.92,,10.36,,11.68,6.4
