period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,8.12,,,,0.0,,,
2006-06-30,7.45,,,,0.0,,,
2006-09-30,6.85,,,,0.0,,,
2006-12-31,6.66,0.2,33.31,,0.0,1.18,5.64,
2007-03-31,6.05,0.2,30.26,,0.0,1.18,5.12,
2007-06-30,5.92,0.13,45.56,,0.0,1.36,4.35,
2007-09-30,4.91,0.13,37.8,,0.0,1.36,3.61,
2007-12-31,5.05,0.18,28.05,,0.0,1.36,3.71,
2008-03-31,4.74,0.49,9.68,,0.0,4.63,1.02,
2008-06-30,4.8,0.41,11.7,,0.0,4.66,1.03,
2008-09-30,4.8,0.44,10.92,,0.0,4.66,1.03,
2008-12-31,3.41,0.39,8.75,,0.0,4.66,0.73,
2009-03-31,2.73,-0.14,0.0,,0.0,1.82,1.5,
2009-06-30,3.41,-0.12,0.0,,0.0,1.58,2.16,
2009-09-30,3.0,-0.1,0.0,,0.0,2.62,1.15,
2009-12-31,2.77,-0.03,0.0,,0.0,3.67,0.75,
2010-03-31,2.98,0.32,9.31,,0.0,4.2,0.71,
2010-06-30,2.6,0.38,6.84,,0.0,3.84,0.68,
2010-09-30,2.72,0.48,5.68,,0.0,3.74,0.73,
2010-12-31,3.18,0.58,5.49,,0.0,3.66,0.87,
2011-03-31,2.75,0.48,5.73,,0.0,3.76,0.73,
2011-06-30,2.89,0.77,3.75,,0.0,4.23,0.68,
2011-09-30,2.71,0.79,3.43,,0.0,4.34,0.62,
2011-12-31,2.55,0.73,3.49,,0.0,4.4,0.58,
2012-03-31,3.07,0.84,3.66,,0.0,4.32,0.71,
2012-06-30,2.93,0.59,4.97,,0.0,4.16,0.7,
2012-09-30,2.92,0.51,5.72,,0.0,4.08,0.71,
2012-12-31,3.4,0.61,5.57,,0.0,3.98,0.85,
2013-03-31,3.81,0.74,5.15,,0.0,4.13,0.92,
2013-06-30,3.94,0.75,5.24,9.76,0.4,3.94,1.0,
2014-06-30,4.01,0.83,4.85,10.22,0.39,3.84,1.05,
2015-06-30,4.83,0.78,6.2,10.07,0.48,3.78,1.28,
2016-06-30,3.05,0.64,4.8,11.71,0.26,3.55,0.86,
2017-06-30,4.79,0.65,7.38,11.33,0.42,3.62,1.32,
2018-06-30,4.16,0.7,5.91,12.0,0.35,3.87,1.08,
2019-06-30,3.62,0.82,4.44,12.44,0.29,4.22,0.86,
2020-06-30,3.16,0.82,3.84,12.24,0.26,4.51,0.7,
2021-06-30,4.57,0.9,5.09,12.98,0.35,4.61,0.99,
2022-06-30,4.67,0.75,6.25,10.85,0.43,4.78,0.98,
2023-06-30,6.73,0.81,8.31,11.64,0.58,5.18,1.3,
2024-06-30,10.14,0.98,10.34,11.73,0.86,5.86,1.73,
2025-06-30,13.35,1.04,12.87,12.84,1.04,6.64,2.01,
2025-12-31,15.64,0.97,16.15,,,5.37,2.92,
2026-06-30,19.89,1.08,18.39,13.54,1.47,5.85,3.4,
2026-09-14,23.89,,22.08,,1.77,,4.08,
