period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,5.48,,,5.53,0.99,,,
2006-06-30,5.7,,,5.61,1.02,,,
2006-09-30,6.25,,,5.92,1.06,,,
2006-12-31,7.61,0.81,9.43,6.13,1.24,9.92,0.77,
2007-03-31,8.62,0.74,11.6,6.07,1.42,9.56,0.9,
2007-06-30,8.05,0.85,9.52,6.27,1.28,9.61,0.84,
2007-09-30,8.69,0.85,10.26,6.52,1.33,9.51,0.91,
2007-12-31,9.74,0.82,11.91,6.59,1.48,9.53,1.02,
2008-03-31,9.08,0.88,10.34,6.56,1.38,9.74,0.93,
2008-06-30,9.55,0.76,12.65,6.5,1.47,9.51,1.0,
2008-09-30,7.38,0.9,8.18,7.05,1.05,10.0,0.74,
2008-12-31,7.45,1.02,7.33,7.14,1.04,10.19,0.73,
2009-03-31,7.59,1.09,6.98,7.29,1.04,10.34,0.73,
2009-06-30,8.57,1.19,7.23,7.44,1.15,10.46,0.82,
2009-09-30,8.4,1.03,8.13,7.7,1.09,9.86,0.85,
2009-12-31,8.1,0.99,8.16,7.83,1.03,9.62,0.84,
2010-03-31,7.49,1.11,6.77,8.04,0.93,9.54,0.79,
2010-06-30,7.64,1.13,6.75,8.13,0.94,9.37,0.81,
2010-09-30,8.6,1.24,6.94,8.46,1.02,9.47,0.91,
2010-12-31,8.3,1.19,7.0,8.59,0.97,9.29,0.89,
2011-03-31,8.89,1.01,8.85,8.65,1.03,8.96,0.99,
2011-06-30,9.36,1.1,8.53,8.82,1.06,9.14,1.02,
2011-09-30,8.89,0.91,9.82,8.81,1.01,8.91,1.0,
2011-12-31,10.12,1.15,8.82,8.98,1.13,9.15,1.11,
2012-03-31,10.25,1.27,8.1,9.13,1.12,9.31,1.1,
2012-06-30,11.65,1.28,9.09,9.33,1.25,9.14,1.27,
2012-09-30,12.02,1.29,9.35,9.39,1.28,8.81,1.36,
2012-12-31,11.93,1.14,10.46,9.47,1.26,8.52,1.4,
2013-03-31,13.52,1.02,13.22,9.53,1.42,8.42,1.6,
2013-06-30,14.3,1.02,14.02,9.77,1.46,8.48,1.69,
2013-09-30,14.19,1.19,11.97,10.1,1.4,8.78,1.62,
2013-12-31,15.27,1.12,13.66,10.37,1.47,8.89,1.72,
2014-03-31,17.19,1.2,14.29,10.41,1.65,9.05,1.9,
2014-06-30,18.56,1.12,16.53,10.57,1.76,9.08,2.04,
2014-09-30,17.13,1.09,15.75,10.98,1.56,9.15,1.87,
2014-12-31,19.53,1.4,13.95,11.38,1.72,9.68,2.02,
2015-03-31,19.26,1.52,12.69,11.52,1.67,9.87,1.95,
2015-06-30,18.28,1.64,11.18,11.95,1.53,10.0,1.83,
