period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,0.41,,,0.06,6.77,,,
2006-06-30,0.39,,,0.08,5.05,,,
2006-09-30,0.33,,,0.08,4.01,,,
2006-12-31,0.37,0.01,36.22,0.09,4.29,0.21,1.79,
2007-03-31,0.33,0.01,29.58,0.09,3.69,0.22,1.5,
2007-06-30,0.28,0.01,21.81,0.09,2.95,0.23,1.19,
2007-09-30,0.3,0.01,22.12,0.09,3.14,0.24,1.22,
2007-12-31,0.38,0.01,27.56,0.09,4.02,0.25,1.53,
2008-03-31,0.5,0.01,33.45,0.08,6.0,0.26,1.92,
2008-06-30,0.37,0.02,23.72,0.09,4.14,0.27,1.37,
2008-09-30,0.44,0.02,25.8,0.08,5.62,0.29,1.53,
2008-12-31,0.43,0.02,22.71,0.08,5.07,0.31,1.39,
2009-03-31,0.61,0.02,29.06,0.08,7.25,0.33,1.87,
2009-06-30,0.59,0.02,25.9,0.08,7.32,0.35,1.68,
2009-09-30,0.66,0.03,25.87,0.06,10.87,0.38,1.75,
2009-12-31,0.79,0.03,27.81,0.05,14.79,0.4,1.95,
2010-03-31,1.05,0.03,33.55,0.04,26.27,0.44,2.4,
2010-06-30,1.55,0.04,44.22,0.05,32.2,0.48,3.24,
2010-09-30,2.32,0.04,61.45,0.05,44.13,0.52,4.45,
2010-12-31,2.51,0.04,59.48,0.08,31.97,0.57,4.41,
2011-03-31,3.4,0.05,68.35,0.08,45.29,0.63,5.4,
2011-06-30,3.75,0.06,66.66,0.09,41.33,0.7,5.35,
2011-09-30,1.62,0.06,25.72,0.11,15.31,0.77,2.09,
2011-12-31,0.99,0.06,16.64,0.17,5.97,0.85,1.17,
2012-03-31,1.64,0.04,38.67,0.17,9.63,0.88,1.87,
2012-06-30,0.98,0.03,37.49,0.18,5.53,0.89,1.1,
2012-09-30,0.78,0.01,68.22,0.18,4.22,0.89,0.87,
2012-12-31,1.32,0.0,0.0,0.19,6.91,0.89,1.49,
2013-03-31,2.7,0.01,0.0,0.21,13.08,0.91,2.98,
2013-06-30,3.02,0.01,262.23,0.27,11.25,0.94,3.19,
2013-09-30,4.42,0.02,259.84,0.29,15.22,0.98,4.49,
2013-12-31,5.26,0.03,202.29,0.32,16.46,1.03,5.1,
2014-03-31,5.03,0.04,133.75,0.35,14.27,1.08,4.65,
2014-06-30,6.29,0.05,135.07,0.38,16.45,1.14,5.52,
2014-09-30,6.45,0.05,121.15,0.41,15.76,1.21,5.34,
2014-12-31,4.88,0.06,78.71,0.44,11.11,1.27,3.83,
2015-03-31,5.95,0.05,108.82,0.45,13.23,1.34,4.43,
