period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2009-06-30,1000000.0,,,,0.0,,,
2010-06-30,1000000.0,,,,0.0,,,
2011-03-31,1000000.0,,,,0.0,,,
2011-06-30,1000000.0,0.03,38461538.46,,0.0,0.44,2258680.17,
2011-09-30,1000000.0,0.03,38759689.92,,0.0,0.66,1525267.3,
2011-12-31,1000000.0,-0.04,0.0,0.1,10341261.63,1.02,980569.8,
2012-06-30,4.92,-0.12,0.0,0.04,119.42,1.19,4.15,
2012-09-30,7.74,-0.15,0.0,0.31,24.95,1.1,7.06,
2012-12-31,6.01,-0.12,0.0,0.39,15.59,1.09,5.53,
2013-03-31,7.24,-0.08,0.0,0.39,18.42,0.85,8.48,
2013-06-30,8.08,-0.04,0.0,0.39,20.62,0.6,13.53,
2013-09-30,10.39,-0.04,0.0,0.41,25.05,0.65,15.99,
2013-12-31,11.2,-0.11,0.0,0.56,19.94,0.63,17.74,
2014-03-31,11.98,-0.15,0.0,0.56,21.28,0.69,17.25,
2014-06-30,12.39,-0.19,0.0,0.55,22.68,0.77,16.02,
2014-09-30,11.76,-0.22,0.0,0.56,20.88,0.86,13.74,
2014-12-31,13.57,-0.25,0.0,0.57,23.67,0.94,14.38,
2015-03-31,15.76,-0.26,0.0,0.59,26.63,1.03,15.34,
2015-06-30,14.86,-0.27,0.0,0.59,25.05,1.12,13.32,
2015-09-30,13.89,-0.27,0.0,0.65,21.36,1.2,11.53,
2015-12-31,17.31,-0.25,0.0,0.71,24.55,1.3,13.33,
2016-03-31,12.24,-0.59,0.0,0.37,32.95,1.4,8.76,
2016-06-30,13.28,-0.57,0.0,0.39,33.68,1.49,8.89,
2016-09-30,15.83,-0.56,0.0,0.44,36.25,1.59,9.93,
2016-12-31,14.87,-0.5,0.0,0.46,32.17,1.7,8.77,
2017-03-31,17.49,-0.12,0.0,0.5,34.74,1.83,9.58,
2017-06-30,21.2,-0.12,0.0,0.57,37.51,1.94,10.95,
2017-09-30,23.51,-0.11,0.0,0.64,36.81,2.08,11.32,
2017-12-31,26.08,-0.14,0.0,0.89,29.18,2.25,11.6,
2018-03-31,33.09,-0.1,0.0,0.98,33.77,2.36,14.02,
2018-06-30,34.49,-0.09,0.0,1.0,34.41,2.55,13.55,
2018-09-30,39.13,-0.06,0.0,1.14,34.38,2.67,14.64,
2018-12-31,35.61,-0.03,0.0,1.23,28.87,2.84,12.56,
2019-03-31,49.3,-0.04,0.0,1.29,38.11,3.08,15.99,
2019-06-30,54.91,0.0,0.0,1.35,40.82,3.27,16.82,
2019-09-30,50.77,0.04,1336.05,1.52,33.49,3.46,14.67,
2019-12-31,56.46,0.64,88.78,2.25,25.14,3.62,15.6,
2020-03-31,57.32,0.69,83.55,2.38,24.12,3.8,15.08,
2020-06-30,81.01,0.74,109.77,2.58,31.34,3.97,20.41,
2020-09-30,97.0,0.71,137.01,2.74,35.39,4.22,23.01,
2020-12-31,110.09,0.12,932.93,2.89,38.04,4.49,24.54,
2021-03-31,100.02,0.15,658.04,3.08,32.51,4.78,20.91,
2021-06-30,109.91,0.17,646.53,3.31,33.25,5.11,21.49,
2021-09-30,124.45,0.22,565.7,3.57,34.89,5.46,22.79,98.03
2021-12-31,129.82,0.23,574.43,3.7,35.07,5.82,22.32,96.16
2022-03-31,111.38,0.22,510.91,3.99,27.93,6.17,18.05,75.78
2022-06-30,95.1,0.18,528.36,4.16,22.86,6.5,14.63,60.98
2022-09-30,75.52,0.2,385.32,4.49,16.83,6.82,11.08,45.78
2022-12-31,77.65,0.32,242.67,4.96,15.65,7.13,10.89,45.27
2023-03-31,92.94,0.39,237.1,5.5,16.91,7.49,12.41,50.48
2023-06-30,112.39,1.39,80.98,6.78,16.57,7.86,14.31,56.45
2023-09-30,111.79,1.54,72.4,7.01,15.96,8.27,13.52,51.36
2023-12-31,141.3,1.68,84.11,7.45,18.96,8.74,16.18,59.51
2024-03-31,152.48,1.87,81.63,7.89,19.31,9.19,16.59,57.98
2024-06-30,157.33,1.1,142.51,8.42,18.69,9.62,16.35,56.21
2024-09-30,178.88,1.28,139.31,9.01,19.86,10.09,17.73,59.95
2024-12-31,212.02,1.37,154.76,9.31,22.78,10.55,20.09,67.74
2025-03-31,159.23,1.48,107.88,9.8,16.25,11.0,14.48,48.62
2025-06-30,205.62,1.59,128.99,10.54,19.52,11.54,17.82,59.57
2025-09-30,184.06,1.66,110.88,10.89,16.9,12.11,15.2,50.72
2025-12-31,153.19,1.67,91.73,12.38,12.38,12.68,12.08,39.52
2026-03-31,104.55,1.68,62.23,11.37,9.19,13.36,7.83,24.98
2026-06-30,99.28,1.6,62.05,12.11,8.2,14.14,7.02,22.89
2026-09-14,142.35,,88.97,,11.76,,10.07,31.42
