period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-01-31,0.34,,,0.07,4.71,,,
2006-04-30,0.45,,,0.08,5.85,,,
2006-07-31,0.34,,,0.08,4.35,,,
2006-10-31,0.53,0.02,32.02,0.09,6.14,0.12,4.33,
2007-01-31,0.47,0.02,24.59,0.09,5.04,0.13,3.56,
2007-04-30,0.5,0.02,24.45,0.1,5.21,0.14,3.65,
2007-07-31,0.7,0.02,28.94,0.1,6.77,0.15,4.77,
2007-10-31,0.81,0.03,27.8,0.11,7.25,0.16,5.16,
2008-01-31,0.56,0.03,17.14,0.12,4.78,0.17,3.33,
2008-04-30,0.47,0.03,13.5,0.12,3.81,0.18,2.57,
2008-07-31,0.26,0.02,11.89,0.12,2.19,0.18,1.42,
2008-10-31,0.2,0.02,13.09,0.12,1.73,0.18,1.12,
2009-01-31,0.18,0.0,0.0,0.11,1.63,0.15,1.21,
2009-04-30,0.26,-0.02,0.0,0.11,2.47,0.13,1.98,
2009-07-31,0.3,-0.02,0.0,0.1,2.88,0.13,2.31,
2009-10-31,0.27,-0.02,0.0,0.11,2.5,0.13,2.15,
2010-01-31,0.35,0.0,0.0,0.12,2.96,0.15,2.34,
2010-04-30,0.36,0.01,29.69,0.13,2.87,0.16,2.22,
2010-07-31,0.21,0.01,19.82,0.12,1.75,0.16,1.3,
2010-10-31,0.27,0.01,0.0,0.12,2.2,0.16,1.73,
2011-01-31,0.55,0.01,50.64,0.14,4.05,0.15,3.61,
2011-04-30,0.46,0.01,43.55,0.14,3.18,0.15,3.08,
2011-07-31,0.32,0.02,13.69,0.15,2.07,0.15,2.05,
2011-10-31,0.34,0.03,12.72,0.16,2.08,0.16,2.09,
2012-01-31,0.34,0.02,14.31,0.17,1.99,0.16,2.08,
2012-04-30,0.3,0.02,14.43,0.17,1.72,0.16,1.85,
2012-07-31,0.31,0.02,16.21,0.18,1.72,0.16,1.92,
2012-10-31,0.27,0.02,13.62,0.19,1.45,0.17,1.65,
2013-01-31,0.28,0.02,12.48,0.2,1.44,0.17,1.65,
2013-04-30,0.32,0.02,13.62,0.21,1.53,0.17,1.85,
2013-07-31,0.34,0.02,14.86,0.18,1.86,0.17,1.95,
2013-10-31,0.36,0.02,18.41,0.19,1.87,0.17,2.1,
2014-01-31,0.37,0.02,19.85,0.2,1.88,0.17,2.14,
2014-04-30,0.44,0.02,20.48,0.19,2.34,0.18,2.39,
2014-07-31,0.42,0.02,18.21,0.2,2.09,0.19,2.19,
2014-10-31,0.47,0.03,18.2,0.19,2.41,0.2,2.33,
2015-01-31,0.46,0.03,16.36,0.2,2.27,0.21,2.22,
2015-04-30,0.53,0.03,18.98,0.21,2.52,0.21,2.55,
2015-07-31,0.48,0.02,20.15,0.19,2.48,0.21,2.26,
2015-10-31,0.69,0.03,25.38,0.21,3.31,0.22,3.19,
2016-01-31,0.71,0.03,26.3,0.21,3.44,0.22,3.21,
2016-04-30,0.87,0.03,29.02,0.2,4.42,0.23,3.85,
2016-07-31,1.4,0.04,35.94,0.21,6.68,0.23,6.08,
2016-10-31,1.75,0.05,35.85,0.25,7.07,0.25,7.01,
2017-01-31,2.68,0.06,41.65,0.25,10.9,0.27,9.89,
2017-04-30,2.57,0.08,34.03,0.26,9.96,0.29,8.78,
2017-07-31,4.0,0.09,45.43,0.25,16.08,0.32,12.35,
2017-10-31,5.1,0.1,50.67,0.26,19.46,0.35,14.47,
2018-01-31,6.06,0.12,50.27,0.31,19.67,0.38,15.8,
2018-04-30,5.55,0.15,36.93,0.32,17.47,0.44,12.73,
2018-07-31,6.05,0.17,35.3,0.36,16.72,0.47,12.79,
2018-10-31,5.21,0.19,27.81,0.39,13.42,0.49,10.52,
2019-01-31,3.56,0.17,21.44,0.39,9.23,0.47,7.6,
2019-04-30,4.48,0.13,33.87,0.4,11.25,0.43,10.42,
2019-07-31,4.18,0.11,37.75,0.42,9.86,0.41,10.2,
2019-10-31,4.99,0.1,51.0,0.46,10.89,0.4,12.32,
2020-01-31,5.87,0.11,51.91,0.5,11.78,0.44,13.27,
2020-04-30,7.26,0.13,54.23,0.53,13.64,0.48,15.26,
2020-07-31,10.55,0.14,77.38,0.56,18.72,0.53,20.08,
2020-10-31,12.47,0.15,81.42,0.62,20.13,0.59,21.08,
2021-01-31,12.92,0.17,74.66,0.68,18.97,0.67,19.43,
2021-04-30,14.94,0.21,70.36,0.75,19.83,0.77,19.52,
2021-07-31,19.41,0.28,69.0,0.85,22.91,0.87,22.37,
2021-10-31,25.45,0.33,78.25,0.95,26.76,0.96,26.51,58.95
2022-01-30,,,,,,,,45.52
2022-01-31,24.38,0.39,63.33,1.06,22.96,1.06,22.95,
2022-04-30,18.47,0.37,49.52,1.05,17.57,1.17,15.85,
2022-05-01,,,,,,,,32.82
2022-07-31,18.09,0.31,59.32,0.95,18.99,1.17,15.4,33.7
2022-10-30,,,,,,,,40.13
