period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,2.05,,,,0.0,,,
2006-06-30,2.1,,,,0.0,,,
2006-09-30,2.46,,,,0.0,,,
2006-12-31,2.77,0.17,16.46,,0.0,0.95,2.9,
2007-03-31,3.04,0.19,16.42,,0.0,1.0,3.03,
2007-06-30,3.64,0.14,26.02,,0.0,0.83,4.39,
2007-09-30,4.06,0.16,25.87,,0.0,0.89,4.57,
2007-12-31,4.35,0.14,30.98,,0.0,0.91,4.77,
2008-03-31,4.71,0.16,28.79,,0.0,0.98,4.79,
2008-06-30,4.49,0.22,20.72,,0.0,1.22,3.67,
2008-09-30,3.48,0.24,14.5,,0.0,1.28,2.71,
2008-12-31,3.49,0.28,12.61,,0.0,1.31,2.67,
2009-03-31,3.33,0.29,11.7,,0.0,1.33,2.5,
2009-06-30,3.78,0.32,11.75,,0.0,1.49,2.54,
2009-09-30,4.37,0.33,13.42,,0.0,1.53,2.85,
2009-12-31,4.44,0.34,13.16,,0.0,1.6,2.76,
2010-03-31,5.46,0.36,15.2,,0.0,1.66,3.3,
2010-06-30,5.73,0.38,15.28,,0.0,1.72,3.33,
2010-09-30,6.96,0.4,17.45,,0.0,1.81,3.85,
2010-12-31,7.96,0.45,17.81,,0.0,1.89,4.21,
2011-03-31,8.99,0.48,18.89,,0.0,1.98,4.55,
2011-06-30,8.99,0.51,17.64,,0.0,2.05,4.38,
2011-09-30,7.14,0.53,13.41,,0.0,2.1,3.41,
2011-12-31,8.27,0.56,14.91,,0.0,2.15,3.84,
2012-03-31,10.13,0.57,17.69,,0.0,2.21,4.58,
2012-06-30,10.62,0.6,17.7,,0.0,2.28,4.65,
2012-09-30,11.53,0.64,18.14,,0.0,2.35,4.91,
2012-12-31,11.92,0.67,17.76,1.25,9.51,2.44,4.89,
2013-03-31,12.03,0.72,16.73,,0.0,2.53,4.75,
2013-06-30,11.54,0.77,14.99,,0.0,2.61,4.42,
2013-09-30,12.6,0.81,15.58,,0.0,2.68,4.7,
2013-12-31,13.76,0.83,16.53,1.38,9.98,2.76,4.99,
2014-03-31,17.32,0.86,20.11,,0.0,2.81,6.16,
2014-06-30,17.52,0.89,19.74,,0.0,2.87,6.1,
2014-09-30,18.06,0.9,20.18,,0.0,2.95,6.13,
2014-12-31,16.05,0.9,17.88,1.39,11.59,3.0,5.34,
2015-03-31,20.57,0.96,21.38,,0.0,3.03,6.78,
2015-06-30,21.1,0.96,22.04,,0.0,3.06,6.9,
2015-09-30,20.9,0.98,21.32,,0.0,3.08,6.79,
2015-12-31,22.38,1.01,22.25,1.37,16.32,3.11,7.2,
2016-03-31,21.25,0.99,21.4,,0.0,3.16,6.72,
2016-06-30,21.09,1.05,20.06,,0.0,3.21,6.57,
2016-09-30,16.46,1.1,14.99,,0.0,3.25,5.07,
2016-12-31,14.2,1.11,12.77,1.34,10.57,3.27,4.34,
2017-03-31,13.84,1.13,12.28,,0.0,3.3,4.2,
2017-06-30,17.32,1.13,15.38,,0.0,3.33,5.2,
2017-09-30,19.64,1.15,17.07,,0.0,3.37,5.84,
2017-12-31,21.89,1.17,18.73,1.55,14.14,3.42,6.41,
2018-03-31,20.37,1.24,16.4,,0.0,3.51,5.8,
2018-06-30,19.07,1.29,14.82,,0.0,3.56,5.36,
2018-09-30,19.69,1.26,15.58,,0.0,3.6,5.46,
2018-12-31,19.24,1.22,15.8,1.62,11.89,3.52,5.47,
2019-03-31,22.18,1.19,18.7,,0.0,3.54,6.27,
2019-06-30,21.64,1.15,18.84,,0.0,3.59,6.04,
2019-09-30,22.12,1.18,18.8,,0.0,3.64,6.07,
2019-12-31,24.76,1.23,20.17,1.8,13.77,3.84,6.45,
2020-03-31,26.12,1.27,20.58,,0.0,3.97,6.58,
2020-06-30,28.41,1.3,21.85,,0.0,3.97,7.16,
2020-09-30,30.36,1.33,22.87,,0.0,4.06,7.49,
2020-12-31,30.54,1.38,22.14,2.06,14.8,4.15,7.36,
2021-03-31,29.9,1.45,20.64,,0.0,4.27,7.0,
2021-06-30,37.15,1.54,24.12,,0.0,4.49,8.28,
2021-09-30,42.81,1.61,26.57,,0.0,4.68,9.15,
2021-12-31,49.94,1.65,30.27,2.44,20.5,4.86,10.28,
2022-03-31,49.99,1.68,29.8,,0.0,4.78,10.47,
2022-06-30,50.16,1.67,30.04,,0.0,4.91,10.21,
2022-09-30,45.09,1.68,26.82,,0.0,5.04,8.94,
2022-12-31,61.25,1.73,35.4,2.59,23.63,5.22,11.73,
2023-03-31,72.6,1.89,38.34,,0.0,5.82,12.46,
2023-06-30,73.83,2.11,35.07,,0.0,6.29,11.74,
2023-09-30,83.38,2.41,34.65,,0.0,6.84,12.19,
2023-12-31,94.85,2.7,35.08,3.43,27.65,7.5,12.65,
2024-03-31,118.57,2.9,40.91,,0.0,7.92,14.97,
2024-06-30,131.81,2.92,45.21,,0.0,8.36,15.77,
2024-09-30,110.37,3.09,35.74,,0.0,8.8,12.54,
2024-12-31,79.73,3.28,24.3,4.66,17.11,9.43,8.45,
2025-03-31,65.4,3.38,19.37,,0.0,9.78,6.69,
2025-06-30,65.01,3.63,17.89,,0.0,10.21,6.37,
2025-09-30,52.85,3.44,15.38,,0.0,10.5,5.04,
2025-12-31,48.46,3.49,13.9,6.58,7.37,10.52,4.61,
2026-03-31,36.29,4.27,8.49,,0.0,11.45,3.17,
2026-06-30,47.34,4.11,11.53,,0.0,11.58,4.09,
2026-09-14,43.45,,10.58,,0.0,,3.75,
