period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,24.24,,,14.39,1.68,,,
2006-06-30,23.57,,,15.84,1.49,,,
2006-09-30,25.55,,,16.43,1.56,,,
2006-12-31,25.11,3.04,8.26,17.59,1.43,14.88,1.69,
2007-03-31,24.37,3.13,7.78,17.31,1.41,15.39,1.58,
2007-06-30,25.01,3.26,7.67,18.7,1.34,15.79,1.58,
2007-09-30,24.51,5.43,4.51,21.56,1.14,16.2,1.51,
2007-12-31,24.22,5.13,4.72,21.81,1.11,16.64,1.46,
2008-03-31,23.54,5.23,4.5,21.67,1.09,17.17,1.37,
2008-06-30,25.29,5.36,4.72,22.8,1.11,17.9,1.41,
2008-09-30,24.28,3.32,7.31,22.4,1.08,18.5,1.31,
2008-12-31,22.86,3.59,6.37,22.27,1.03,18.67,1.22,
2009-03-31,18.15,3.43,5.29,20.43,0.89,18.52,0.98,
2009-06-30,19.58,3.34,5.86,22.29,0.88,18.42,1.06,
2009-09-30,24.18,3.34,7.24,23.47,1.03,18.53,1.3,
2009-12-31,26.12,3.69,7.08,25.26,1.03,19.77,1.32,
2010-03-31,26.93,4.11,6.55,24.13,1.12,20.82,1.29,
2010-06-30,24.05,4.27,5.63,24.4,0.99,21.3,1.13,
2010-09-30,28.7,4.34,6.61,28.92,0.99,21.93,1.31,
2010-12-31,29.34,4.26,6.89,30.47,0.96,22.44,1.31,
2011-03-31,28.21,4.18,6.75,28.58,0.99,23.22,1.21,
2011-06-30,31.72,4.24,7.48,27.65,1.15,24.26,1.31,
2011-09-30,28.95,4.26,6.8,27.35,1.06,24.83,1.17,
2011-12-31,29.67,3.7,8.02,27.4,1.08,24.76,1.2,
2012-03-31,30.05,3.42,8.79,26.09,1.15,24.3,1.24,
2012-06-30,30.31,3.4,8.92,26.57,1.14,24.02,1.26,
2012-09-30,33.22,3.37,9.86,27.78,1.2,23.63,1.41,
2012-12-31,34.32,3.79,9.06,28.61,1.2,21.29,1.61,
2013-03-31,40.1,3.84,10.44,27.33,1.47,21.32,1.88,
2013-06-30,39.8,3.76,10.58,28.45,1.4,20.7,1.92,
2013-09-30,43.18,3.68,11.73,29.64,1.46,20.16,2.14,
2013-12-31,45.24,3.7,12.23,30.7,1.47,21.25,2.13,
2014-03-31,49.47,3.92,12.62,28.74,1.72,20.77,2.38,
2014-06-30,52.67,3.94,13.37,29.07,1.81,21.08,2.5,
2014-09-30,54.77,4.35,12.59,29.53,1.85,21.28,2.57,
2014-12-31,53.91,4.13,13.05,29.54,1.83,21.81,2.47,
2015-03-31,59.0,8.26,7.14,31.58,1.87,21.55,2.74,
2015-06-30,58.83,7.98,7.37,,0.0,21.16,2.78,
2015-09-30,54.99,7.44,7.39,32.05,1.72,20.88,2.63,
2015-12-31,51.48,7.29,7.06,32.49,1.58,20.7,2.49,
2016-03-31,45.03,2.81,16.02,30.19,1.49,20.64,2.18,
2016-06-30,51.29,2.81,18.25,30.46,1.68,20.66,2.48,
2016-09-30,49.08,2.85,17.22,31.6,1.55,20.67,2.37,
2016-12-31,45.28,1.6,28.3,31.55,1.44,4.84,9.35,
2017-03-31,47.85,1.46,32.77,28.6,1.67,4.85,9.87,
2017-06-30,53.77,1.54,34.92,29.87,1.8,4.83,11.13,
2017-09-30,55.31,1.61,34.35,31.1,1.78,5.07,10.9,
2017-12-31,54.09,0.73,74.09,31.68,1.71,4.47,12.09,
2018-03-31,53.99,0.89,60.66,30.55,1.77,4.3,12.56,
2018-06-30,50.45,3.37,14.97,33.12,1.52,4.0,12.61,
2018-09-30,57.54,3.18,18.09,33.77,1.7,3.49,16.49,
2018-12-31,57.3,5.38,10.65,34.05,1.68,19.67,2.91,
2019-03-31,66.28,5.28,12.55,20.37,3.25,19.81,3.35,
2019-06-30,70.25,4.88,14.4,22.47,3.13,20.0,3.51,
2019-09-30,66.86,5.08,13.16,23.23,2.88,20.56,3.25,
2019-12-31,72.85,5.06,14.4,24.53,2.97,20.97,3.47,
2020-03-31,65.74,5.25,12.52,22.27,2.95,21.62,3.04,
2020-06-30,69.64,3.15,22.11,23.54,2.96,21.51,3.24,
2020-09-30,69.33,3.1,22.37,23.99,2.89,19.89,3.49,
2020-12-31,75.29,3.52,21.39,25.11,3.0,21.71,3.47,
2021-03-31,70.89,3.48,20.37,22.53,3.15,21.77,3.26,
2021-06-30,75.66,3.95,19.16,24.2,3.13,22.62,3.35,
2021-09-30,67.82,4.33,15.66,25.45,2.66,24.73,2.74,
2021-12-31,72.54,10.63,6.82,30.35,2.39,23.41,3.1,
2022-03-31,75.82,10.71,7.08,27.89,2.72,23.53,3.22,
2022-06-30,73.03,10.2,7.16,28.86,2.53,23.56,3.1,
2022-09-30,65.67,9.7,6.77,28.31,2.32,22.58,2.91,
2022-12-31,78.38,3.17,24.73,28.04,2.8,19.68,3.98,
2023-03-31,82.94,3.26,25.44,24.86,3.34,19.16,4.33,
2023-06-30,90.98,3.6,25.27,25.11,3.62,18.85,4.83,
2023-09-30,91.83,3.73,24.62,18.61,4.94,19.73,4.65,
2023-12-31,91.03,7.1,12.82,22.87,3.98,22.27,4.09,
2024-03-31,90.51,7.33,12.35,19.48,4.65,22.96,3.94,
2024-06-30,99.61,7.81,12.75,20.7,4.81,23.64,4.21,
2024-09-30,107.62,8.53,12.62,21.73,4.95,24.31,4.43,
2024-12-31,91.05,5.87,15.51,22.34,4.08,25.35,3.59,
2025-03-31,108.19,6.38,16.96,19.63,5.51,26.33,4.11,
