period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2010-09-30,10.92,,,,0.0,,,
2010-12-31,18.44,,,4.86,3.79,,,
2011-03-31,26.4,,,5.54,4.77,,,
2011-06-30,23.55,2.14,11.01,5.67,4.16,18.29,1.29,
2011-09-30,12.44,1.8,6.91,6.32,1.97,17.87,0.7,
2011-12-31,13.54,1.57,8.63,5.48,2.47,16.6,0.82,
2012-03-31,23.45,0.74,31.68,5.5,4.26,16.33,1.44,
2012-06-30,20.47,0.05,409.35,4.92,4.16,16.36,1.25,
2012-09-30,22.04,-0.71,0.0,5.59,3.94,16.72,1.32,
2012-12-31,23.19,-0.46,0.0,5.16,4.5,17.47,1.33,
2013-03-31,26.69,-0.42,0.0,5.1,5.23,17.87,1.49,
2013-06-30,27.33,0.37,73.87,5.35,5.11,18.12,1.51,
2013-09-30,32.78,0.52,63.05,5.84,5.61,18.36,1.79,
2013-12-31,40.47,1.36,29.76,6.24,6.48,18.93,2.14,
2014-03-31,51.82,1.85,28.01,5.31,9.75,19.47,2.66,
2014-06-30,58.31,2.06,28.31,5.25,11.1,20.21,2.89,
2014-09-30,60.29,1.95,30.92,3.6,16.74,21.49,2.81,
2014-12-31,67.31,2.17,31.02,3.44,19.55,22.6,2.98,
2015-03-31,88.42,1.28,69.08,2.92,30.29,24.01,3.68,
2015-06-30,86.52,1.87,46.27,3.88,22.31,24.81,3.49,
2015-09-30,76.72,2.87,26.73,5.01,15.31,24.95,3.07,
2015-12-31,74.23,6.1,12.17,33.67,2.2,25.19,2.95,
2016-03-31,71.43,5.4,13.23,33.55,2.13,25.4,2.81,
2016-06-30,69.02,4.13,16.71,32.63,2.12,26.14,2.64,
2016-09-30,89.88,2.9,30.99,32.25,2.79,27.03,3.33,
2016-12-31,86.35,0.58,148.89,33.26,2.6,27.62,3.13,
2017-03-31,91.19,5.53,16.49,37.46,2.43,27.55,3.31,
2017-06-30,96.43,5.71,16.89,37.95,2.54,27.0,3.57,
2017-09-30,99.64,5.76,17.3,38.31,2.6,26.73,3.73,
2017-12-31,103.17,6.41,16.09,39.45,2.62,26.81,3.85,
2018-03-31,103.09,2.79,36.95,40.14,2.57,26.92,3.83,
2018-06-30,96.28,2.81,34.26,39.87,2.41,27.14,3.55,
2018-09-30,75.53,8.1,9.33,36.56,2.07,27.76,2.72,
2018-12-31,64.94,6.72,9.66,36.51,1.78,27.97,2.32,
2019-03-31,78.54,6.48,12.12,34.82,2.26,28.72,2.73,
2019-06-30,86.97,6.46,13.46,33.45,2.6,29.9,2.91,
2019-09-30,97.56,1.24,78.67,33.6,2.9,30.37,3.21,
2019-12-31,114.12,0.85,134.26,34.31,3.33,31.1,3.67,
2020-03-31,74.67,0.84,88.89,33.18,2.25,31.03,2.41,
2020-06-30,103.06,-0.07,0.0,32.43,3.18,29.77,3.46,
2020-09-30,113.13,-0.53,0.0,32.44,3.49,29.89,3.79,
2020-12-31,144.48,0.18,802.66,32.63,4.43,30.67,4.71,
2021-03-31,183.49,1.51,121.52,30.9,5.94,32.52,5.64,
2021-06-30,188.01,3.7,50.81,28.43,6.61,35.32,5.32,
2021-09-30,179.47,5.69,31.54,26.18,6.86,37.75,4.75,
2021-10-03,,,,,,,,17.63
2021-12-31,209.24,6.79,30.82,25.55,8.19,39.94,5.24,19.27
2022-03-31,170.83,8.02,21.3,25.75,6.63,42.71,4.0,
2022-04-03,,,,,,,,14.05
2022-06-30,137.32,9.13,15.04,27.52,4.99,45.91,2.99,
2022-07-03,,,,,,,,10.6
2022-09-30,137.59,10.01,13.74,28.36,4.85,48.38,2.84,
2022-10-02,,,,,,,,10.51
2022-12-31,148.12,10.55,14.04,29.83,4.97,49.9,2.97,11.98
2023-03-31,175.79,10.42,16.87,30.6,5.74,50.02,3.51,
2023-04-02,,,,,,,,14.76
2023-06-30,194.0,10.56,18.37,31.66,6.13,50.13,3.87,
2023-07-02,,,,,,,,15.06
2023-09-30,190.43,10.78,17.67,33.03,5.76,50.27,3.79,
2023-10-01,,,,,,,,13.94
2023-12-31,219.79,10.7,20.54,33.61,6.54,50.82,4.33,16.1
2024-03-31,238.12,10.82,22.01,35.73,6.66,50.94,4.67,17.93
2024-06-30,259.54,10.69,24.28,36.65,7.08,50.4,5.15,18.67
2024-09-29,,,,,,,,17.11
2024-09-30,232.52,10.47,22.21,38.36,6.06,49.86,4.66,
2024-12-31,202.28,9.73,20.79,36.11,5.6,48.83,4.14,16.9
2025-03-30,,,,,,,,16.02
2025-03-31,185.87,9.18,20.25,36.82,5.05,47.88,3.88,
2025-06-29,,,,,,,,18.15
2025-06-30,214.67,8.39,25.59,37.96,5.66,47.32,4.54,
2025-09-28,,,,,,,,17.64
2025-09-30,224.78,8.08,27.82,39.84,5.64,47.19,4.76,
2025-12-31,215.21,7.95,27.07,39.77,5.41,48.23,4.46,16.52
2026-03-29,,,,,,,,13.76
2026-03-31,196.2,10.46,18.76,43.25,4.54,49.66,3.95,
2026-06-28,,,,,,,,17.78
2026-06-30,281.03,11.73,23.96,45.19,6.22,51.9,5.41,
2026-09-14,224.23,,19.12,,4.96,,4.32,13.41
