period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,7.26,,,-0.8,-9.09,,,
2006-06-30,5.88,,,-0.31,-19.1,,,
2006-09-30,5.88,,,-0.06,-94.23,,,
2006-12-31,7.57,0.8,9.46,-0.79,-9.62,4.44,1.7,
2007-03-31,8.92,0.86,10.37,-0.54,-16.57,4.72,1.89,
2007-06-30,10.72,0.88,12.18,-0.47,-22.64,4.91,2.18,
2007-09-30,12.56,0.85,14.78,-0.18,-68.6,4.93,2.55,
2007-12-31,8.88,0.68,13.06,0.05,163.54,5.11,1.74,
2008-03-31,5.68,0.54,10.52,2.47,2.3,5.23,1.09,
2008-06-30,9.17,0.41,22.37,2.6,3.53,5.37,1.71,
2008-09-30,6.76,0.34,19.88,2.72,2.49,5.54,1.22,
2008-12-31,3.4,-1.13,0.0,2.08,1.64,5.48,0.62,
2009-03-31,3.9,-1.25,0.0,2.02,1.93,5.03,0.78,
2009-06-30,6.86,-1.34,0.0,2.06,3.33,4.64,1.48,
2009-09-30,8.25,-1.4,0.0,2.17,3.8,4.28,1.93,
2009-12-31,8.82,0.14,63.0,2.35,3.75,4.14,2.13,
2010-03-31,8.0,0.36,22.22,2.53,3.16,4.47,1.79,
2010-06-30,6.38,0.55,11.6,2.78,2.29,4.8,1.33,
2010-09-30,7.21,0.68,10.6,3.01,2.39,5.09,1.42,
2010-12-31,9.88,0.65,15.2,3.18,3.11,5.24,1.88,
2011-03-31,9.86,0.59,16.71,3.4,2.9,5.91,1.67,
2011-06-30,10.47,0.48,21.81,3.54,2.96,6.54,1.6,
2011-09-30,7.18,0.17,42.24,3.39,2.12,7.18,1.0,
2011-12-31,7.72,0.03,257.33,3.31,2.33,7.55,1.02,
2012-03-31,9.01,0.01,901.0,3.38,2.66,7.26,1.24,
2012-06-30,7.1,-0.04,0.0,3.39,2.09,6.92,1.03,
2012-09-30,6.18,0.1,61.75,3.41,1.81,6.51,0.95,
2012-12-31,7.05,-0.21,0.0,3.1,2.28,6.34,1.11,
2013-03-31,8.28,-0.22,0.0,3.14,2.64,6.18,1.34,
2013-06-30,8.08,-0.13,0.0,3.26,2.48,6.07,1.33,
2013-09-30,7.31,-0.05,0.0,3.36,2.17,6.06,1.21,
2013-12-31,8.24,0.33,24.97,3.46,2.38,6.15,1.34,
2014-03-31,9.4,0.41,22.93,3.49,2.69,6.28,1.5,
2014-06-30,9.14,0.51,17.92,3.72,2.46,6.47,1.41,
2014-09-30,8.94,0.49,18.24,3.81,2.35,6.76,1.32,
2014-12-31,10.13,0.43,23.56,3.8,2.67,7.12,1.42,
2015-03-31,12.11,0.43,28.16,3.78,3.2,7.51,1.61,
2015-06-30,11.69,0.34,34.38,3.85,3.04,7.82,1.49,
2015-09-30,9.4,0.36,26.11,3.83,2.45,8.11,1.16,
2015-12-31,9.8,0.48,20.42,3.96,2.47,8.13,1.21,
2016-03-31,9.59,0.44,21.8,4.05,2.37,8.11,1.18,
2016-06-30,8.82,0.38,23.21,4.15,2.12,8.2,1.08,
2016-09-30,12.32,0.29,42.48,4.21,2.93,8.3,1.48,
2016-12-31,12.76,0.43,29.67,4.4,2.9,9.34,1.37,
2017-03-31,15.49,0.52,29.79,4.75,3.26,10.74,1.44,
2017-06-30,14.04,0.68,20.65,5.03,2.79,11.78,1.19,
2017-09-30,18.47,0.91,20.3,5.29,3.49,12.77,1.45,
2017-12-31,20.94,1.89,11.08,6.59,3.18,12.99,1.61,
2018-03-31,24.46,2.02,12.11,6.9,3.54,12.71,1.92,
2018-06-30,22.24,2.15,10.34,7.26,3.06,12.85,1.73,
2018-09-30,18.43,2.28,8.08,7.56,2.44,13.14,1.4,
2018-12-31,16.51,1.44,11.47,7.72,2.14,13.37,1.24,
2019-03-31,20.57,1.4,14.69,7.82,2.63,13.59,1.51,
2019-06-30,20.21,1.29,15.67,8.04,2.51,13.54,1.49,
2019-09-30,19.21,0.76,25.28,7.9,2.43,13.36,1.44,
2019-12-31,24.38,0.51,47.8,8.08,3.02,13.28,1.84,
2020-03-31,12.44,0.21,59.24,7.9,1.58,13.08,0.95,
2020-06-30,19.82,-0.03,0.0,7.93,2.5,12.81,1.55,
2020-09-30,21.69,0.5,43.38,8.38,2.59,12.59,1.72,
2020-12-31,32.73,0.56,58.45,8.64,3.79,12.67,2.58,
2021-03-31,41.61,0.79,52.67,8.69,4.79,12.89,3.23,
2021-06-30,38.28,1.21,31.64,8.84,4.33,13.69,2.8,
2021-09-30,45.77,1.53,29.92,9.62,4.76,14.5,3.16,
2021-10-01,,,,,,,,16.29
2021-12-31,67.92,2.27,29.92,10.65,6.38,15.2,4.47,20.04
2022-03-31,62.61,3.25,19.26,11.55,5.42,16.21,3.86,
2022-04-01,,,,,,,,14.36
2022-06-30,50.31,3.85,13.07,12.49,4.03,17.11,2.94,
2022-07-01,,,,,,,,9.68
2022-09-30,62.33,3.85,16.19,13.13,4.75,18.04,3.45,12.54
2022-12-31,62.37,4.25,14.68,14.37,4.34,18.58,3.36,13.55
2023-03-31,82.32,4.1,20.08,14.98,5.5,18.61,4.42,18.67
2023-06-30,94.58,4.37,21.64,16.23,5.83,18.62,5.08,19.28
