period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-02-28,9.86,,,2.83,3.48,,,
2006-05-31,11.29,,,2.87,3.93,,,
2006-08-31,12.43,,,2.87,4.33,,,
2006-11-30,15.12,0.7,21.6,3.0,5.05,3.04,4.98,
2007-02-28,13.04,0.76,17.16,3.07,4.24,3.22,4.05,
2007-05-31,15.38,0.81,18.99,3.31,4.64,3.41,4.51,
2007-08-31,16.1,0.84,19.16,3.48,4.63,3.6,4.47,
2007-11-30,16.02,0.91,17.6,3.76,4.26,3.83,4.18,
2008-02-29,14.92,0.97,15.38,4.04,3.69,4.01,3.72,
2008-05-31,18.13,1.06,17.1,4.47,4.05,4.29,4.23,
2008-08-31,17.41,1.11,15.68,4.62,3.77,4.44,3.92,
2008-11-30,12.77,1.11,11.51,4.52,2.82,4.51,2.83,
2009-02-28,12.34,1.11,11.11,4.63,2.66,4.56,2.7,
2009-05-31,15.59,1.09,14.3,5.08,3.07,4.52,3.45,
2009-08-31,17.46,1.1,15.87,5.28,3.3,4.5,3.88,
2009-11-30,17.66,1.14,15.49,5.57,3.17,4.57,3.86,
2010-02-28,19.75,1.11,17.79,5.75,3.43,4.75,4.15,
2010-05-31,18.12,1.21,14.98,6.21,2.92,5.29,3.43,
2010-08-31,17.57,1.26,13.95,6.47,2.72,5.77,3.05,
2010-11-30,21.8,1.34,16.27,6.9,3.16,6.29,3.47,
2011-02-28,26.56,1.52,17.47,7.32,3.63,6.73,3.95,
2011-05-31,27.68,1.67,16.57,7.94,3.49,6.96,3.98,
2011-08-31,22.74,1.76,12.92,8.16,2.79,7.11,3.2,
2011-11-30,25.45,1.82,13.98,8.4,3.03,7.15,3.56,
2012-02-29,23.8,1.9,12.53,8.69,2.74,7.22,3.3,
2012-05-31,21.58,1.96,11.01,8.99,2.4,7.26,2.97,
2012-08-31,25.86,2.01,12.86,9.05,2.86,7.29,3.54,
2012-11-30,26.34,2.11,12.48,9.14,2.88,7.45,3.54,
2013-02-28,28.19,2.14,13.17,9.28,3.04,7.53,3.74,
2013-05-31,27.81,2.26,12.31,9.72,2.86,7.65,3.64,
2013-08-31,26.33,2.32,11.35,9.63,2.73,7.78,3.38,
2013-11-30,29.27,2.35,12.46,9.78,2.99,7.93,3.69,
2014-02-28,32.54,2.39,13.62,10.09,3.23,8.1,4.02,
2014-05-31,35.07,2.38,14.73,10.63,3.3,8.3,4.22,
2014-08-31,34.76,2.39,14.54,10.8,3.22,8.4,4.14,
