period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2024-06-30,29.5,,,3.79,7.78,,,18.72
2024-09-30,39.97,,,4.3,9.3,,,23.31
2024-12-31,13.11,,,4.61,2.84,,,7.65
2025-03-31,11.24,0.28,40.14,4.87,2.31,28.54,0.39,6.89
2025-06-30,12.92,0.8,16.15,5.19,2.49,30.19,0.43,7.94
2025-09-30,13.73,1.02,13.46,5.6,2.45,31.88,0.43,8.56
2025-12-31,38.39,1.22,31.47,6.08,6.31,32.42,1.18,19.78
2026-03-31,32.12,1.55,20.72,6.63,4.84,33.51,0.96,15.27
2026-06-30,42.64,1.71,24.94,7.04,6.05,34.41,1.24,18.42
2026-09-14,44.55,,26.05,,6.32,,1.29,
2026-09-15,,,,,,,,16.33
