period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2012-07-31,9.52,,,0.56,16.92,,,
2012-10-31,9.16,,,0.57,15.96,,,
2013-01-31,9.23,,,0.59,15.66,,,
2013-04-30,9.02,-0.06,0.0,0.62,14.58,1.18,7.63,
2013-07-31,8.16,-0.07,0.0,0.63,12.87,0.97,8.43,
2013-10-31,7.03,-0.08,0.0,0.67,10.55,1.05,6.68,
2014-01-31,9.91,-0.17,0.0,0.64,15.46,1.14,8.72,
2014-04-30,10.6,-0.48,0.0,0.59,18.03,1.23,8.63,
2014-07-31,13.48,-0.51,0.0,0.98,13.72,1.36,9.94,
2014-10-31,17.62,-0.55,0.0,1.02,17.26,1.46,12.06,
2015-01-31,21.07,-0.55,0.0,1.05,20.15,1.59,13.27,
2015-04-30,24.62,-0.32,0.0,0.91,27.18,1.73,14.26,
2015-07-31,30.97,-0.27,0.0,0.96,32.3,1.91,16.24,
2015-10-31,26.83,-0.28,0.0,1.06,25.43,2.09,12.87,
2016-01-31,24.92,-0.3,0.0,1.12,22.29,2.28,10.93,
2016-04-30,25.15,-0.33,0.0,1.23,20.51,2.46,10.21,
2016-07-31,21.82,-0.37,0.0,1.65,13.24,2.65,8.23,
2016-10-31,25.64,-0.4,0.0,1.56,16.46,2.81,9.14,
2017-01-31,24.59,-0.4,0.0,1.58,15.59,2.94,8.37,
2017-04-30,18.07,-0.39,0.0,1.48,12.24,3.07,5.88,
2017-07-31,21.96,-0.37,0.0,1.38,15.87,3.23,6.8,
2017-10-31,24.53,-0.39,0.0,1.21,20.33,3.41,7.19,
2018-01-31,26.31,-0.32,0.0,1.15,22.89,3.63,7.24,
2018-04-30,32.09,-0.28,0.0,1.3,24.77,3.87,8.29,
2018-07-31,33.04,-0.22,0.0,2.07,15.99,4.14,7.97,
2018-10-31,30.51,-0.17,0.0,2.21,13.83,4.39,6.95,
2019-01-31,35.8,-0.13,0.0,1.91,18.78,4.65,7.69,
2019-04-30,41.47,-0.09,0.0,2.53,16.42,4.91,8.45,
2019-07-31,37.76,-0.15,0.0,2.73,13.82,5.13,7.36,
2019-10-31,37.9,-0.18,0.0,2.59,14.64,5.3,7.15,
2020-01-31,39.13,-0.3,0.0,2.69,14.55,5.42,7.22,
2020-04-30,32.75,-0.39,0.0,1.29,25.46,5.64,5.81,
2020-07-31,42.65,-0.46,0.0,1.91,22.37,5.85,7.29,
2020-10-31,36.87,-0.52,0.0,1.31,28.19,6.17,5.98,
2021-01-31,58.46,-0.64,0.0,1.78,32.87,6.55,8.92,
2021-04-30,58.9,-0.76,0.0,1.71,34.52,6.9,8.54,
2021-07-31,66.51,-0.87,0.0,1.09,61.2,7.37,9.02,
2021-10-31,84.85,-0.88,0.0,0.88,96.84,7.85,10.81,70.23
2022-01-31,86.23,-0.79,0.0,0.2,432.68,8.32,10.36,67.92
2022-04-30,93.55,-0.67,0.0,0.56,165.6,8.81,10.62,69.65
2022-07-31,83.18,-0.45,0.0,0.35,236.72,9.32,8.92,56.87
2022-10-31,85.8,-0.25,0.0,0.84,102.11,9.51,9.03,55.09
2023-01-31,79.32,0.04,1983.0,1.21,65.8,9.77,8.12,45.15
2023-04-30,91.23,0.32,285.09,2.02,45.24,9.92,9.19,42.25
2023-07-31,124.98,0.64,195.28,2.84,44.08,10.16,12.31,51.48
2023-10-31,121.51,0.89,136.53,3.46,35.12,10.53,11.54,45.58
2024-01-31,169.26,3.21,52.81,6.75,25.07,10.8,15.68,60.52
2024-04-30,145.45,3.44,42.28,6.91,21.06,11.1,13.1,52.2
2024-07-31,162.37,3.64,44.61,7.95,20.42,11.34,14.32,55.27
2024-10-31,180.17,3.85,46.8,9.02,19.97,11.67,15.44,57.5
2025-01-31,184.42,1.79,103.03,9.65,19.1,12.09,15.25,56.86
2025-04-30,186.93,1.77,105.61,10.86,17.22,12.53,14.92,55.11
2025-07-31,173.6,1.6,108.5,11.71,14.82,13.01,13.34,49.06
2025-10-31,220.24,1.58,139.39,12.52,17.59,13.49,16.33,57.82
2026-01-31,176.97,1.81,97.77,13.36,13.24,13.95,12.68,44.94
2026-04-30,179.32,1.22,146.98,34.03,5.27,14.46,12.4,49.64
2026-07-31,331.83,0.4,829.58,33.73,9.84,15.35,21.62,84.54
2026-09-14,373.94,,934.85,,11.09,,24.36,
2026-09-15,,,,,,,,89.27
