period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,31.68,,,8.9,3.56,,,
2006-06-30,33.08,,,9.24,3.58,,,
2006-09-30,36.12,,,9.73,3.71,,,
2006-12-31,34.79,3.34,10.42,9.38,3.71,20.79,1.67,
2007-03-31,35.52,3.43,10.35,9.41,3.77,21.22,1.67,
2007-06-30,36.44,3.56,10.24,9.79,3.72,21.83,1.67,
2007-09-30,41.39,3.73,11.1,10.09,4.1,22.59,1.83,
2007-12-31,43.09,3.41,12.64,10.74,4.01,23.77,1.81,
2008-03-31,41.21,3.46,11.91,10.51,3.92,24.48,1.68,
2008-06-30,36.53,3.57,10.23,10.6,3.45,25.5,1.43,
2008-09-30,41.2,3.5,11.77,10.31,4.0,26.4,1.56,
2008-12-31,31.91,3.21,9.94,8.1,3.94,26.9,1.19,
2009-03-31,30.26,3.23,9.37,7.76,3.9,27.06,1.12,
2009-06-30,32.57,3.24,10.05,9.25,3.52,27.01,1.21,
2009-09-30,35.04,3.34,10.49,10.15,3.45,26.97,1.3,
2009-12-31,36.57,3.77,9.7,11.15,3.28,27.46,1.33,
2010-03-31,40.08,3.94,10.17,13.44,2.98,28.03,1.43,
2010-06-30,37.21,3.86,9.64,12.5,2.98,30.35,1.23,
2010-09-30,40.87,3.96,10.32,12.79,3.19,32.95,1.24,
2010-12-31,40.48,3.91,10.35,13.58,2.98,35.76,1.13,
2011-03-31,40.22,3.73,10.78,14.97,2.69,37.37,1.08,
2011-06-30,44.3,3.92,11.3,15.39,2.88,38.79,1.14,
2011-09-30,39.25,3.98,9.86,15.31,2.56,40.17,0.98,
2011-12-31,42.41,4.03,10.52,13.35,3.18,41.54,1.02,
2012-03-31,42.76,4.03,10.61,14.65,2.92,41.95,1.02,
2012-06-30,45.89,3.8,12.08,13.22,3.47,41.87,1.1,
2012-09-30,46.31,3.76,12.32,13.92,3.33,41.45,1.12,
2012-12-31,45.12,3.92,11.51,14.51,3.11,41.5,1.09,
2013-03-31,52.54,3.9,13.47,14.54,3.61,41.7,1.26,
2013-06-30,54.7,4.24,12.9,14.72,3.72,42.02,1.3,
