period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,32.33,,,19.82,1.63,,,
2006-06-30,31.37,,,19.79,1.58,,,
2006-09-30,35.16,,,20.14,1.75,,,
2006-12-31,36.64,2.78,13.18,20.72,1.77,21.64,1.69,
2007-03-31,36.18,2.89,12.52,21.11,1.71,22.23,1.63,
2007-06-30,35.25,3.04,11.59,21.32,1.65,21.98,1.6,
2007-09-30,40.75,3.17,12.85,21.75,1.87,22.5,1.81,
2007-12-31,42.74,3.31,12.91,22.17,1.93,23.01,1.86,
2008-03-31,41.0,3.39,12.09,22.79,1.8,23.57,1.74,
2008-06-30,35.78,3.64,9.83,22.91,1.56,23.81,1.5,
2008-09-30,41.26,3.75,11.0,21.62,1.91,24.26,1.7,
2008-12-31,36.84,4.35,8.47,21.3,1.73,24.2,1.52,
2009-03-31,28.26,4.37,6.47,20.85,1.36,23.89,1.18,
2009-06-30,30.93,4.26,7.26,21.73,1.42,24.2,1.28,
2009-09-30,35.34,4.29,8.24,22.94,1.54,24.09,1.47,
2009-12-31,37.27,4.2,8.87,23.73,1.57,24.6,1.52,
2010-03-31,39.17,4.19,9.35,23.19,1.69,25.02,1.57,
2010-06-30,37.42,4.11,9.11,21.61,1.73,24.96,1.5,
2010-09-30,37.71,4.07,9.27,22.58,1.67,25.24,1.49,
2010-12-31,40.76,3.69,11.05,23.1,1.76,25.61,1.59,
2011-03-31,39.32,3.82,10.29,24.16,1.63,26.06,1.51,
2011-06-30,40.92,3.93,10.41,24.59,1.66,26.97,1.52,
2011-09-30,41.0,3.94,10.41,23.86,1.72,27.63,1.48,
2011-12-31,43.64,3.4,12.84,23.56,1.85,27.89,1.56,
2012-03-31,44.32,3.26,13.6,24.05,1.84,28.13,1.58,
2012-06-30,40.73,3.66,11.13,23.3,1.75,27.86,1.46,
2012-09-30,46.52,3.59,12.96,23.75,1.96,27.62,1.68,
2012-12-31,45.91,4.41,10.41,24.65,1.86,27.85,1.65,
2013-03-31,52.54,4.47,11.75,24.79,2.12,28.0,1.88,
2013-06-30,52.87,3.87,13.66,25.06,2.11,28.61,1.85,
2013-09-30,52.3,3.95,13.24,25.32,2.07,28.66,1.83,
2013-12-31,56.77,3.74,15.18,25.87,2.19,28.32,2.0,
2014-03-31,56.63,3.76,15.06,25.88,2.19,28.07,2.02,
2014-06-30,55.66,4.01,13.88,25.81,2.16,25.58,2.18,
2014-09-30,59.78,3.66,16.33,24.73,2.42,24.96,2.4,
2014-12-31,65.53,3.3,19.86,24.0,2.73,24.11,2.72,
2015-03-31,59.36,3.15,18.85,23.36,2.54,23.2,2.56,
2015-06-30,57.14,2.44,23.42,23.23,2.46,24.96,2.29,
2015-09-30,52.97,2.66,19.91,23.14,2.29,24.23,2.19,
2015-12-31,58.99,2.96,19.93,23.03,2.56,23.72,2.49,
2016-03-31,61.68,3.18,19.4,22.48,2.74,23.41,2.64,
2016-06-30,63.97,3.69,17.34,21.73,2.94,22.89,2.8,
2016-09-30,68.34,3.74,18.27,22.03,3.1,22.97,2.97,
2016-12-31,64.51,5.5,11.73,21.03,3.07,23.23,2.78,
2017-03-31,69.49,5.46,12.73,21.32,3.26,23.44,2.96,
2017-06-30,67.92,5.59,12.15,21.85,3.11,23.64,2.87,
2017-09-30,71.46,5.69,12.56,21.84,3.27,23.98,2.98,
2017-12-31,72.71,3.74,19.44,21.71,3.35,24.34,2.99,
2018-03-31,63.21,3.76,16.81,21.85,2.89,24.73,2.56,
2018-06-30,62.82,3.67,17.12,21.17,2.97,25.07,2.51,
2018-09-30,67.58,3.83,17.65,21.07,3.21,25.27,2.67,
2018-12-31,75.3,4.12,18.28,21.76,3.46,25.4,2.96,
2019-03-31,85.91,4.21,20.41,22.15,3.88,25.49,3.37,
2019-06-30,91.17,1.43,63.76,19.0,4.8,26.01,3.51,
2019-09-30,104.09,1.57,66.3,18.84,5.53,26.34,3.95,
2019-12-31,105.2,1.76,59.77,18.59,5.66,26.63,3.95,
2020-03-31,93.2,1.84,50.65,18.56,5.02,26.98,3.45,
2020-06-30,101.98,4.96,20.56,18.9,5.39,26.98,3.78,
2020-09-30,119.29,5.23,22.81,19.59,6.09,27.62,4.32,
2020-12-31,120.08,5.29,22.7,19.71,6.09,28.24,4.25,
2021-03-31,117.59,5.43,21.65,19.16,6.14,28.64,4.11,
2021-06-30,117.9,5.5,21.44,19.2,6.14,29.18,4.04,
2021-09-30,122.93,5.48,22.43,19.18,6.41,29.77,4.13,23.6
2021-12-31,144.73,5.67,25.52,18.73,7.73,30.46,4.75,27.06
2022-03-31,135.92,5.74,23.68,19.07,7.13,31.13,4.37,24.85
2022-06-30,128.62,5.81,22.14,19.57,6.57,31.53,4.08,23.94
2022-09-30,113.67,5.77,19.7,18.71,6.08,31.81,3.57,21.36
2022-12-31,137.42,5.7,24.11,18.96,7.25,31.95,4.3,25.56
2023-03-31,135.66,5.74,23.63,19.27,7.04,32.41,4.19,24.53
2023-06-30,139.31,5.9,23.61,19.93,6.99,32.99,4.22,24.49
2023-09-30,134.76,6.16,21.88,20.37,6.61,33.6,4.01,22.77
2023-12-31,136.24,5.97,22.82,20.75,6.57,33.91,4.02,22.36
2024-03-31,151.8,6.12,24.8,21.33,7.12,33.97,4.47,24.12
2024-06-30,155.3,6.02,25.8,21.45,7.24,34.0,4.57,24.12
2024-09-30,164.07,5.8,28.29,22.14,7.41,33.98,4.83,24.89
2024-12-31,159.75,6.28,25.44,21.94,7.28,34.19,4.67,23.82
2025-03-31,163.38,6.3,25.93,22.41,7.29,34.1,4.79,24.02
2025-06-30,153.72,6.51,23.61,22.18,6.93,34.3,4.48,23.02
2025-09-30,149.26,6.85,21.79,22.92,6.51,34.67,4.3,21.98
2025-12-31,140.19,6.75,20.77,22.94,6.11,34.93,4.01,20.27
2026-03-31,142.3,6.84,20.8,23.5,6.05,35.65,3.99,20.28
2026-06-30,145.55,6.62,21.99,23.37,6.23,35.89,4.06,21.25
2026-09-14,146.13,,22.07,,6.25,,4.07,
2026-09-15,,,,,,,,20.94
