period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2020-09-30,9.5,,,,0.0,,,
2020-12-31,23.55,,,0.85,27.72,,,
2021-03-31,23.29,,,0.97,24.0,,,
2021-06-30,26.36,-1.16,0.0,1.07,24.67,0.89,29.69,
2021-09-30,24.04,-0.27,0.0,1.13,21.29,0.77,31.31,136.36
2021-12-31,18.21,-0.27,0.0,1.13,16.12,0.81,22.47,97.64
2022-03-31,13.73,-0.25,0.0,1.16,11.88,0.84,16.3,69.27
2022-06-30,9.07,-0.27,0.0,1.14,7.97,0.87,10.38,45.58
2022-09-30,8.13,-0.28,0.0,1.15,7.08,0.9,8.98,63.82
2022-12-31,6.42,-0.18,0.0,1.26,5.1,0.93,6.93,43.47
2023-03-31,8.45,-0.12,0.0,1.32,6.38,0.94,8.95,41.62
2023-06-30,15.33,-0.02,0.0,1.41,10.86,0.95,16.17,67.59
2023-09-30,16.0,0.07,228.57,1.5,10.64,0.96,16.71,61.87
2023-12-31,17.17,0.09,190.78,1.62,10.61,0.98,17.6,58.8
2024-03-31,23.01,0.12,191.75,1.73,13.27,1.0,22.94,70.48
2024-06-30,25.33,0.17,149.0,1.85,13.7,1.05,24.13,74.76
2024-09-30,37.2,0.2,186.0,2.02,18.39,1.1,33.67,93.99
2024-12-31,75.63,0.19,398.05,2.18,34.72,1.18,64.22,165.78
2025-03-31,84.4,0.23,366.96,2.34,36.09,1.26,67.0,151.17
2025-06-30,136.32,0.3,454.4,2.54,53.66,1.37,99.47,220.83
2025-09-30,182.42,0.42,434.33,2.81,65.0,1.53,118.85,246.05
2025-12-31,177.75,0.63,282.14,3.13,56.76,1.75,101.82,191.54
2026-03-31,146.28,0.89,164.36,3.57,40.98,2.03,71.9,110.71
2026-06-30,116.67,1.17,99.72,4.11,28.36,2.4,48.69,73.85
2026-09-14,173.31,,148.13,,42.13,,72.32,
2026-09-15,,,,,,,,91.64
