period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2008-03-31,21.66,,,7.01,3.09,,,
2008-06-30,21.34,,,6.7,3.19,,,
2008-09-30,20.99,,,5.74,3.66,,,
2008-12-31,19.23,3.31,5.81,3.94,4.88,30.37,0.63,
2009-03-31,15.95,3.26,4.89,3.12,5.11,30.21,0.53,
2009-06-30,19.81,3.25,6.09,3.44,5.75,30.03,0.66,
2009-09-30,22.4,3.17,7.07,3.51,6.37,30.17,0.74,
2009-12-31,22.41,3.24,6.92,3.26,6.88,31.56,0.71,
2010-03-31,24.52,3.4,7.21,2.8,8.76,33.21,0.74,
2010-06-30,21.82,3.68,5.93,2.38,9.15,34.86,0.63,
2010-09-30,26.98,3.74,7.21,2.71,9.96,35.68,0.76,
2010-12-31,28.49,3.92,7.27,2.18,13.05,36.62,0.78,
2011-03-31,32.28,4.08,7.91,2.42,13.35,37.54,0.86,
2011-06-30,33.14,4.36,7.6,2.26,14.68,39.55,0.84,
2011-09-30,31.34,4.72,6.64,1.4,22.37,42.14,0.74,
2011-12-31,39.83,4.85,8.21,0.32,124.73,43.18,0.92,
2012-03-31,45.36,5.04,9.0,0.22,205.26,44.45,1.02,
2012-06-30,45.08,5.05,8.93,-0.66,-68.37,44.82,1.01,
2012-09-30,46.89,5.02,9.34,-0.69,-67.74,44.62,1.05,
2012-12-31,43.67,5.17,8.45,-1.91,-22.9,45.57,0.96,
2013-03-31,48.86,5.2,9.4,-2.47,-19.75,46.34,1.05,
2013-06-30,46.1,5.14,8.97,-3.22,-14.32,47.12,0.98,
2013-09-30,46.57,5.26,8.85,-4.48,-10.4,48.26,0.96,
2013-12-31,47.38,5.26,9.01,-3.95,-12.0,49.17,0.96,
2014-03-31,45.05,5.16,8.73,-4.54,-9.92,49.14,0.92,
2014-06-30,46.88,5.03,9.32,-5.01,-9.35,49.98,0.94,
2014-09-30,46.92,4.97,9.44,-5.58,-8.41,50.88,0.92,
2014-12-31,46.38,4.76,9.74,-7.24,-6.4,51.04,0.91,
2015-03-31,43.44,4.74,9.16,-7.91,-5.49,51.02,0.85,
2015-06-30,46.79,4.78,9.79,-7.62,-6.14,49.73,0.94,
2015-09-30,46.9,4.65,10.09,-7.89,-5.94,48.59,0.97,
2015-12-31,52.59,4.42,11.9,-7.41,-7.1,47.72,1.1,
2016-03-31,59.3,4.24,13.99,-7.02,-8.44,47.34,1.25,
2016-06-30,62.11,4.18,14.86,-6.96,-8.92,47.51,1.31,
2016-09-30,59.97,4.18,14.35,-6.65,-9.02,47.82,1.25,
2016-12-31,57.09,4.48,12.74,-7.03,-8.13,17.21,3.32,
2017-03-31,71.1,4.52,15.73,-6.8,-10.46,10.29,6.91,
2017-06-30,74.6,4.51,16.54,-6.62,-11.27,2.46,30.32,
2017-09-30,71.18,4.53,15.71,-6.2,-11.48,-5.58,0.0,
2017-12-31,68.42,3.88,17.63,-6.59,-10.39,18.51,3.7,
2018-03-31,65.07,3.86,16.86,-6.74,-9.65,19.04,3.42,
2018-06-30,53.6,4.13,12.98,-6.54,-8.19,19.56,2.74,
2018-09-30,54.9,4.3,12.77,-6.4,-8.58,19.57,2.8,
2018-12-31,45.64,5.08,8.98,-6.91,-6.61,19.05,2.4,
2019-03-31,61.19,4.95,12.36,-6.55,-9.35,18.96,3.23,
2019-06-30,55.18,5.03,10.97,-6.05,-9.13,18.93,2.91,
2019-09-30,54.24,4.81,11.28,-5.88,-9.22,19.02,2.85,
2019-12-31,61.62,4.61,13.37,-6.17,-9.99,19.15,3.22,
2020-03-31,53.78,4.91,10.95,-7.1,-7.57,19.41,2.77,
2020-06-30,52.47,4.67,11.24,-6.5,-8.07,18.73,2.8,
2020-09-30,57.05,4.93,11.57,-6.58,-8.67,18.6,3.07,
2020-12-31,63.89,5.16,12.38,-6.83,-9.36,18.42,3.47,
2021-03-31,69.41,5.54,12.53,-6.14,-11.3,18.69,3.71,
2021-06-30,78.46,5.68,13.81,-5.9,-13.29,19.29,4.07,
2021-09-30,75.96,5.75,13.21,-5.54,-13.71,19.71,3.85,15.05
2021-12-31,77.17,5.83,13.24,-5.29,-14.57,20.13,3.83,15.45
2022-03-31,77.34,5.78,13.38,-5.29,-14.61,20.26,3.82,15.66
2022-06-30,82.31,5.82,14.14,-4.68,-17.58,20.44,4.03,17.81
2022-09-30,70.19,5.61,12.51,-4.78,-14.7,20.41,3.44,14.76
2022-12-31,86.67,5.81,14.92,-4.07,-21.29,20.47,4.23,18.02
2023-03-31,84.4,5.59,15.1,-4.54,-18.57,20.64,4.09,15.37
2023-06-30,85.85,5.17,16.61,-5.13,-16.74,21.37,4.02,15.6
2023-09-30,82.56,5.15,16.03,-4.96,-16.63,22.07,3.74,14.72
2023-12-31,85.06,5.02,16.94,-6.08,-13.98,22.65,3.76,14.85
2024-03-31,83.99,5.12,16.4,-5.51,-15.25,23.14,3.63,14.38
2024-06-30,94.1,5.65,16.65,-5.11,-18.42,23.45,4.01,15.48
2024-09-30,114.0,6.3,18.09,-4.96,-22.98,23.93,4.76,17.85
2024-12-31,114.27,4.52,25.28,-6.35,-18.0,24.35,4.69,17.12
2025-03-31,152.04,4.86,31.28,-5.73,-26.51,24.67,6.16,22.27
2025-06-30,175.76,5.27,33.35,-6.43,-27.33,25.09,7.01,23.44
2025-09-30,156.53,5.53,28.31,-5.77,-27.12,25.68,6.1,20.3
2025-12-31,157.67,7.26,21.72,-5.16,-30.57,26.09,6.04,19.76
2026-03-31,163.98,7.1,23.1,-4.68,-35.01,26.63,6.16,19.57
2026-06-30,180.91,6.95,26.03,-4.27,-42.36,27.29,6.63,21.14
2026-09-14,194.86,,28.04,,0.0,,7.14,
2026-09-15,,,,,,,,22.19
