period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-01-31,5.09,,,4.49,1.13,,,
2006-04-30,5.94,,,4.65,1.28,,,
2006-07-31,5.66,,,4.73,1.2,,,
2006-09-30,5.35,0.25,21.12,4.79,1.12,11.26,0.48,
2006-12-31,7.63,0.28,27.25,4.97,1.54,12.4,0.62,
2007-03-31,7.73,0.23,33.14,4.98,1.55,13.7,0.56,
2007-06-30,7.68,0.28,27.41,5.11,1.5,15.0,0.51,
2007-09-30,9.16,0.29,31.22,5.19,1.76,16.81,0.54,
2007-12-31,10.65,0.34,31.33,5.34,2.0,17.44,0.61,
2008-03-31,9.52,0.45,21.14,5.56,1.71,17.87,0.53,
2008-06-30,12.18,0.59,20.77,5.82,2.1,18.23,0.67,
2008-09-30,9.86,0.75,13.09,6.05,1.63,18.63,0.53,
2008-12-31,7.01,0.87,8.03,6.11,1.15,19.27,0.36,
2009-03-31,8.53,0.95,8.95,6.38,1.34,19.34,0.44,
2009-06-30,8.96,1.1,8.12,6.89,1.3,19.38,0.46,
2009-09-30,9.28,1.14,8.11,7.18,1.29,19.26,0.48,
2009-12-31,7.62,1.19,6.39,7.45,1.02,18.21,0.42,
2010-03-31,7.86,1.22,6.44,7.73,1.02,17.52,0.45,
2010-06-30,6.61,1.13,5.83,7.99,0.83,16.68,0.4,
2010-09-30,7.52,0.71,10.54,7.92,0.95,15.74,0.48,
2010-12-31,7.95,0.51,15.69,8.0,0.99,15.37,0.52,
2011-03-31,9.53,0.27,34.88,8.13,1.17,14.84,0.64,
2011-06-30,8.82,-0.02,0.0,8.15,1.08,14.87,0.59,
2011-09-30,7.49,-0.08,0.0,7.81,0.96,15.92,0.47,
2011-12-31,7.56,-0.2,0.0,7.75,0.98,16.85,0.45,
2012-03-31,8.28,-0.04,0.0,8.0,1.03,18.43,0.45,
2012-06-30,9.03,0.3,30.1,8.32,1.09,19.89,0.45,
2012-09-30,9.35,0.83,11.26,8.67,1.08,19.44,0.48,
2012-12-31,10.04,1.09,9.24,8.88,1.13,19.05,0.53,
2013-03-31,12.71,1.07,11.91,9.05,1.4,17.99,0.71,
2013-06-30,12.48,0.99,12.65,9.29,1.34,17.3,0.72,
2013-09-30,14.81,1.17,12.66,9.89,1.5,17.79,0.83,
2013-12-31,16.25,1.19,13.66,9.99,1.63,18.46,0.88,
2014-03-31,15.78,1.43,11.04,10.31,1.53,18.9,0.84,
2014-06-30,15.99,1.25,12.79,10.41,1.54,18.3,0.87,
2014-09-30,10.04,0.81,12.45,10.28,0.98,17.9,0.56,
2014-12-31,12.13,0.57,21.16,10.07,1.21,17.37,0.7,
2015-03-31,8.41,0.04,210.35,9.65,0.87,17.61,0.48,
2015-06-30,8.82,0.16,55.15,10.14,0.87,18.42,0.48,
2015-09-30,7.62,0.26,28.96,9.78,0.78,18.46,0.41,
2015-12-31,6.65,0.26,25.89,9.54,0.7,18.63,0.36,
2016-03-31,7.69,0.52,14.69,9.76,0.79,18.35,0.42,
2016-06-30,10.22,0.47,21.91,9.79,1.04,17.24,0.59,
2016-09-30,10.48,0.45,23.12,9.81,1.07,16.49,0.64,
2016-12-31,10.27,0.46,22.5,9.64,1.07,15.31,0.67,
2017-03-31,9.14,0.27,33.85,9.56,0.96,13.92,0.66,
2017-06-30,8.55,0.03,256.08,9.48,0.9,12.55,0.68,
2017-09-30,8.09,-0.28,0.0,9.37,0.86,11.53,0.7,
2017-12-31,7.81,-0.43,0.0,9.11,0.86,10.93,0.71,
2018-03-31,7.38,-0.5,0.0,8.91,0.83,10.82,0.68,
2018-06-30,9.65,-0.4,0.0,8.76,1.1,11.83,0.82,
2018-09-30,10.11,-0.21,0.0,8.76,1.15,12.98,0.78,
2018-12-31,7.03,-0.12,0.0,8.46,0.83,13.52,0.52,
2019-03-31,7.52,0.0,0.0,8.44,0.89,14.12,0.53,
2019-06-30,10.85,0.14,77.48,8.53,1.27,14.5,0.75,
2019-09-30,11.25,0.28,39.71,8.62,1.31,14.85,0.76,
2019-12-31,14.17,0.44,32.21,8.67,1.63,15.53,0.91,
2020-03-31,7.48,0.63,11.94,8.61,0.87,16.31,0.46,
2020-06-30,8.06,0.58,13.9,8.71,0.93,15.78,0.51,
2020-09-30,7.17,0.47,15.14,8.8,0.81,14.79,0.48,
2020-12-31,8.84,0.38,23.07,8.79,1.01,14.0,0.63,
2021-03-31,10.25,0.16,62.76,8.73,1.17,13.06,0.78,
2021-06-30,9.43,0.01,0.0,8.64,1.09,12.99,0.73,
2021-09-30,7.56,0.02,455.54,8.59,0.88,13.38,0.57,73.83
2021-12-31,9.16,-0.05,0.0,8.38,1.09,13.35,0.69,69.39
2022-03-31,6.1,-0.08,0.0,8.29,0.74,13.58,0.45,69.38
2022-06-30,7.42,0.23,32.26,8.37,0.89,14.09,0.53,38.0
2022-09-30,6.76,0.38,17.63,8.41,0.8,14.97,0.45,34.84
2022-12-31,11.39,0.5,22.94,8.41,1.36,15.45,0.74,35.18
2023-03-31,13.88,0.76,18.18,8.59,1.61,16.54,0.84,34.48
2023-06-30,19.83,1.02,19.51,9.11,2.18,18.03,1.1,24.78
2023-09-30,27.22,1.5,18.15,9.7,2.81,19.23,1.42,22.25
2023-12-31,29.12,2.13,13.69,10.21,2.85,21.04,1.38,17.37
2024-03-31,46.96,2.81,16.71,10.95,4.29,23.31,2.01,19.18
2024-06-30,47.4,3.57,13.29,12.14,3.9,25.9,1.83,16.31
2024-09-30,73.5,4.1,17.94,13.43,5.47,27.68,2.66,17.87
2024-12-31,73.45,4.39,16.73,13.71,5.36,28.99,2.53,16.16
2025-03-31,56.51,4.74,11.91,14.95,3.78,29.64,1.91,11.64
2025-06-30,69.93,4.8,14.57,16.43,4.26,29.61,2.36,14.59
2025-09-30,101.39,4.95,20.47,17.7,5.73,30.25,3.35,20.99
2025-12-31,106.13,5.13,20.67,18.37,5.78,30.51,3.48,20.5
2026-03-31,180.22,5.11,35.24,19.46,9.26,30.99,5.81,31.73
2026-06-30,286.23,5.21,54.9,20.76,13.79,31.67,9.04,49.28
2026-09-15,171.37,,32.87,,8.26,,5.41,26.55
