period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,31.58,,,8.01,3.94,,,
2006-06-30,25.07,,,7.85,3.19,,,
2006-09-30,22.81,,,8.12,2.81,,,
2006-12-31,23.79,1.46,16.3,8.57,2.78,4.56,5.22,
2007-03-31,26.94,1.55,17.38,9.03,2.98,4.81,5.6,
2007-06-30,27.49,1.65,16.66,9.53,2.88,5.04,5.45,
2007-09-30,26.87,1.95,13.78,9.62,2.79,5.24,5.13,
2007-12-31,25.11,2.03,12.37,9.58,2.62,5.5,4.56,
2008-03-31,26.25,2.07,12.68,9.57,2.74,5.78,4.54,
2008-06-30,28.5,2.05,13.9,10.26,2.78,6.08,4.68,
2008-09-30,27.68,1.9,14.57,10.84,2.55,6.73,4.11,
2008-12-31,23.19,1.64,14.14,10.39,2.23,6.77,3.42,
2009-03-31,25.31,0.99,25.56,10.35,2.44,6.68,3.79,
2009-06-30,29.51,0.98,30.11,11.28,2.62,6.65,4.44,
2009-09-30,29.47,0.95,31.03,12.17,2.42,6.23,4.73,
2009-12-31,30.43,1.25,24.34,12.76,2.39,6.3,4.83,
2010-03-31,27.72,1.89,14.67,12.63,2.19,6.4,4.33,
2010-06-30,21.81,1.92,11.36,12.36,1.76,6.4,3.41,
2010-09-30,30.13,1.96,15.37,12.94,2.33,6.59,4.57,
2010-12-31,33.17,2.17,15.29,13.91,2.38,7.04,4.71,
2011-03-31,36.87,2.3,16.03,15.01,2.46,7.75,4.76,
2011-06-30,38.33,2.44,15.71,15.68,2.44,8.22,4.66,
2011-09-30,32.97,2.52,13.08,16.05,2.05,8.88,3.71,
2011-12-31,37.23,2.62,14.21,16.89,2.2,9.57,3.89,
2012-03-31,46.48,3.31,14.04,18.63,2.5,10.11,4.6,
2012-06-30,38.19,3.39,11.27,19.05,2.01,10.62,3.6,
2012-09-30,43.03,3.51,12.26,19.66,2.19,10.99,3.92,
2012-12-31,42.77,3.79,11.29,20.6,2.08,11.7,3.66,
2013-03-31,46.46,3.57,13.01,21.8,2.13,12.34,3.76,
2013-06-30,42.63,3.78,11.28,21.83,1.95,13.25,3.22,
2013-09-30,47.23,3.91,12.08,21.42,2.21,14.14,3.34,
2013-12-31,52.34,3.91,13.39,21.95,2.38,14.55,3.6,
2014-03-31,55.85,3.99,14.0,22.69,2.46,14.78,3.78,
2014-06-30,56.38,4.4,12.81,23.12,2.44,15.22,3.71,
2014-09-30,53.52,4.65,11.51,23.47,2.28,15.42,3.47,
2014-12-31,53.52,4.73,11.32,23.47,2.28,15.79,3.39,
2015-03-31,50.22,4.22,11.9,23.17,2.17,16.22,3.1,
2015-06-30,45.67,3.64,12.55,21.04,2.17,15.83,2.89,
2015-09-30,39.51,3.22,12.27,20.61,1.92,15.26,2.59,
2015-12-31,37.13,3.04,12.21,20.22,1.84,14.85,2.5,
2016-03-31,38.34,3.19,12.02,20.2,1.9,14.42,2.66,
2016-06-30,40.54,3.43,11.82,20.8,1.95,14.91,2.72,
2016-09-30,52.28,3.81,13.72,21.52,2.43,15.71,3.33,
2016-12-31,50.15,3.28,15.29,21.11,2.38,15.91,3.15,
2017-03-31,44.52,3.0,14.84,21.21,2.1,15.58,2.86,
2017-06-30,43.3,2.61,16.59,21.19,2.04,15.11,2.87,
2017-09-30,41.1,1.64,25.06,20.86,1.97,14.92,2.75,
2017-12-31,51.18,-2.87,0.0,16.16,3.17,15.0,3.41,
2018-03-31,44.68,-3.15,0.0,16.07,2.78,15.12,2.95,
2018-06-30,45.74,-2.92,0.0,15.7,2.91,15.27,2.99,
2018-09-30,59.23,-3.39,0.0,0.66,89.47,15.28,3.88,
2018-12-31,47.31,1.53,30.92,2.99,15.83,15.15,3.12,
2019-03-31,47.96,1.86,25.78,3.18,15.06,15.75,3.04,
2019-06-30,64.56,2.8,23.06,4.49,14.39,19.83,3.26,
2019-09-30,65.25,3.59,18.17,4.29,15.22,19.83,3.29,
2019-12-31,76.05,3.52,21.61,3.95,19.26,20.25,3.76,
2020-03-31,58.78,3.38,17.39,2.7,21.75,20.69,2.84,
2020-06-30,79.86,2.37,33.7,2.93,27.25,17.15,4.66,
2020-09-30,103.59,4.52,22.92,5.37,19.28,20.47,5.06,
2020-12-31,134.68,5.84,23.06,6.5,20.73,23.21,5.8,
2021-03-31,117.78,6.96,16.92,6.58,17.91,25.58,4.6,
2021-06-30,127.61,7.99,15.97,7.25,17.6,28.32,4.51,
2021-09-26,,,,,,,,14.87
2021-09-30,115.69,7.87,14.7,8.84,13.08,29.18,3.96,
2021-12-26,,,,,,,,17.19
2021-12-31,164.65,8.73,18.86,10.07,16.34,31.43,5.24,
2022-03-27,,,,,,,,13.09
2022-03-31,138.17,9.77,14.14,11.88,11.63,34.33,4.02,
2022-06-26,,,,,,,,9.62
2022-06-30,116.1,11.29,10.28,14.3,8.12,36.94,3.14,
2022-09-25,,,,,,,,9.53
2022-09-30,103.26,11.37,9.08,16.07,6.43,38.83,2.66,
2022-12-25,,,,,,,,10.87
2022-12-31,101.12,10.37,9.75,16.81,6.02,37.83,2.67,
2023-03-26,,,,,,,,12.42
2023-03-31,118.07,9.32,12.67,17.68,6.68,36.29,3.25,
2023-06-25,,,,,,,,13.52
2023-06-30,110.93,7.63,14.54,18.54,5.98,34.17,3.25,
2023-09-24,,,,,,,,12.67
2023-09-30,104.23,6.42,16.23,19.37,5.38,31.81,3.28,
2023-12-24,,,,,,,,15.58
2023-12-31,136.59,6.9,19.8,20.62,6.62,32.26,4.23,
2024-03-24,,,,,,,,17.43
2024-03-31,160.7,7.44,21.6,21.89,7.34,32.31,4.97,
2024-06-23,,,,,,,,20.45
2024-06-30,189.84,7.72,24.59,22.11,8.59,33.07,5.74,
2024-09-29,,,,,,,,15.74
2024-09-30,162.91,8.97,18.16,23.61,6.9,34.47,4.73,
2024-12-29,,,,,,,,14.1
2024-12-31,147.94,9.34,15.84,24.3,6.09,36.06,4.1,
2025-03-30,,,,,,,,13.06
2025-03-31,148.73,9.8,15.18,25.21,5.9,37.6,3.96,
2025-06-29,,,,,,,,13.66
2025-06-30,155.13,10.35,14.99,25.1,6.18,38.74,4.0,
2025-09-28,,,,,,,,14.23
2025-09-30,162.97,5.01,32.53,19.74,8.25,39.88,4.09,
2025-12-28,,,,,,,,14.45
2025-12-31,168.42,4.96,33.96,21.48,7.84,40.83,4.12,
2026-03-29,,,,,,,,12.15
2026-03-31,127.61,9.32,13.69,25.76,4.95,40.87,3.12,
2026-06-28,,,,,,,,19.26
2026-06-30,183.79,8.76,20.98,26.17,7.02,40.75,4.51,
2026-09-14,180.15,,20.57,,6.88,,4.42,19.43
