period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-06-30,14.88,,,,0.0,,,
2006-12-31,15.56,,,,0.0,,,
2007-06-30,22.69,,,,0.0,,,
2007-12-31,31.36,0.0,0.0,,0.0,0.0,0.0,
2008-06-30,37.25,0.0,0.0,,0.0,0.0,0.0,
2008-12-31,6.74,0.0,0.0,,0.0,0.0,0.0,
2009-03-31,10.44,3.12,3.35,,0.0,18.54,0.56,
2009-06-30,12.76,3.12,4.09,,0.0,18.54,0.69,
2009-12-31,19.85,3.12,6.37,,0.0,18.54,1.07,
2010-06-30,16.21,3.12,5.2,,0.0,18.54,0.87,
2010-12-31,26.87,0.0,0.0,,0.0,0.0,0.0,
2011-06-30,27.36,0.0,0.0,,0.0,0.0,0.0,
2011-12-31,18.68,0.0,0.0,,0.0,0.0,0.0,
2012-06-30,18.54,0.0,0.0,,0.0,0.0,0.0,
2012-12-31,22.86,0.0,0.0,,0.0,0.0,0.0,
2013-06-30,16.46,0.0,0.0,,0.0,0.0,0.0,
2013-12-31,23.0,0.0,0.0,,0.0,0.0,0.0,
2014-06-30,22.56,0.0,0.0,,0.0,0.0,0.0,
2014-12-31,19.46,0.0,0.0,,0.0,0.0,0.0,
2015-06-30,17.85,0.0,0.0,,0.0,0.0,0.0,
2015-12-31,12.96,0.0,0.0,,0.0,0.0,0.0,
2016-12-31,18.05,0.0,0.0,,0.0,0.0,0.0,
2017-06-30,20.41,0.0,0.0,,0.0,0.0,0.0,
2017-12-31,26.14,0.0,0.0,,0.0,0.0,0.0,
2018-06-30,28.33,0.0,0.0,,0.0,0.0,0.0,
2018-12-31,25.38,0.0,0.0,,0.0,0.0,0.0,
2019-06-30,35.14,0.0,0.0,,0.0,0.0,0.0,
2019-12-31,34.9,0.0,0.0,,0.0,0.0,0.0,
2020-06-30,34.65,0.0,0.0,,0.0,0.0,0.0,
2020-12-31,47.54,0.0,0.0,,0.0,0.0,0.0,
2021-06-30,55.47,0.0,0.0,,0.0,0.0,0.0,
2021-12-31,47.35,0.0,0.0,,0.0,0.0,0.0,
2022-06-30,45.98,0.0,0.0,,0.0,0.0,0.0,
2022-12-31,56.1,0.0,0.0,,0.0,0.0,0.0,
2023-06-30,51.93,0.0,0.0,,0.0,0.0,0.0,
2023-12-31,62.3,0.0,0.0,,0.0,0.0,0.0,
2024-06-30,57.45,0.0,0.0,,0.0,0.0,0.0,
2024-12-31,52.73,0.0,0.0,,0.0,0.0,0.0,
2025-06-30,54.21,0.0,0.0,,0.0,0.0,0.0,
2025-12-31,76.18,0.0,0.0,,0.0,0.0,0.0,
2026-06-30,92.89,0.0,0.0,,,0.0,0.0,
2026-09-14,97.64,,0.0,,0.0,,0.0,
