period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,21.0,,,17.17,1.22,,,
2006-06-30,23.08,,,18.24,1.27,,,
2006-09-30,23.16,,,18.87,1.23,,,
2006-12-31,22.96,3.71,6.19,17.37,1.32,47.48,0.48,
2007-03-31,23.97,3.77,6.36,18.21,1.32,49.32,0.49,
2007-06-30,26.26,3.84,6.84,19.35,1.36,51.21,0.51,
2007-09-30,29.94,4.06,7.37,20.51,1.46,53.14,0.56,
2007-12-31,28.6,4.27,6.7,21.71,1.32,56.27,0.51,
2008-03-31,25.84,4.48,5.77,22.18,1.16,58.22,0.44,
2008-06-30,23.27,4.64,5.02,22.72,1.02,60.68,0.38,
2008-09-30,22.77,4.76,4.78,22.18,1.03,62.53,0.36,
2008-12-31,20.48,4.9,4.18,17.67,1.16,61.46,0.33,
2009-03-31,16.57,4.65,3.56,17.82,0.93,60.37,0.27,
2009-06-30,20.19,4.38,4.61,19.55,1.03,58.07,0.35,
2009-09-30,23.85,4.19,5.69,20.95,1.14,56.61,0.42,
2009-12-31,27.33,4.12,6.63,22.42,1.22,56.48,0.48,
2010-03-31,29.18,4.27,6.83,22.42,1.3,56.21,0.52,
2010-06-30,25.89,4.42,5.86,22.51,1.15,56.92,0.45,
2010-09-30,28.6,4.58,6.24,24.1,1.19,57.33,0.5,
2010-12-31,31.8,4.74,6.71,24.24,1.31,56.57,0.56,
2011-03-31,34.38,4.92,6.99,25.27,1.36,57.47,0.6,
2011-06-30,36.16,5.17,6.99,26.12,1.38,58.46,0.62,
2011-09-30,28.95,5.34,5.42,26.03,1.11,59.43,0.49,
2011-12-31,30.27,5.49,5.51,25.15,1.2,61.39,0.49,
2012-03-31,34.56,4.74,7.29,25.84,1.34,61.27,0.56,
2012-06-30,31.68,4.76,6.66,26.02,1.22,60.63,0.52,
2012-09-30,33.08,4.85,6.82,28.47,1.16,61.42,0.54,
2012-12-31,34.91,5.66,6.17,29.46,1.19,63.71,0.55,
2013-03-31,40.03,6.69,5.98,29.98,1.34,65.73,0.61,
2013-06-30,40.06,6.93,5.78,30.92,1.3,67.99,0.59,
2013-09-30,46.72,6.94,6.73,32.61,1.43,68.29,0.68,
2013-12-31,49.6,6.25,7.94,36.24,1.37,61.89,0.8,
2014-03-31,51.21,6.18,8.29,36.76,1.39,62.21,0.82,
2014-06-30,50.87,6.31,8.06,38.47,1.32,63.49,0.8,
2014-09-30,46.81,6.78,6.9,38.82,1.21,62.66,0.75,
2014-12-31,51.28,6.82,7.52,35.81,1.43,63.38,0.81,
2015-03-31,52.56,7.08,7.42,33.89,1.55,62.03,0.85,
2015-06-30,50.04,6.97,7.18,35.86,1.4,59.75,0.84,
2015-09-30,40.42,6.47,6.25,36.13,1.12,59.28,0.68,
2015-12-31,43.94,8.61,5.1,34.41,1.28,63.02,0.7,
2016-03-31,46.14,8.45,5.46,35.73,1.29,64.36,0.72,
2016-06-30,47.61,8.37,5.69,36.62,1.3,65.68,0.72,
2016-09-30,47.47,8.61,5.51,37.36,1.27,67.37,0.7,
2016-12-31,51.56,6.12,8.42,36.07,1.43,68.92,0.75,
2017-03-31,53.11,6.43,8.26,36.53,1.45,70.08,0.76,
2017-06-30,58.14,6.58,8.84,37.75,1.54,71.38,0.81,
2017-09-30,55.62,6.47,8.6,39.68,1.4,73.0,0.76,
2017-12-31,61.52,5.7,10.79,39.32,1.56,74.88,0.82,
2018-03-31,61.04,5.59,10.92,40.61,1.5,76.7,0.8,
2018-06-30,61.02,6.35,9.61,41.68,1.46,78.45,0.78,
2018-09-30,68.62,6.22,11.03,42.76,1.6,80.15,0.86,
2018-12-31,52.58,6.5,8.09,47.14,1.12,43.55,1.21,
2019-03-31,64.05,6.44,9.95,48.64,1.32,45.84,1.4,
2019-06-30,65.08,6.08,10.7,49.81,1.31,38.06,1.71,
2019-09-30,68.68,5.87,11.7,49.6,1.38,30.64,2.24,
2019-12-31,75.74,6.41,11.82,51.17,1.48,52.57,1.44,
2020-03-31,47.95,4.75,10.09,48.41,0.99,44.36,1.08,
2020-06-30,53.57,0.0,0.0,45.1,1.19,40.6,1.32,
2020-09-30,50.4,-1.16,0.0,46.14,1.09,37.18,1.36,
2020-12-31,63.08,-2.59,0.0,48.6,1.3,44.32,1.42,
2021-03-31,68.58,-1.99,0.0,48.39,1.42,41.27,1.66,
2021-06-30,76.17,1.24,61.42,48.23,1.58,42.4,1.8,
2021-09-30,77.21,2.0,38.6,48.73,1.58,43.42,1.78,19.2
2021-12-31,77.75,2.56,30.37,50.0,1.56,42.63,1.82,18.62
2022-03-31,90.0,2.78,32.37,49.75,1.81,43.05,2.09,20.6
2022-06-30,87.83,2.98,29.47,48.76,1.8,43.51,2.02,19.85
2022-09-30,75.25,2.99,25.17,48.8,1.54,44.2,1.7,17.0
2022-12-31,93.31,3.5,26.66,50.59,1.84,45.08,2.07,20.88
2023-03-31,91.05,3.75,24.28,50.88,1.79,46.26,1.97,19.5
2023-06-30,91.63,3.77,24.31,50.88,1.8,47.78,1.92,19.03
2023-09-30,67.79,2.15,31.53,49.53,1.37,45.62,1.49,13.87
2023-12-31,79.84,2.23,35.8,46.28,1.73,47.33,1.69,16.25
2024-03-31,93.15,2.54,36.67,46.71,1.99,50.09,1.86,18.12
2024-06-30,96.46,1.72,56.08,45.59,2.12,52.31,1.84,18.34
2024-09-30,117.04,3.49,33.54,47.2,2.48,57.94,2.02,21.41
2024-12-31,112.38,3.55,31.66,46.48,2.42,60.15,1.87,19.83
2025-03-31,129.29,3.41,37.92,47.39,2.73,60.73,2.13,21.53
2025-06-30,143.25,4.55,31.48,47.97,2.99,61.98,2.31,24.23
2025-09-30,164.88,4.87,33.86,49.49,3.33,63.6,2.59,27.49
2025-12-31,181.43,4.96,36.58,49.99,3.63,65.38,2.78,28.44
2026-03-31,191.46,5.33,35.92,50.49,3.79,66.53,2.88,28.3
2026-06-30,189.1,5.68,33.29,50.54,3.74,68.7,2.75,27.49
2026-09-14,195.34,,34.39,,3.87,,2.84,
2026-09-15,,,,,,,,26.49
