period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-01-31,17.75,,,,0.0,,,
2006-04-30,19.61,,,,0.0,,,
2006-07-31,18.8,,,,0.0,,,
2006-10-31,20.64,3.15,6.55,,0.0,22.68,0.91,
2007-01-31,21.68,3.39,6.39,,0.0,24.25,0.89,
2007-04-30,24.58,3.51,7.0,,0.0,22.16,1.11,
2007-07-31,24.29,3.74,6.5,,0.0,20.01,1.21,
2007-10-31,28.42,3.88,7.33,,0.0,21.1,1.35,
2008-01-31,24.47,3.85,6.35,,0.0,18.47,1.32,
2008-04-30,23.47,3.69,6.36,,0.0,18.5,1.27,
2008-07-31,22.87,3.58,6.39,,0.0,18.59,1.23,
2008-10-31,19.43,3.33,5.83,,0.0,18.19,1.07,
2009-01-31,12.53,2.96,4.23,,0.0,17.75,0.71,
2009-04-30,18.25,2.2,8.3,,0.0,17.34,1.05,
2009-07-31,24.77,2.29,10.82,,0.0,18.47,1.34,
2009-10-31,26.53,2.33,11.39,,0.0,16.24,1.63,
2010-01-31,26.06,2.69,9.69,,0.0,17.98,1.45,
2010-04-30,32.42,3.61,8.98,,0.0,20.22,1.6,
2010-07-31,28.27,3.4,8.31,,0.0,19.92,1.42,
2010-10-31,29.13,3.35,8.69,,0.0,20.58,1.41,
2011-01-31,29.58,3.66,8.08,,0.0,22.24,1.33,
2011-04-30,34.97,3.83,9.13,,0.0,22.88,1.53,
2011-07-31,30.14,2.92,10.32,,0.0,23.71,1.27,
2011-10-31,27.76,3.24,8.57,,0.0,23.42,1.18,
2012-01-31,30.01,3.2,9.38,,0.0,22.5,1.33,
2012-04-30,33.46,3.13,10.69,,0.0,21.87,1.53,
2012-07-31,29.93,4.72,6.34,,0.0,22.17,1.35,
2012-10-31,33.73,4.93,6.84,,0.0,22.61,1.49,
2013-01-31,37.23,5.01,7.43,,0.0,23.01,1.62,
2013-04-30,36.45,5.28,6.9,,0.0,23.94,1.52,
2013-07-31,37.97,5.24,7.25,,0.0,23.87,1.59,
2013-10-31,41.33,5.29,7.81,,0.0,25.49,1.62,
2014-01-31,38.42,5.23,7.35,,0.0,26.09,1.47,
2014-04-30,41.88,5.35,7.83,,0.0,25.77,1.63,
2014-07-31,46.69,5.36,8.71,,0.0,25.36,1.84,
2014-10-31,45.45,5.43,8.37,,0.0,26.11,1.74,
2015-01-31,36.5,5.49,6.65,,0.0,25.38,1.44,
2015-04-30,43.28,5.48,7.9,,0.0,25.41,1.7,
2015-07-31,38.38,5.38,7.13,,0.0,25.59,1.5,
2015-10-31,37.78,5.32,7.1,,0.0,23.65,1.6,
2016-01-31,34.48,5.16,6.68,34.25,1.01,22.9,1.51,
2016-03-31,38.73,5.07,7.63,34.54,1.12,22.82,1.7,
2016-07-31,41.86,5.18,8.08,36.52,1.15,23.67,1.77,
2016-10-31,43.33,5.11,8.47,36.39,1.19,23.38,1.85,
2017-01-31,50.29,5.44,9.24,36.68,1.37,23.78,2.11,
2017-04-30,48.35,5.58,8.66,37.71,1.28,24.39,1.98,
2017-07-31,53.13,5.52,9.62,37.85,1.4,24.48,2.17,
