period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,4.31,,,,0.0,,,
2006-06-30,4.36,,,,0.0,,,
2006-09-30,4.75,,,,0.0,,,
2006-12-31,5.66,1.23,4.61,,0.0,3.8,1.49,
2007-03-31,5.45,1.31,4.15,,0.0,3.99,1.36,
2007-06-30,5.7,1.74,3.28,,0.0,4.94,1.15,
2007-09-30,6.04,1.23,4.92,,0.0,2.99,2.02,
2007-12-31,6.79,1.76,3.87,,0.0,3.69,1.84,
2008-03-31,6.35,1.86,3.42,,0.0,3.86,1.64,
2008-06-30,5.91,1.99,2.97,,0.0,2.81,2.1,
2008-09-30,4.94,2.02,2.44,,0.0,1.85,2.67,
2008-12-31,3.26,1.84,1.77,,0.0,4.56,0.72,
2009-03-31,2.43,1.69,1.44,,0.0,4.32,0.56,
2009-06-30,4.43,1.49,2.97,,0.0,5.87,0.75,
2009-09-30,5.99,1.38,4.34,,0.0,7.37,0.81,
2009-12-31,6.16,1.36,4.53,,0.0,5.78,1.07,
2010-03-31,5.03,1.36,3.7,,0.0,6.33,0.8,
2010-06-30,4.08,1.31,3.11,,0.0,4.83,0.84,
2010-09-30,4.98,1.19,4.18,,0.0,3.27,1.52,
2010-12-31,4.24,1.14,3.71,,0.0,5.91,0.72,
2011-03-31,4.74,1.13,4.18,,0.0,5.51,0.86,
2011-06-30,4.78,1.13,4.22,,0.0,7.32,0.65,
2011-09-30,3.4,1.16,2.93,,0.0,8.96,0.38,
2011-12-31,3.25,0.89,3.66,,0.0,5.99,0.54,
2012-03-31,3.39,0.79,4.27,,0.0,6.13,0.55,
2012-06-30,3.02,0.49,6.16,,0.0,5.79,0.52,
2012-09-30,3.65,0.24,15.45,,0.0,5.42,0.67,
2012-12-31,4.1,0.27,14.98,,0.0,5.08,0.81,
2013-03-31,3.5,0.22,16.13,,0.0,5.82,0.6,
2013-06-30,3.43,0.33,10.36,,0.0,5.54,0.62,
2013-09-30,4.46,0.45,9.83,,0.0,5.43,0.82,
2013-12-31,5.07,0.52,9.76,,0.0,4.58,1.11,
2014-03-31,5.48,0.52,10.54,,0.0,3.63,1.51,
2014-06-30,6.08,0.55,11.11,,0.0,3.58,1.7,
2014-09-30,5.66,0.57,9.98,,0.0,3.49,1.62,
2014-12-31,5.07,0.58,8.79,,0.0,3.4,1.49,
2015-03-31,4.64,0.55,8.48,,0.0,3.1,1.5,
2015-06-30,4.47,0.52,8.6,,0.0,2.79,1.6,
2015-09-30,3.39,0.48,7.04,,0.0,2.38,1.42,
2015-12-31,3.16,0.46,6.83,,0.0,2.36,1.34,
2016-03-31,2.87,0.45,6.3,7.13,0.4,2.78,1.03,
2016-06-30,2.61,0.42,6.25,,0.0,2.25,1.16,
2016-09-30,2.97,0.42,7.09,,0.0,1.87,1.59,
2016-12-31,3.53,0.42,8.32,7.36,0.48,4.93,0.72,
2017-03-31,4.19,0.43,9.71,7.24,0.58,4.97,0.84,
2017-06-30,4.66,0.46,10.07,,0.0,4.96,0.94,
2017-09-30,4.96,0.44,11.28,,0.0,4.96,1.0,
2017-12-31,4.71,0.43,10.94,7.07,0.67,4.9,0.96,
2018-03-31,4.76,0.45,10.61,7.59,0.63,4.8,0.99,
2018-06-30,3.93,0.44,8.91,7.29,0.54,4.59,0.85,
2018-09-30,3.73,0.47,7.89,7.19,0.52,5.1,0.73,
2018-12-31,3.37,0.5,6.74,7.38,0.46,4.37,0.77,
2019-03-31,3.53,0.47,7.55,7.29,0.48,4.38,0.81,
2019-06-30,3.55,0.44,8.06,7.19,0.49,4.55,0.78,
2020-03-31,1.87,0.33,5.73,6.65,0.28,4.85,0.38,
2020-09-30,1.47,0.31,4.71,6.43,0.23,2.62,0.56,
2021-03-31,2.85,0.3,9.46,6.44,0.44,2.3,1.24,
2021-06-30,3.27,0.35,9.25,6.65,0.49,2.3,1.42,
2021-09-30,3.03,0.48,6.31,6.5,0.47,2.01,1.5,
2021-12-31,2.79,0.52,5.42,6.62,0.42,3.71,0.75,
2022-03-31,2.87,0.58,4.98,6.43,0.45,4.0,0.72,
2022-06-30,2.42,0.58,4.17,6.18,0.39,3.99,0.61,
2022-09-30,2.01,0.58,3.45,5.96,0.34,3.44,0.58,
2022-12-31,2.61,0.57,4.61,6.12,0.43,5.26,0.5,
2023-03-31,3.26,0.57,5.73,6.49,0.5,5.91,0.55,
2023-06-30,3.34,0.61,5.51,6.88,0.49,5.95,0.56,
2023-09-30,3.38,0.65,5.19,6.92,0.49,5.98,0.57,
2023-12-31,3.81,0.7,5.41,6.97,0.55,7.94,0.48,
2024-03-31,4.46,0.73,6.12,7.21,0.62,8.36,0.53,
2024-06-30,4.35,0.77,5.66,7.2,0.6,8.41,0.52,
2025-03-31,6.45,0.81,8.01,7.68,0.84,10.34,0.62,
2025-06-30,8.12,0.87,9.33,8.31,0.98,4.94,1.65,
2025-09-30,10.26,0.94,10.87,8.63,1.19,3.78,2.72,
2025-12-31,11.59,1.02,11.38,8.68,1.33,8.81,1.32,
2026-03-31,11.14,1.22,9.15,8.69,1.28,9.02,1.24,
2026-06-30,13.8,1.26,10.96,9.17,1.5,9.06,1.52,
2026-09-14,14.74,,11.71,,1.61,,1.63,
