period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,38.62,,,,0.0,,,
2006-06-30,37.64,,,,0.0,,,
2006-09-30,35.47,,,,0.0,,,
2006-12-31,38.05,1.95,19.51,,0.0,9.72,3.92,
2007-03-31,32.0,2.01,15.92,,0.0,10.07,3.18,
2007-06-30,37.07,2.09,17.74,,0.0,10.53,3.52,
2007-09-30,42.59,2.15,19.81,,0.0,10.95,3.89,
2007-12-31,37.05,2.21,16.77,,0.0,11.71,3.16,
2008-03-31,35.98,2.18,16.5,,0.0,12.46,2.89,
2008-06-30,38.37,2.22,17.28,,0.0,13.5,2.84,
2008-09-30,39.34,2.27,17.33,,0.0,14.42,2.73,
2008-12-31,26.67,2.31,11.54,,0.0,14.39,1.85,
2009-03-31,25.98,2.24,11.6,,0.0,14.07,1.85,
2009-06-30,30.09,2.21,13.62,,0.0,13.4,2.24,
2009-09-30,36.59,2.23,16.41,,0.0,12.86,2.84,
2009-12-31,35.05,2.14,16.38,,0.0,12.76,2.75,
2010-03-31,36.06,2.35,15.35,,0.0,12.85,2.81,
2010-06-30,33.68,2.38,14.15,,0.0,12.92,2.61,
2010-09-30,37.49,2.42,15.49,,0.0,13.29,2.82,
2010-12-31,38.48,2.06,18.68,,0.0,14.17,2.72,
2011-03-31,46.65,2.12,22.0,,0.0,15.06,3.1,
2011-06-30,46.74,2.29,20.41,,0.0,15.89,2.94,
2011-09-30,39.01,3.17,12.3,,0.0,16.36,2.38,
2011-12-31,40.8,3.98,10.25,,0.0,16.62,2.46,
2012-03-31,53.8,3.97,13.57,,0.0,16.57,3.25,
2012-06-30,46.93,3.96,11.84,,0.0,16.79,2.79,
2012-09-30,56.39,3.15,17.89,,0.0,16.95,3.33,
2012-12-31,63.54,3.12,20.37,15.68,4.05,17.94,3.54,
2013-03-31,63.67,3.22,19.8,,0.0,18.23,3.49,
2013-06-30,58.43,3.31,17.67,,0.0,18.47,3.16,
2013-09-30,59.3,3.5,16.93,,0.0,18.81,3.15,
2013-12-31,69.91,3.83,18.25,18.52,3.77,19.39,3.61,
2014-03-31,65.23,3.87,16.88,,0.0,19.65,3.32,
2014-06-30,63.75,3.71,17.17,,0.0,19.96,3.19,
2014-09-30,59.74,3.83,15.58,,0.0,20.19,2.96,
2014-12-31,57.66,3.64,15.83,21.78,2.65,19.51,2.96,
2015-03-31,59.75,3.42,17.47,,0.0,19.51,3.06,
2015-06-30,59.05,3.21,18.42,,0.0,19.34,3.05,
2015-09-30,54.48,3.07,17.73,,0.0,19.26,2.83,
2015-12-31,66.51,2.84,23.39,21.6,3.08,19.28,3.45,
2016-03-31,67.62,2.98,22.71,,0.0,19.42,3.48,
2016-06-30,64.16,3.31,19.36,,0.0,19.75,3.25,
2016-09-30,78.17,3.16,24.73,,0.0,20.13,3.88,
2016-12-31,73.91,3.21,23.03,22.67,3.26,19.44,3.8,
2017-03-31,83.95,3.14,26.75,,0.0,19.76,4.25,
2017-06-30,90.68,2.99,30.36,,0.0,20.16,4.5,
2017-09-30,94.99,3.27,29.05,,0.0,20.65,4.6,
2017-12-31,97.34,4.03,24.15,24.98,3.9,23.56,4.13,
2018-03-31,91.1,4.3,21.2,,0.0,24.26,3.76,
2018-06-30,101.73,4.4,23.14,,0.0,24.92,4.08,
2018-09-30,108.19,4.39,24.67,,0.0,25.3,4.28,
2018-12-31,87.56,4.04,21.68,28.57,3.06,24.42,3.59,
2019-03-31,101.56,3.2,31.74,,0.0,24.82,4.09,
2019-06-30,121.97,3.02,40.33,,0.0,25.07,4.87,
2019-09-30,105.09,3.23,32.53,,0.0,25.53,4.12,
2019-12-31,119.46,3.11,38.37,28.92,4.13,25.85,4.62,
2020-03-31,98.52,3.98,24.77,,0.0,26.09,3.78,
2020-06-30,126.62,4.25,29.81,,0.0,26.14,4.84,
2020-09-30,140.92,4.63,30.44,,0.0,26.29,5.36,
2020-12-31,117.93,4.97,23.73,27.83,4.24,26.4,4.47,
2021-03-31,111.06,5.28,21.03,,0.0,26.84,4.14,
2021-06-30,129.13,5.86,22.05,,0.0,27.36,4.72,
2021-09-30,124.14,5.72,21.7,,0.0,27.72,4.48,
2021-12-31,128.8,5.27,24.44,39.99,3.22,27.92,4.61,
2022-03-31,102.01,4.91,20.77,,0.0,28.17,3.62,
2022-06-30,85.85,3.83,22.41,,0.0,28.18,3.05,
2022-09-30,76.89,3.0,25.64,,0.0,28.03,2.74,
2022-12-31,97.65,2.04,47.77,36.75,2.66,27.64,3.53,
2023-03-31,119.76,1.78,67.31,,0.0,27.7,4.32,
2023-06-30,131.62,4.67,28.18,,0.0,27.87,4.72,
2023-09-30,124.41,5.27,23.6,,0.0,28.39,4.38,
2023-12-31,148.72,5.63,26.43,38.24,3.89,28.73,5.18,
2024-03-31,187.63,4.43,42.37,,0.0,29.33,6.4,
2024-06-30,196.49,2.04,96.28,,0.0,29.93,6.57,
2024-09-30,223.17,2.23,100.02,,0.0,30.62,7.29,
2024-12-31,239.84,2.87,83.64,40.35,5.94,31.37,7.64,
2025-03-31,261.49,5.22,50.09,,0.0,32.04,8.16,
2025-06-30,298.9,6.05,49.43,,0.0,33.18,9.01,
2025-09-30,262.64,6.68,39.32,,0.0,34.33,7.65,
2025-12-31,238.76,6.9,34.6,41.51,5.75,35.44,6.74,
2026-03-31,168.29,7.24,23.24,,0.0,36.95,4.55,
2026-06-30,154.11,7.79,19.78,,0.0,38.15,4.04,
2026-09-14,218.28,,28.02,,0.0,,5.72,
