period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,12.72,,,3.59,3.54,,,
2006-06-30,11.83,,,3.61,3.28,,,
2006-09-30,13.28,,,3.67,3.62,,,
2006-12-31,14.39,0.95,15.14,3.96,3.63,3.34,4.3,
2007-03-31,13.64,0.98,13.92,3.94,3.46,3.44,3.96,
2007-06-30,15.34,1.02,15.04,4.05,3.79,3.56,4.31,
2007-09-30,16.98,2.09,8.13,2.94,5.78,3.8,4.47,
2007-12-31,20.13,1.96,10.27,3.22,6.26,4.04,4.98,
2008-03-31,14.87,2.0,7.44,3.16,4.71,4.26,3.49,
2008-06-30,16.26,2.03,8.01,3.38,4.81,4.44,3.66,
2008-09-30,20.63,1.01,20.43,3.52,5.86,4.44,4.65,
2008-12-31,12.88,1.05,12.27,3.51,3.67,4.45,2.89,
2009-03-31,12.4,0.98,12.65,3.71,3.34,4.28,2.89,
2009-06-30,14.08,0.9,15.64,3.98,3.54,4.09,3.45,
2009-09-30,15.42,0.81,19.04,4.22,3.65,3.88,3.98,
2009-12-31,15.21,0.68,22.36,4.37,3.48,3.62,4.21,
2010-03-31,15.15,0.49,30.92,4.75,3.19,3.48,4.36,
2010-06-30,11.53,0.48,24.03,4.92,2.34,3.45,3.35,
2010-09-30,11.35,0.41,27.68,5.05,2.25,3.47,3.27,
2010-12-31,14.02,0.38,36.91,5.18,2.71,3.56,3.94,
2011-03-31,14.83,0.58,25.56,5.38,2.76,3.74,3.97,
2011-06-30,13.57,0.61,22.25,5.57,2.44,3.82,3.55,
2011-09-30,9.34,0.69,13.54,6.03,1.55,3.89,2.4,
2011-12-31,9.38,0.7,13.4,6.07,1.55,3.85,2.44,
2012-03-31,12.03,0.65,18.5,6.55,1.84,3.78,3.18,
2012-06-30,10.87,0.65,16.72,7.15,1.52,3.81,2.85,
2012-09-30,10.8,0.66,16.37,7.42,1.46,3.78,2.85,
2012-12-31,12.18,0.69,17.65,7.51,1.62,3.83,3.18,
2013-03-31,15.06,0.69,21.82,7.64,1.97,3.9,3.86,
2013-06-30,18.14,0.67,27.07,7.57,2.4,3.94,4.61,
2013-09-30,18.11,0.7,25.87,7.81,2.32,4.06,4.46,
2013-12-31,22.33,0.78,28.62,8.0,2.79,4.21,5.3,
2014-03-31,23.53,0.87,27.04,8.31,2.83,4.33,5.43,
2014-06-30,23.24,0.92,25.26,8.58,2.71,4.42,5.25,
2014-09-30,25.42,0.94,27.04,8.79,2.89,4.54,5.6,
