period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2023-09-30,2.19,,,0.53,4.15,,,
2023-12-31,3.42,,,0.65,5.29,,,
2024-03-31,14.08,,,0.85,16.62,,,
2024-06-30,14.7,1.16,12.64,1.5,9.8,5.49,2.68,16.23
2024-09-30,28.43,1.57,18.17,1.83,15.57,6.27,4.53,22.66
2024-12-31,42.63,2.19,19.47,2.6,16.37,7.57,5.63,22.97
2025-03-31,34.89,2.97,11.75,3.7,9.42,9.16,3.81,15.79
2025-06-30,179.25,2.93,61.18,3.83,46.76,10.39,17.25,52.49
2025-09-30,79.53,3.24,24.55,4.55,17.49,11.69,6.8,21.91
2025-12-31,63.48,3.72,17.06,5.02,12.63,12.59,5.04,15.16
2026-03-31,63.29,4.19,15.11,5.86,10.81,13.57,4.66,13.49
2026-06-30,171.63,4.58,37.47,6.92,24.8,15.1,11.37,32.24
2026-09-14,121.57,,26.54,,17.57,,8.05,
2026-09-15,,,,,,,,20.29
