period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,22.3,,,31.25,0.71,,,
2006-06-30,24.21,,,32.89,0.74,,,
2006-09-30,24.11,,,33.95,0.71,,,
2006-12-31,26.05,7.9,3.3,35.61,0.73,98.61,0.26,
2007-03-31,24.64,8.1,3.04,35.25,0.7,98.68,0.25,
2007-06-30,30.48,8.6,3.54,35.63,0.86,100.06,0.3,
2007-09-30,31.14,8.94,3.48,37.62,0.83,102.54,0.3,
2007-12-31,32.17,9.98,3.22,39.72,0.81,113.09,0.28,
2008-03-31,26.63,10.6,2.51,,0.0,126.62,0.21,
2008-06-30,31.86,11.58,2.75,,0.0,142.12,0.22,
2008-09-30,23.28,12.12,1.92,44.88,0.52,155.94,0.15,
2008-12-31,21.17,8.52,2.48,41.29,0.51,148.24,0.14,
2009-03-31,18.0,6.74,2.67,,0.0,130.52,0.14,
2009-06-30,20.75,4.24,4.89,43.3,0.48,108.71,0.19,
2009-09-30,24.02,2.56,9.38,44.38,0.54,90.53,0.27,
2009-12-31,25.61,4.08,6.28,38.96,0.66,92.93,0.28,
2010-03-31,25.03,4.72,5.3,44.78,0.56,101.85,0.25,
2010-06-30,22.03,4.92,4.48,44.59,0.49,110.81,0.2,
2010-09-30,26.84,4.98,5.39,46.29,0.58,116.32,0.23,
2010-12-31,30.1,6.56,4.59,47.85,0.63,123.07,0.24,
2011-03-31,33.24,7.62,4.36,,0.0,132.27,0.25,
2011-06-30,32.82,8.96,3.66,52.99,0.62,142.56,0.23,
2011-09-30,28.73,10.08,2.85,52.66,0.55,153.01,0.19,
2011-12-31,34.55,9.94,3.48,,0.0,155.69,0.22,
2012-03-31,33.53,9.9,3.39,,0.0,158.21,0.21,
2012-06-30,32.65,8.44,3.87,56.08,0.58,156.99,0.21,
2012-09-30,34.02,8.48,4.01,58.15,0.59,153.28,0.22,
2012-12-31,34.23,8.54,4.01,55.14,0.62,154.16,0.22,
2013-03-31,32.77,8.32,3.94,,0.0,150.95,0.22,
2013-06-30,32.5,7.54,4.31,55.98,0.58,149.05,0.22,
2013-09-30,33.93,6.76,5.02,56.73,0.6,150.24,0.23,
2013-12-31,37.33,5.2,7.18,56.87,0.66,146.67,0.25,
2014-03-31,38.76,4.06,9.55,,0.0,145.86,0.27,
2014-06-30,44.22,5.2,8.5,,0.0,145.46,0.3,
2014-09-30,41.35,5.1,8.11,56.78,0.73,142.21,0.29,
2014-12-31,36.86,4.72,7.81,54.44,0.68,136.62,0.27,
2015-03-31,33.31,4.66,7.15,,0.0,122.57,0.27,
2015-06-30,32.31,4.22,7.66,,0.0,109.28,0.3,
2015-09-30,27.3,0.5,54.59,50.92,0.54,96.23,0.28,
2015-12-31,26.86,0.6,44.77,51.04,0.53,85.21,0.32,
2016-03-31,29.02,-0.64,0.0,49.37,0.59,78.01,0.37,
2016-06-30,33.7,-1.58,0.0,,0.0,70.23,0.48,
2016-09-30,31.14,1.08,28.83,46.51,0.67,64.12,0.49,
2016-12-31,34.45,1.16,29.7,46.12,0.75,62.3,0.55,
2017-03-31,33.99,1.88,18.08,46.89,0.72,65.74,0.52,
2017-06-30,34.87,1.96,17.79,47.54,0.73,67.88,0.51,
2017-09-30,40.38,2.6,15.53,47.9,0.84,71.03,0.57,
2017-12-31,45.14,3.12,14.47,47.42,0.95,75.27,0.6,
2018-03-31,43.8,3.66,11.97,48.26,0.91,79.39,0.55,
2018-06-30,48.16,4.72,10.2,48.24,1.0,85.56,0.56,
2018-09-30,48.07,5.14,9.35,48.55,0.99,91.2,0.53,
2018-12-31,41.75,5.6,7.45,49.29,0.85,95.02,0.44,
2019-03-31,45.52,5.66,8.04,49.17,0.93,94.1,0.48,
2019-06-30,48.02,4.96,9.68,48.59,0.99,92.84,0.52,
2019-09-30,44.17,5.02,8.8,48.27,0.91,90.73,0.49,
2019-12-31,44.97,3.9,11.53,46.36,0.97,86.63,0.52,
2020-03-31,27.08,2.44,11.1,45.03,0.6,81.21,0.33,
2020-06-30,25.64,-2.96,0.0,48.78,0.53,67.1,0.38,
2020-09-30,19.94,-4.3,0.0,50.53,0.39,56.34,0.35,
2020-12-31,28.13,-5.56,0.0,40.61,0.69,46.92,0.6,
2021-03-31,31.64,-4.12,0.0,42.7,0.74,46.42,0.68,
2021-06-30,32.89,1.42,23.16,43.87,0.75,53.93,0.61,
2021-09-30,36.71,1.18,31.11,42.97,0.85,58.34,0.63,
