period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2015-06-30,3.4,,,0.26,12.88,,,
2015-09-30,3.52,,,,0.0,,,
2015-12-31,2.58,,,0.24,10.58,,,
2016-03-31,2.82,-0.03,0.0,0.24,11.97,0.36,7.87,
2016-06-30,3.08,-0.03,0.0,0.23,13.43,0.38,8.09,
2016-09-30,4.29,-0.04,0.0,0.46,9.28,0.43,10.03,
2016-12-31,4.29,-0.04,0.0,0.46,9.34,0.47,9.13,
2017-03-31,6.81,-0.05,0.0,0.53,12.95,0.52,13.09,
2017-06-30,8.69,-0.05,0.0,0.99,8.76,0.57,15.13,
2017-09-30,11.65,-0.05,0.0,1.0,11.71,0.63,18.47,
2017-12-31,10.1,-0.04,0.0,1.0,10.08,0.71,14.26,
2018-03-31,12.46,-0.04,0.0,1.56,7.98,0.78,16.04,
2018-06-30,14.59,-0.05,0.0,1.56,9.37,0.85,17.22,
2018-09-30,16.45,-0.06,0.0,1.56,10.52,0.93,17.75,
2018-12-31,13.85,-0.06,0.0,1.89,7.31,1.02,13.58,
2019-03-31,20.66,-0.07,0.0,1.91,10.82,1.1,18.81,
2019-06-30,30.02,-0.07,0.0,1.92,15.63,1.19,25.21,
2019-09-30,31.17,-0.11,0.0,2.44,12.75,1.28,24.29,
2019-12-31,39.76,-0.11,0.0,2.59,15.35,1.4,28.31,
2020-03-31,41.69,-0.12,0.0,2.59,16.07,1.52,27.47,
2020-06-30,94.92,-0.06,0.0,3.85,24.63,1.78,53.43,
2020-09-30,102.3,0.16,647.45,5.07,20.19,2.05,50.01,
2020-12-31,113.2,0.26,437.05,5.22,21.67,2.39,47.35,
2021-03-31,110.65,1.28,86.45,7.35,15.05,2.77,39.96,
2021-06-30,146.1,1.94,75.27,8.11,18.01,3.06,47.67,
2021-09-30,135.58,2.69,50.46,9.05,14.97,3.33,40.7,273.01
2021-12-31,137.74,2.29,60.15,8.84,15.58,3.62,38.02,224.55
2022-03-31,67.6,0.13,536.48,7.76,8.71,3.8,17.8,205.8
2022-06-30,31.24,-1.51,0.0,6.92,4.51,3.95,7.92,167.13
2022-09-30,26.94,-2.53,0.0,6.83,3.94,4.14,6.51,167.13
2022-12-31,34.71,-2.73,0.0,6.46,5.37,4.43,7.84,167.13
2023-03-31,47.94,-1.51,0.0,6.61,7.25,4.64,10.33,167.13
2023-06-30,64.6,-1.58,0.0,5.82,11.1,4.94,13.09,143.08
2023-09-30,54.57,-0.91,0.0,6.45,8.46,5.18,10.53,78.2
2023-12-31,77.9,0.1,779.0,7.05,11.05,5.47,14.25,75.87
2024-03-31,77.17,-0.16,0.0,6.9,11.18,5.75,13.43,75.34
2024-06-30,66.05,0.99,66.72,7.11,9.29,6.0,11.01,64.22
2024-09-30,80.14,1.08,74.2,7.83,10.23,6.33,12.65,67.52
2024-12-31,106.33,1.55,68.6,8.93,11.91,6.84,15.54,75.09
2025-03-31,95.48,1.23,77.63,8.52,11.21,7.22,13.23,64.14
2025-06-30,115.35,1.79,64.44,9.33,12.36,7.69,15.0,78.96
2025-09-30,148.61,1.35,110.08,9.61,15.46,8.2,18.13,95.1
2025-12-31,160.97,0.94,171.24,10.33,15.58,8.85,18.19,95.92
2026-03-31,118.62,1.02,116.29,9.61,12.34,9.46,12.54,64.85
2026-06-30,114.18,1.49,76.63,9.84,11.61,10.17,11.22,60.36
2026-09-14,133.89,,89.86,,13.61,,13.16,
2026-09-15,,,,,,,,64.1
