period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2007-03-31,0.9,,,0.29,3.09,,,
2007-06-30,1.0,,,0.38,2.61,,,
2007-09-30,0.98,,,0.4,2.43,,,
2007-12-31,0.77,0.06,12.37,0.43,1.79,1.31,0.58,
2008-03-31,0.84,0.06,13.47,0.44,1.88,1.34,0.62,
2008-06-30,0.74,0.07,11.35,0.46,1.59,1.39,0.53,
2008-09-30,0.9,0.07,13.25,0.49,1.84,1.46,0.62,
2008-12-31,0.63,0.06,10.21,0.49,1.29,1.44,0.44,
2009-03-31,0.49,0.05,9.46,0.5,0.99,1.37,0.36,
2009-06-30,0.77,0.04,18.68,0.51,1.49,1.31,0.59,
2009-09-30,0.85,0.03,25.64,0.53,1.6,1.32,0.64,
2009-12-31,1.11,0.04,29.26,0.55,2.01,1.44,0.77,
2010-03-31,1.73,0.05,32.6,0.58,2.98,1.61,1.07,
2010-06-30,1.35,0.07,20.77,0.61,2.23,1.78,0.76,
2010-09-30,1.04,0.07,14.43,0.63,1.66,1.91,0.55,
2010-12-31,1.15,0.08,14.43,0.66,1.75,2.03,0.57,
2011-03-31,1.6,0.09,18.44,0.69,2.31,2.12,0.76,
2011-06-30,1.61,0.09,17.3,0.71,2.26,2.24,0.72,
2011-09-30,1.25,0.1,13.19,0.74,1.7,2.31,0.54,
2011-12-31,1.57,0.09,17.82,0.77,2.05,2.3,0.68,
2012-03-31,1.75,0.08,22.1,0.79,2.2,2.29,0.76,
2012-06-30,1.59,0.07,23.67,0.81,1.95,2.3,0.69,
2012-09-30,1.2,0.05,24.06,0.82,1.47,2.35,0.51,
2012-12-31,1.02,0.04,24.88,0.84,1.22,2.45,0.42,
2013-03-31,1.13,0.04,27.54,0.86,1.32,2.54,0.44,
2013-06-30,1.06,0.05,22.17,0.88,1.2,2.65,0.4,
2013-09-30,1.35,0.06,21.49,0.9,1.5,2.73,0.5,
2013-12-31,1.72,0.08,20.93,0.94,1.82,2.85,0.6,
2014-03-31,1.74,0.1,17.2,0.99,1.75,3.01,0.58,
2014-06-30,2.53,0.12,21.78,1.04,2.44,3.19,0.79,
2014-09-30,2.94,0.14,20.87,1.09,2.7,3.39,0.87,
2014-12-31,3.49,0.17,20.28,1.17,2.97,3.59,0.97,
2015-03-31,3.32,0.18,18.35,1.24,2.68,3.7,0.9,
2015-06-30,2.96,0.19,15.99,1.31,2.27,3.85,0.77,
2015-09-30,2.73,0.18,15.4,1.34,2.03,4.01,0.68,
2015-12-31,2.45,0.18,13.62,1.42,1.73,4.27,0.57,
2016-03-31,3.41,0.17,20.41,1.47,2.33,4.35,0.78,
2016-06-30,2.49,0.14,17.88,1.43,1.73,4.3,0.58,
2016-09-30,2.34,0.14,17.31,1.46,1.6,4.29,0.55,
2016-12-31,2.81,0.12,24.39,1.51,1.85,4.33,0.65,
2017-03-31,2.54,0.11,22.24,1.55,1.64,4.53,0.56,
2017-06-30,2.47,0.13,19.11,1.58,1.56,4.82,0.51,
2017-09-30,2.21,0.11,19.91,,0.0,5.15,0.43,
2017-12-31,2.09,0.07,32.19,,0.0,5.54,0.38,
2018-03-31,1.7,0.06,26.98,,0.0,5.97,0.28,
2018-06-30,2.37,0.09,26.57,1.7,1.39,6.54,0.36,
2018-09-30,2.06,0.11,18.08,,0.0,7.03,0.29,
2018-12-31,1.38,0.15,9.08,1.8,0.77,7.19,0.19,
2019-03-31,2.11,0.15,14.57,1.83,1.15,7.02,0.3,
2019-06-30,1.94,0.14,13.92,1.88,1.03,6.79,0.29,
2019-09-30,1.92,0.15,12.55,1.94,0.99,6.47,0.3,
2019-12-31,2.4,0.16,14.74,1.98,1.21,6.32,0.38,
2020-03-31,2.13,0.17,12.44,2.0,1.06,6.31,0.34,
2020-06-30,2.84,0.16,17.74,2.03,1.4,6.36,0.45,
2020-09-30,2.64,0.16,16.71,2.07,1.27,6.21,0.43,
2020-12-31,3.17,0.16,19.3,2.16,1.47,6.08,0.52,
2021-03-31,3.91,0.17,22.98,2.11,1.85,6.33,0.62,
2021-06-30,3.52,0.21,16.83,2.17,1.62,6.63,0.53,
2021-09-30,3.66,0.21,17.58,2.22,1.65,7.18,0.51,12.23
2021-12-31,4.4,0.23,18.78,2.3,1.91,7.82,0.56,12.89
2022-03-31,3.81,0.34,11.13,2.46,1.55,8.66,0.44,10.39
2022-06-30,4.04,0.53,7.61,2.73,1.48,9.71,0.42,7.01
2022-09-30,5.51,0.82,6.74,3.08,1.79,11.13,0.49,7.08
2022-12-31,8.21,1.05,7.8,3.41,2.41,12.15,0.68,9.08
2023-03-31,10.66,1.06,10.02,3.37,3.16,11.91,0.89,12.26
2023-06-30,24.93,1.14,21.86,3.73,6.69,12.76,1.95,22.28
2023-09-30,27.42,1.08,25.51,4.06,6.75,13.1,2.09,16.46
2023-12-31,28.43,1.27,22.37,5.5,5.17,16.2,1.75,15.1
2024-03-31,101.0,1.78,56.81,8.7,11.61,20.19,5.0,36.58
2024-06-30,81.94,1.92,42.67,9.21,8.89,25.18,3.25,25.4
2024-09-30,41.64,2.32,17.95,9.94,4.19,30.76,1.35,12.41
2024-12-31,30.48,2.32,13.14,10.51,2.9,33.38,0.91,10.97
2025-03-31,34.24,1.83,18.71,10.69,3.2,34.51,0.99,11.51
2025-06-30,49.01,1.68,29.17,10.61,4.62,34.78,1.41,19.89
2025-09-30,47.94,1.27,37.75,10.93,4.39,33.05,1.45,18.58
2025-12-31,29.27,1.36,21.52,11.67,2.51,42.4,0.69,12.59
2026-03-31,22.77,1.91,11.92,12.6,1.81,49.8,0.46,9.19
2026-06-30,29.33,3.2,9.17,,,56.41,0.52,9.86
2026-09-15,35.64,,11.14,,2.83,,0.63,8.22
