period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,9.59,,,,0.0,,,
2006-06-30,9.22,,,,0.0,,,
2006-09-30,9.14,,,,0.0,,,
2006-12-31,8.91,-35.89,0.0,,0.0,606.72,0.01,
2007-03-31,7.94,0.92,8.63,,0.0,607.2,0.01,
2007-06-30,8.16,2.46,3.32,,0.0,635.82,0.01,
2007-09-30,6.88,-20.9,0.0,,0.0,583.03,0.01,
2007-12-31,6.76,-14.98,0.0,,0.0,666.86,0.01,
2008-03-31,6.0,1.64,3.66,,0.0,672.62,0.01,
2008-06-30,6.87,-22.92,0.0,,0.0,474.18,0.01,
2008-09-30,5.47,-33.03,0.0,,0.0,265.34,0.02,
2008-12-31,3.85,-65.64,0.0,,0.0,10.3,0.37,
2009-03-31,3.23,0.16,20.16,,0.0,2.38,1.35,
2009-06-30,3.8,0.0,0.0,,0.0,0.01,287.52,
2009-09-30,3.31,0.09,36.81,,0.0,1.43,2.31,
2009-12-31,2.69,0.36,7.48,,0.0,3.19,0.84,
2010-03-31,3.2,0.52,6.14,,0.0,5.29,0.6,
2010-06-30,2.77,0.86,3.22,,0.0,6.68,0.41,
2010-09-30,2.89,1.11,2.61,,0.0,7.09,0.41,
2010-12-31,3.53,0.84,4.21,,0.0,5.33,0.66,
2011-03-31,3.24,0.61,5.31,,0.0,6.73,0.48,
2011-06-30,3.19,2.05,1.55,,0.0,14.02,0.23,
2011-09-30,2.98,1.9,1.57,,0.0,13.98,0.21,
2011-12-31,3.0,2.18,1.38,,0.0,16.31,0.18,
2012-03-31,3.69,2.45,1.5,,0.0,14.67,0.25,
2012-06-30,3.69,0.89,4.14,,0.0,7.73,0.48,
2012-09-30,3.58,1.1,3.26,,0.0,7.86,0.46,
2012-12-31,4.26,1.18,3.61,,0.0,7.35,0.58,
2013-03-31,4.82,1.42,3.39,,0.0,7.52,0.64,
2013-06-30,5.44,1.63,3.34,,0.0,7.59,0.72,
2013-09-30,5.81,1.55,3.75,,0.0,7.36,0.79,
2013-12-31,6.26,1.47,4.26,,0.0,7.2,0.87,
2014-03-31,5.24,1.22,4.3,,0.0,6.8,0.77,
2014-06-30,5.13,1.12,4.58,,0.0,6.58,0.78,
2014-09-30,5.03,1.12,4.49,,0.0,6.47,0.78,
2014-12-31,4.47,1.09,4.1,,0.0,6.3,0.71,
2015-03-31,4.83,0.99,4.88,,0.0,6.23,0.77,
2015-06-30,5.54,0.98,5.65,13.1,0.42,6.07,0.91,
2016-06-30,3.71,0.91,4.07,14.01,0.27,6.07,0.61,
2017-06-30,5.3,0.97,5.46,14.56,0.36,6.26,0.85,
2018-06-30,5.44,1.18,4.62,15.45,0.35,6.49,0.84,
2019-06-30,5.16,1.14,4.53,14.78,0.35,6.73,0.77,
2020-06-30,4.35,1.01,4.33,14.88,0.29,6.41,0.68,
2021-06-30,5.63,0.97,5.83,15.96,0.35,5.92,0.95,
2022-06-30,5.07,0.95,5.32,13.98,0.36,5.45,0.93,
2023-06-30,7.78,0.94,8.26,14.7,0.53,5.97,1.3,
2024-06-30,12.53,1.19,10.56,14.76,0.85,7.11,1.76,
2025-06-30,14.63,1.32,11.08,15.68,0.93,8.46,1.73,
2025-12-31,19.03,1.04,18.36,,,7.13,2.67,
2026-06-30,23.58,1.26,18.67,16.16,1.46,7.65,3.08,
2026-09-14,27.24,,21.57,,1.69,,3.56,
