period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2025-03-28,,,,,,,,37.08
2025-03-31,47.61,,,63.18,0.75,,,
2025-06-27,,,,,,,,14.43
2025-06-30,45.35,,,63.12,0.72,,,
2025-09-30,112.2,,,63.82,1.76,,,
2025-10-03,,,,,,,,20.85
2025-12-31,237.38,-7.6,0.0,69.01,3.44,59.68,3.98,
2026-01-02,,,,,,,,16.27
2026-03-31,635.34,30.16,21.07,93.09,6.83,85.89,7.4,
2026-04-03,,,,,,,,8.93
2026-06-30,2273.73,73.76,30.83,105.61,21.53,130.62,17.41,
2026-07-03,,,,,,,,9.91
2026-09-14,1551.99,,21.04,,14.7,,11.88,7.25
