period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-01-31,22.11,,,8.2,2.7,,,
2006-04-30,21.83,,,8.33,2.62,,,
2006-07-31,17.9,,,8.24,2.17,,,
2006-10-31,22.51,0.17,132.41,8.27,2.72,7.54,2.99,
2007-01-31,26.6,0.32,83.13,8.79,3.03,7.79,3.41,
2007-04-30,27.66,0.56,49.39,9.08,3.05,7.87,3.52,
2007-07-31,24.46,0.68,35.97,9.18,2.67,7.97,3.07,
2007-10-31,28.26,0.87,32.48,9.81,2.88,8.12,3.48,
2008-01-31,22.02,1.02,21.59,10.02,2.2,8.19,2.69,
2008-04-30,23.11,1.01,22.88,10.12,2.28,8.46,2.73,
2008-07-31,24.02,1.23,19.53,10.71,2.24,8.77,2.74,
2008-10-31,18.28,1.29,14.17,10.78,1.7,9.05,2.02,
2009-01-31,18.5,1.35,13.7,11.3,1.64,9.34,1.98,
2009-04-30,21.78,1.41,15.45,11.75,1.85,9.42,2.31,
2009-07-31,19.98,1.34,14.91,12.22,1.64,9.45,2.11,
2009-10-31,22.02,1.15,19.15,12.55,1.75,9.38,2.35,
2010-01-31,21.27,1.66,12.81,13.45,1.58,9.19,2.31,
2010-04-30,22.66,1.59,14.25,13.74,1.65,9.09,2.49,
2010-07-31,21.84,1.53,14.27,13.89,1.57,8.96,2.44,
2010-10-31,25.58,1.56,16.4,14.14,1.81,9.11,2.81,
2011-01-31,27.13,0.99,27.4,14.46,1.88,9.29,2.92,
2011-04-30,27.39,1.26,21.74,14.66,1.87,9.65,2.84,
2011-07-31,23.97,1.35,17.76,14.77,1.62,10.04,2.39,
2011-10-31,26.81,1.47,18.24,14.66,1.83,10.16,2.64,
2012-01-31,29.17,1.55,18.82,15.09,1.93,10.68,2.73,
2012-04-30,30.01,1.16,25.87,15.58,1.93,11.0,2.73,
2012-07-31,30.29,1.31,23.12,16.09,1.88,11.33,2.67,
2012-10-31,32.2,1.21,26.61,16.86,1.91,11.76,2.74,
2013-01-31,33.44,1.27,26.33,17.12,1.95,11.94,2.8,
2013-04-30,35.57,1.57,22.66,17.57,2.02,12.23,2.91,
2013-07-31,37.04,1.4,26.46,17.73,2.09,12.36,3.0,
2013-10-31,36.42,1.58,23.05,18.09,2.01,12.56,2.9,
2014-01-31,39.86,1.56,25.55,18.33,2.18,12.54,3.18,
2014-04-30,37.62,1.52,24.75,18.87,1.99,12.65,2.97,
2014-07-31,37.77,1.61,23.46,19.25,1.96,12.89,2.93,
2014-10-31,40.98,1.64,24.99,19.6,2.09,13.08,3.13,
2015-01-31,42.99,1.62,26.54,19.14,2.25,13.47,3.19,
2015-04-30,46.88,1.57,29.86,19.77,2.37,13.71,3.42,
2015-07-31,50.84,1.5,33.89,20.13,2.53,13.91,3.66,
2015-10-31,49.98,1.43,34.95,20.2,2.47,14.21,3.52,
2016-01-31,42.9,1.41,30.43,19.74,2.17,14.42,2.98,
2016-04-30,47.52,1.51,31.47,20.69,2.3,14.8,3.21,
2016-07-31,54.16,1.58,34.28,20.61,2.63,15.29,3.54,
2016-10-31,59.31,1.73,34.28,21.1,2.81,15.67,3.78,
2017-01-31,62.89,1.9,33.1,22.1,2.85,16.24,3.87,
2017-04-30,73.7,1.79,41.17,22.43,3.29,16.71,4.41,
2017-07-31,76.57,2.12,36.12,22.79,3.36,17.21,4.45,
2017-10-31,86.52,0.88,98.32,21.8,3.97,17.61,4.91,
2018-01-31,92.61,0.3,308.7,21.08,4.39,18.53,5.0,
2018-04-30,85.51,0.63,135.73,21.89,3.91,19.21,4.45,
2018-07-31,89.43,0.4,223.58,21.3,4.2,19.83,4.51,
2018-10-31,89.53,2.82,31.75,23.35,3.83,20.51,4.36,
2019-01-31,93.35,3.85,24.25,25.35,3.68,20.74,4.5,
2019-04-30,121.08,3.95,30.65,26.11,4.64,21.1,5.74,
