period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,11.86,,,9.79,1.21,,,
2006-06-30,10.42,,,10.12,1.03,,,
2006-09-30,11.19,,,10.33,1.08,,,
2006-12-31,11.93,0.83,14.38,10.86,1.1,,,
2007-03-31,12.45,0.77,16.17,10.99,1.13,,,
2007-06-30,12.6,-0.25,0.0,9.91,1.27,,,
2007-09-30,11.0,-0.27,0.0,10.37,1.06,,,
2007-12-31,9.39,-0.53,0.0,10.64,0.88,,,
2008-03-31,7.0,-0.7,0.0,10.93,0.64,,,
2008-06-30,6.82,0.09,75.8,10.44,0.65,,,
2008-09-30,6.76,-0.43,0.0,9.92,0.68,,,
2008-12-31,4.47,-0.88,0.0,9.33,0.48,,,
2009-03-31,3.39,-1.41,0.0,8.63,0.39,,,
2009-06-30,5.15,-1.72,0.0,8.36,0.62,,,
2009-09-30,6.49,-1.63,0.0,8.31,0.78,,,
2009-12-31,6.4,-1.29,0.0,8.14,0.79,,,
2010-03-31,6.82,-0.61,0.0,7.86,0.87,,,
2010-06-30,5.52,0.14,39.4,7.71,0.72,,,
2010-09-30,5.36,0.59,9.09,8.34,0.64,,,
2010-12-31,7.39,0.92,8.03,9.64,0.77,,,
2011-03-31,8.83,1.05,8.41,9.08,0.97,,,
2011-06-30,7.13,1.12,6.37,9.17,0.78,,,
2011-09-30,4.72,0.98,4.82,9.56,0.49,,,
2011-12-31,4.37,0.72,6.07,9.04,0.48,,,
2012-03-31,6.11,0.33,18.53,8.84,0.69,,,
2012-06-30,4.13,-0.21,0.0,7.89,0.52,,,
2012-09-30,4.16,-0.83,0.0,7.13,0.58,,,
2012-12-31,5.66,-1.31,0.0,7.17,0.79,,,
2013-03-31,6.09,-1.3,0.0,6.7,0.91,,,
2013-06-30,7.16,-1.39,0.0,6.38,1.12,,,
2013-09-30,7.4,-1.01,0.0,6.52,1.14,,,
2013-12-31,6.51,-0.56,0.0,6.54,0.99,,,
2014-03-31,7.59,-0.4,0.0,6.37,1.19,,,
2014-06-30,7.37,-0.19,0.0,6.15,1.2,,,
2014-09-30,6.44,0.05,128.81,6.12,1.05,,,
2014-12-31,6.33,0.14,45.21,5.75,1.1,,,
2015-03-31,7.92,0.14,56.59,5.45,1.45,,,
2015-06-30,7.01,0.14,50.08,5.25,1.34,,,
2015-09-30,5.96,0.16,37.24,5.39,1.11,,,
2015-12-31,5.89,0.12,49.1,5.34,1.1,,,
2016-03-31,5.01,0.1,50.1,5.48,0.91,,,
2016-06-30,5.34,0.09,59.29,5.16,1.03,,,
2016-09-30,7.43,0.07,106.17,5.26,1.41,,,
2016-12-31,10.4,0.19,54.74,5.2,2.0,,,
2017-03-31,14.21,0.36,39.48,5.24,2.71,,,
2017-06-30,13.26,0.5,26.53,5.52,2.4,,,
2017-09-30,17.96,0.68,26.41,5.83,3.08,,,
2017-12-31,20.25,0.89,22.75,6.09,3.33,,,
2018-03-31,20.71,1.03,20.1,6.63,3.12,,,
2018-06-30,20.59,1.15,17.9,,0.0,,,
2018-09-30,17.12,1.3,13.17,,0.0,,,
2018-12-31,13.0,1.41,9.22,7.21,1.8,,,
2019-03-31,13.96,1.35,10.34,7.39,1.89,,,
2019-06-30,16.62,1.24,13.41,7.34,2.26,,,
2019-09-30,18.3,1.17,15.64,7.55,2.42,,,
2019-12-31,25.52,1.14,22.39,7.98,3.2,,,
2020-03-31,20.32,1.15,17.67,8.11,2.51,,,
2020-06-30,26.11,1.07,24.4,8.06,3.24,,,
2020-09-30,29.27,0.99,29.57,8.57,3.41,,,
2020-12-31,35.45,1.2,29.54,9.39,3.77,,,
2021-03-31,36.64,1.38,26.55,9.56,3.83,,,
2021-06-30,34.84,1.72,20.25,9.65,3.61,,,
2021-09-30,41.84,1.97,21.24,9.44,4.43,,,
2021-12-31,46.93,2.16,21.73,10.23,4.59,,,
2022-03-31,41.55,2.56,16.23,10.86,3.83,,,
2022-06-30,30.36,3.04,9.99,11.26,2.7,,,
2022-09-30,29.89,3.69,8.1,12.11,2.47,,,
2022-12-31,34.42,4.19,8.22,14.11,2.44,,,
2023-03-31,51.83,4.5,11.52,15.37,3.37,,,
2023-06-30,48.5,4.64,10.45,16.09,3.01,,,
2023-09-30,41.93,4.64,9.04,17.14,2.45,,,
2023-12-31,48.76,4.46,10.93,18.67,2.61,,,
2024-03-31,42.12,3.9,10.8,19.09,2.21,,,
2024-06-30,38.35,3.22,11.91,18.99,2.02,,,
2024-09-30,29.12,2.43,11.98,19.75,1.47,,,
2024-12-31,24.54,1.66,14.78,19.68,1.25,,,
2025-03-31,21.66,1.18,18.36,20.08,1.08,,,
2025-06-30,30.09,0.69,43.61,20.1,1.5,,,
2025-09-30,28.05,0.58,48.37,20.29,1.38,,,
2025-12-31,25.84,0.18,143.54,20.51,1.26,,,
2026-03-31,34.51,0.16,215.69,20.44,1.69,,,
2026-06-30,74.89,0.51,146.84,20.22,3.7,,,
2026-09-14,47.78,,93.69,,2.36,,,
