period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,21.69,,,7.58,2.86,,,
2006-06-30,27.6,,,7.75,3.56,,,
2006-09-30,20.06,,,8.09,2.48,,,
2006-12-31,21.76,1.14,19.09,8.37,2.6,21.4,1.02,
2007-03-31,19.06,1.07,17.81,8.59,2.22,22.24,0.86,
2007-06-30,21.15,1.1,19.23,8.94,2.37,23.2,0.91,
2007-09-30,23.08,1.08,21.37,9.25,2.49,23.97,0.96,
2007-12-31,21.82,1.22,17.89,10.66,2.05,25.96,0.84,
2008-03-31,18.22,1.24,14.69,10.84,1.68,26.32,0.69,
2008-06-30,19.86,1.29,15.4,11.23,1.77,28.01,0.71,
2008-09-30,16.2,1.44,11.25,11.7,1.38,29.74,0.54,
2008-12-31,18.53,1.32,14.04,12.07,1.54,30.25,0.61,
2009-03-31,17.84,1.5,11.89,12.48,1.43,30.96,0.58,
2009-06-30,15.26,1.81,8.43,13.15,1.16,31.99,0.48,
2009-09-30,17.91,1.96,9.14,13.78,1.3,31.22,0.57,
2009-12-31,19.14,1.71,11.19,14.35,1.33,28.42,0.67,
2010-03-31,15.72,1.39,11.31,14.45,1.09,26.72,0.59,
2010-06-30,12.94,0.99,13.07,14.67,0.88,25.01,0.52,
2010-09-30,12.38,0.61,20.3,14.9,0.83,24.63,0.5,
2010-12-31,13.04,1.13,11.54,15.21,0.86,27.79,0.47,
2011-03-31,16.88,1.04,16.19,15.2,1.11,28.55,0.59,
2011-06-30,13.77,1.01,13.6,15.41,0.89,29.23,0.47,
2011-09-30,11.17,1.01,11.03,15.73,0.71,31.74,0.35,
2011-12-31,10.77,-2.24,0.0,13.16,0.82,30.36,0.35,
2012-03-31,9.75,-2.68,0.0,12.73,0.77,30.42,0.32,
2012-06-30,10.22,-2.78,0.0,12.85,0.8,32.94,0.31,
2012-09-30,9.98,-2.98,0.0,12.88,0.78,35.68,0.28,
2012-12-31,9.94,-0.26,0.0,12.89,0.77,38.36,0.26,
2013-03-31,10.89,-0.21,0.0,12.42,0.88,39.01,0.28,
2013-06-30,9.06,-1.29,0.0,11.44,0.79,36.77,0.25,
2013-09-30,9.25,-1.36,0.0,11.45,0.81,35.5,0.26,
2013-12-31,11.73,-4.91,0.0,7.97,1.47,33.44,0.35,
2014-03-31,8.67,-4.51,0.0,7.94,1.09,34.74,0.25,
2014-06-30,9.38,-3.51,0.0,7.93,1.18,37.47,0.25,
2014-09-30,7.67,-3.66,0.0,7.82,0.98,36.37,0.21,
2014-12-31,6.39,-0.54,0.0,7.51,0.85,37.31,0.17,
2015-03-31,4.52,-1.45,0.0,6.59,0.69,35.55,0.13,
2015-06-30,4.0,-1.65,0.0,6.21,0.64,34.0,0.12,
2015-09-30,4.11,-1.43,0.0,6.24,0.66,32.9,0.12,
2015-12-31,6.08,-2.02,0.0,4.85,1.25,32.27,0.19,
2016-03-31,5.15,-1.49,0.0,4.49,1.15,32.45,0.16,
2016-06-30,4.91,-1.27,0.0,4.44,1.11,31.5,0.16,
2016-09-30,7.74,-1.18,0.0,4.58,1.69,30.64,0.25,
2016-12-31,8.46,-0.4,0.0,4.33,1.96,30.04,0.28,
2017-03-31,9.25,-0.12,0.0,4.26,2.17,29.77,0.31,
2017-06-30,13.07,-0.08,0.0,4.93,2.65,30.53,0.43,
2017-09-30,15.23,0.08,190.38,5.27,2.89,33.72,0.45,
2017-12-31,16.28,0.43,37.86,5.5,2.96,35.95,0.45,
2018-03-31,11.46,0.61,18.79,5.56,2.06,38.04,0.3,
2018-06-30,13.03,0.78,16.71,5.92,2.2,38.93,0.33,
2018-09-30,14.32,0.85,16.85,6.27,2.28,38.3,0.37,
2018-12-31,10.89,0.93,11.71,6.48,1.68,38.18,0.29,
2019-03-31,12.52,0.91,13.76,6.29,1.99,38.34,0.33,
2019-06-30,13.42,0.9,14.91,6.6,2.03,38.35,0.35,
2019-09-30,13.15,0.87,15.11,6.92,1.9,38.63,0.34,
2019-12-31,14.08,1.47,9.58,7.97,1.77,42.03,0.34,
2020-03-31,9.5,1.51,6.29,7.83,1.21,44.25,0.21,
2020-06-30,10.47,1.87,5.6,8.6,1.22,48.64,0.22,
2020-09-30,14.16,2.11,6.71,9.23,1.53,51.27,0.28,
2020-12-31,18.61,1.5,12.41,9.53,1.95,43.69,0.43,
2021-03-31,23.2,1.76,13.18,9.64,2.41,44.05,0.53,
2021-06-30,24.13,1.8,13.41,10.43,2.31,43.57,0.55,
2021-09-30,22.67,1.98,11.45,11.23,2.02,45.85,0.49,10.82
2021-12-31,26.3,2.15,12.23,12.07,2.18,48.69,0.54,12.06
2022-03-31,26.8,2.42,11.07,12.48,2.15,49.88,0.54,9.57
2022-06-30,21.92,2.59,8.46,13.45,1.63,51.27,0.43,7.33
2022-09-30,21.47,2.84,7.56,14.51,1.48,51.55,0.42,6.77
2022-12-31,32.8,3.48,9.43,15.62,2.1,58.19,0.56,9.89
2023-03-31,37.88,3.48,10.89,16.18,2.34,59.14,0.64,11.03
2023-06-30,55.8,3.89,14.34,17.59,3.17,60.78,0.92,15.14
2023-09-30,73.48,4.18,17.58,18.99,3.87,62.58,1.17,17.03
2023-12-31,87.93,4.44,19.8,20.17,4.36,63.48,1.39,19.14
2024-03-31,110.31,4.8,22.98,20.93,5.27,64.49,1.71,22.15
2024-06-30,118.34,5.2,22.76,22.06,5.37,66.36,1.78,19.73
2024-09-30,145.02,5.91,24.54,23.81,6.09,67.52,2.15,25.27
2024-12-31,168.45,8.27,20.37,26.95,6.25,67.96,2.48,27.37
2025-03-31,113.21,8.55,13.24,27.19,4.16,67.79,1.67,14.09
2025-06-30,230.73,9.19,25.11,29.96,7.7,69.06,3.34,26.81
2025-09-30,339.68,10.19,33.33,35.33,9.61,72.2,4.7,34.17
2025-12-31,306.23,9.38,32.65,36.06,8.49,80.6,3.8,26.2
2026-03-31,407.27,11.19,36.4,38.96,10.45,93.25,4.37,30.12
2026-06-30,839.36,13.88,60.47,45.31,18.53,110.78,7.58,43.02
2026-09-14,472.87,,34.07,,10.44,,4.27,
2026-09-15,,,,,,,,20.7
