period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,12.67,,,6.98,1.81,,,
2006-06-30,10.93,,,9.05,1.21,,,
2006-09-30,11.19,,,8.94,1.25,,,
2006-12-31,12.9,0.75,17.2,7.89,1.64,18.84,0.68,
2007-03-31,11.38,0.59,19.29,8.14,1.4,19.35,0.59,
2007-06-30,10.68,1.56,6.85,8.85,1.21,19.19,0.56,
2007-09-30,12.61,2.17,5.81,9.21,1.37,20.45,0.62,
2007-12-31,12.61,2.67,4.72,9.64,1.31,21.59,0.58,
2008-03-31,10.41,2.95,3.53,9.44,1.1,22.55,0.46,
2008-06-30,9.57,2.34,4.09,9.45,1.01,23.26,0.41,
2008-09-30,6.11,1.82,3.36,9.52,0.64,23.54,0.26,
2008-12-31,2.27,-4.71,0.0,3.77,0.6,22.05,0.1,
2009-03-31,3.1,-5.92,0.0,3.23,0.96,20.59,0.15,
2009-06-30,5.4,-6.4,0.0,3.15,1.71,20.02,0.27,
2009-09-30,7.85,-6.17,0.0,3.58,2.19,19.08,0.41,
2009-12-31,9.39,0.66,14.23,4.68,2.01,20.24,0.46,
2010-03-31,9.43,2.22,4.25,5.43,1.74,21.71,0.43,
2010-06-30,6.73,3.14,2.14,5.53,1.22,22.05,0.31,
2010-09-30,6.08,3.1,1.96,6.19,0.98,22.39,0.27,
2010-12-31,7.76,2.38,3.26,6.13,1.27,22.16,0.35,
2011-03-31,7.44,1.59,4.68,5.84,1.27,22.25,0.33,
2011-06-30,8.43,1.09,7.73,5.8,1.45,23.21,0.36,
2011-09-30,5.44,1.1,4.94,5.77,0.94,24.16,0.23,
2011-12-31,8.77,2.07,4.24,7.45,1.18,25.84,0.34,
2012-03-31,14.56,4.34,3.35,8.49,1.72,29.51,0.49,
2012-06-30,13.47,6.49,2.08,8.83,1.53,33.55,0.4,
2012-09-30,17.02,7.59,2.24,9.16,1.86,36.18,0.47,
2012-12-31,17.13,7.61,2.25,8.17,2.1,38.58,0.44,
2013-03-31,20.59,6.26,3.29,9.25,2.23,38.52,0.53,
2013-06-30,25.49,4.81,5.3,9.75,2.61,37.32,0.68,
