period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,5.31,,,5.06,1.05,,,
2006-06-30,4.31,,,5.1,0.85,,,
2006-09-30,4.06,,,4.51,0.9,,,
2006-12-31,5.54,-0.51,0.0,4.62,1.2,4.8,1.15,
2007-03-31,4.5,-0.44,0.0,4.62,0.97,4.75,0.95,
2007-06-30,5.75,-0.39,0.0,4.72,1.22,4.62,1.25,
2007-09-30,7.08,0.36,19.66,4.88,1.45,4.59,1.54,
2007-12-31,6.65,0.41,16.23,5.01,1.33,4.68,1.42,
2008-03-31,5.7,0.43,13.25,5.14,1.11,4.81,1.19,
2008-06-30,7.73,0.48,16.1,5.33,1.45,5.02,1.54,
2008-09-30,6.55,0.67,9.77,5.7,1.15,5.25,1.25,
2008-12-31,4.34,0.69,6.29,5.88,0.74,5.23,0.83,
2009-03-31,6.31,0.56,11.27,5.86,1.08,5.03,1.25,
2009-06-30,7.66,0.55,13.94,6.01,1.28,4.85,1.58,
2009-09-30,10.37,0.56,18.51,6.42,1.62,4.79,2.17,
2009-12-31,11.11,0.58,19.15,6.55,1.7,4.88,2.28,
2010-03-31,12.21,0.76,16.07,6.7,1.82,5.14,2.38,
2010-06-30,13.14,0.84,15.65,6.87,1.91,5.51,2.39,
2010-09-30,16.18,0.75,21.58,7.3,2.22,5.88,2.75,
2010-12-31,22.41,0.91,24.63,7.63,2.94,6.29,3.56,
2011-03-31,25.37,1.02,24.87,7.94,3.19,6.68,3.79,
2011-06-30,17.99,1.1,16.36,8.23,2.19,7.05,2.55,
2011-09-30,14.06,1.19,11.82,8.63,1.63,7.44,1.89,
2011-12-31,12.7,1.17,10.85,8.85,1.43,7.74,1.64,
2012-03-31,21.65,1.09,19.86,9.08,2.38,7.96,2.72,
2012-06-30,21.39,1.08,19.8,9.46,2.26,8.12,2.64,
2012-09-30,18.45,1.05,17.57,9.91,1.86,8.2,2.25,
2012-12-31,15.89,1.09,14.58,10.13,1.57,8.46,1.88,
2013-03-31,17.25,1.23,14.02,10.47,1.65,8.76,1.97,
2013-06-30,17.14,1.31,13.08,10.66,1.61,9.02,1.9,
2013-09-30,19.45,1.45,13.41,11.18,1.74,9.3,2.09,
2013-12-31,22.36,1.6,13.97,11.72,1.91,9.61,2.33,
2014-03-31,29.37,1.68,17.48,12.1,2.43,9.91,2.96,
2014-06-30,36.86,1.92,19.2,12.63,2.92,10.66,3.46,
2014-09-30,45.66,2.38,19.19,13.38,3.41,11.91,3.83,
2014-12-31,57.32,2.9,19.77,14.2,4.04,13.42,4.27,
2015-03-31,77.61,3.35,23.17,14.99,5.18,14.82,5.24,
2015-06-30,82.31,3.83,21.49,15.93,5.17,15.93,5.17,
2015-09-30,66.77,4.1,16.28,16.6,4.02,16.72,3.99,
2015-12-31,61.13,4.91,12.45,18.18,3.36,17.33,3.53,
2016-03-31,62.25,5.14,12.11,18.63,3.34,17.43,3.57,
2016-06-30,50.77,5.05,10.05,18.74,2.71,17.21,2.95,
2016-09-30,61.35,5.18,11.84,19.15,3.2,17.04,3.6,
2016-12-31,60.38,4.74,12.74,19.81,3.05,17.16,3.52,
2017-03-31,79.48,4.86,16.35,20.55,3.87,17.7,4.49,
2017-06-30,78.05,5.21,14.98,21.22,3.68,18.61,4.19,
2017-09-30,83.15,5.41,15.37,22.2,3.74,19.53,4.26,
2017-12-31,77.71,4.41,17.62,21.38,3.63,20.32,3.82,
2018-03-31,82.3,4.71,17.47,22.35,3.68,20.73,3.97,
2018-06-30,79.6,4.96,16.05,22.72,3.5,20.79,3.83,
2018-09-30,75.0,5.01,14.97,23.09,3.25,21.02,3.57,
2018-12-31,55.71,6.23,8.94,23.2,2.4,20.82,2.68,
2019-03-31,68.88,5.96,11.56,23.63,2.92,20.51,3.36,
2019-06-30,64.88,5.22,12.43,23.89,2.72,20.04,3.24,
2019-09-30,66.95,4.89,13.69,24.23,2.76,19.28,3.47,
2019-12-31,102.57,4.79,21.41,25.03,4.1,19.03,5.39,
2020-03-31,76.14,4.62,16.48,24.73,3.08,18.86,4.04,
2020-06-30,109.34,4.56,23.98,25.03,4.37,18.82,5.81,
2020-09-30,124.86,4.8,26.01,25.15,4.97,19.71,6.34,
2020-12-31,131.66,6.35,20.73,26.77,4.92,23.53,5.6,
2021-03-31,158.43,7.24,21.88,28.54,5.55,26.08,6.08,
2021-06-30,166.08,8.49,19.56,30.3,5.48,28.38,5.85,
2021-09-30,143.15,8.97,15.96,32.05,4.47,30.6,4.68,
2021-10-01,,,,,,,,15.06
2021-12-31,135.25,8.32,16.26,32.43,4.17,30.64,4.41,13.42
2022-03-31,116.67,8.23,14.18,32.09,3.64,31.74,3.68,
2022-04-01,,,,,,,,11.11
2022-06-30,81.54,7.87,10.36,32.95,2.47,32.68,2.49,
2022-07-01,,,,,,,,7.92
2022-09-30,75.5,7.81,9.67,34.14,2.21,33.45,2.26,7.48
2022-12-30,,,,,,,,9.24
2022-12-31,81.22,7.34,11.07,34.88,2.33,32.67,2.49,
2023-03-31,105.74,6.94,15.24,36.01,2.94,31.76,3.33,12.14
2023-06-30,99.82,6.5,15.36,36.92,2.7,30.82,3.24,13.6
2023-09-29,,,,,,,,11.66
2023-09-30,89.49,6.13,14.6,38.14,2.35,29.81,3.0,
2023-12-29,,,,,,,,15.67
2023-12-31,102.78,5.64,18.22,38.87,2.64,28.97,3.55,
2024-03-29,,,,,,,,15.21
2024-03-31,99.68,5.32,18.74,39.65,2.51,28.24,3.53,
2024-06-28,,,,,,,,18.11
2024-06-30,98.79,4.85,20.37,39.68,2.49,27.16,3.64,
2024-09-27,,,,,,,,16.28
2024-09-30,92.15,3.69,24.97,39.63,2.33,25.9,3.56,
2024-12-27,,,,,,,,16.84
2024-12-31,83.4,3.25,25.66,39.83,2.09,25.06,3.33,
2025-03-28,,,,,,,,15.04
2025-03-31,61.42,2.54,24.18,38.67,1.59,24.58,2.5,
