period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,4.89,,,14.17,0.35,,,
2006-06-30,5.13,,,14.28,0.36,,,
2006-09-30,6.09,,,14.38,0.42,,,
2006-12-31,6.77,1.89,3.58,18.52,0.37,16.19,0.42,
2007-03-31,7.58,1.97,3.85,18.43,0.41,16.77,0.45,
2007-06-30,8.07,1.98,4.08,18.28,0.44,17.49,0.46,
2007-09-30,8.32,1.92,4.34,18.31,0.45,18.4,0.45,
2007-12-31,8.27,1.94,4.26,19.09,0.43,19.25,0.43,
2008-03-31,7.72,2.06,3.75,18.9,0.41,19.72,0.39,
2008-06-30,6.88,2.22,3.1,18.99,0.36,20.17,0.34,
2008-09-30,5.8,2.27,2.55,19.09,0.3,20.54,0.28,
2008-12-31,6.04,-0.44,0.0,16.42,0.37,20.74,0.29,
2009-03-31,5.45,-0.48,0.0,16.56,0.33,20.83,0.26,
2009-06-30,5.48,-0.57,0.0,16.78,0.33,20.79,0.26,
2009-09-30,6.1,-0.58,0.0,16.95,0.36,20.66,0.3,
2009-12-31,6.46,2.05,3.15,17.28,0.37,20.71,0.31,
2010-03-31,6.07,1.93,3.15,17.34,0.35,20.67,0.29,
2010-06-30,5.81,2.06,2.82,17.51,0.33,20.69,0.28,
2010-09-30,7.02,3.59,1.96,19.17,0.37,20.82,0.34,
2010-12-31,7.36,3.35,2.2,18.94,0.39,20.93,0.35,
2011-03-31,7.81,3.51,2.23,19.07,0.41,21.05,0.37,
2011-06-30,8.17,3.44,2.37,19.26,0.42,21.15,0.39,
2011-09-30,7.55,1.98,3.81,19.22,0.39,21.11,0.36,
2011-12-31,8.17,0.66,12.38,17.85,0.46,21.3,0.38,
2012-03-31,8.6,0.69,12.47,17.91,0.48,21.4,0.4,
2012-06-30,10.01,0.75,13.35,17.84,0.56,21.48,0.47,
2012-09-30,10.76,0.77,13.97,17.75,0.61,21.62,0.5,
2012-12-31,9.77,1.25,7.81,16.61,0.59,21.76,0.45,
2013-03-31,10.81,1.32,8.19,16.29,0.66,22.07,0.49,
2013-06-30,10.6,1.37,7.74,16.18,0.66,22.64,0.47,
2013-09-30,10.3,1.46,7.05,16.31,0.63,23.24,0.44,
2013-12-31,10.9,3.42,3.19,17.5,0.62,23.8,0.46,
2014-03-31,11.06,3.45,3.21,17.59,0.63,24.33,0.45,
2014-06-30,11.35,3.42,3.32,17.84,0.64,24.63,0.46,
2014-09-30,11.5,3.3,3.49,17.96,0.64,24.63,0.47,
2014-12-31,11.16,1.24,9.0,17.4,0.64,25.07,0.44,
2015-03-31,11.05,1.17,9.44,16.77,0.66,25.11,0.44,
2015-06-30,12.25,1.08,11.34,16.85,0.73,25.2,0.49,
2015-09-30,11.43,0.98,11.67,19.96,0.57,25.74,0.44,
2015-12-31,12.31,2.37,5.19,20.12,0.61,26.6,0.46,
2016-03-31,14.27,2.35,6.07,20.21,0.71,26.91,0.53,
2016-06-30,16.0,2.31,6.93,20.22,0.79,27.13,0.59,
2016-09-30,15.26,2.35,6.49,20.29,0.75,27.16,0.56,
2016-12-31,16.24,2.1,7.74,20.22,0.8,26.46,0.61,
2017-03-31,16.11,2.05,7.86,20.33,0.79,26.27,0.61,
2017-06-30,14.87,2.13,6.98,20.5,0.73,26.17,0.57,
2017-09-30,15.7,2.08,7.55,20.54,0.76,25.98,0.6,
2017-12-31,15.84,4.76,3.33,23.13,0.68,25.96,0.61,
2018-03-31,14.78,4.95,2.99,22.64,0.65,25.75,0.57,
2018-06-30,13.57,5.13,2.64,25.36,0.53,25.43,0.53,
2018-09-30,14.48,5.29,2.74,25.44,0.57,25.26,0.57,
2018-12-31,12.55,2.85,4.4,26.63,0.47,25.57,0.49,
2019-03-31,14.1,2.66,5.3,26.72,0.53,25.52,0.55,
2019-06-30,15.38,2.36,6.52,26.57,0.58,25.52,0.6,
2019-09-30,17.72,2.21,8.02,26.61,0.67,25.33,0.7,
2019-12-31,18.64,1.89,9.86,27.84,0.67,24.65,0.76,
2020-03-31,14.15,1.96,7.22,27.43,0.52,24.48,0.58,
2020-06-30,15.02,1.62,9.27,27.15,0.55,24.07,0.62,
2020-09-30,14.49,1.51,9.6,27.38,0.53,23.92,0.61,
2020-12-31,14.98,-0.75,0.0,25.15,0.6,19.82,0.76,
2021-03-31,16.13,-0.36,0.0,25.64,0.63,19.76,0.82,
2021-06-30,15.69,-0.32,0.0,25.19,0.62,18.83,0.83,
2021-09-30,15.08,0.09,167.59,25.39,0.59,17.1,0.88,8.59
2021-12-31,14.09,2.73,5.16,25.75,0.55,17.89,0.79,7.81
2022-03-31,13.9,2.36,5.89,26.06,0.53,15.95,0.87,7.67
2022-06-30,16.56,2.71,6.11,18.99,0.87,15.07,1.1,8.51
2022-09-30,12.28,2.71,4.53,19.64,0.63,14.83,0.83,6.31
2022-12-31,15.0,-1.13,0.0,14.94,1.0,15.89,0.94,7.2
2023-03-31,15.92,-1.21,0.0,15.15,1.05,15.99,1.0,7.86
2023-06-30,13.37,-1.16,0.0,16.24,0.82,16.26,0.82,6.38
2023-09-30,12.82,-1.48,0.0,16.48,0.78,16.55,0.77,6.1
2023-12-31,14.59,1.97,7.41,16.43,0.89,16.84,0.87,6.84
2024-03-31,15.56,1.87,8.32,16.54,0.94,16.98,0.92,7.98
2024-06-30,17.17,1.75,9.81,16.64,1.03,16.95,1.01,8.57
2024-09-30,20.06,1.24,16.18,16.21,1.24,16.92,1.19,9.81
2024-12-31,21.03,1.49,14.11,16.48,1.28,16.99,1.24,10.25
2025-03-31,26.46,1.63,16.23,16.66,1.59,17.05,1.55,13.35
2025-06-30,27.36,1.76,15.55,16.95,1.61,17.19,1.59,13.58
2025-09-30,26.97,3.08,8.76,17.83,1.51,17.28,1.56,13.35
2025-12-31,23.98,3.04,7.89,17.97,1.33,17.46,1.37,11.47
2026-03-31,28.31,2.97,9.53,18.04,1.57,17.7,1.6,12.6
2026-06-30,20.43,3.01,6.79,18.38,1.11,17.97,1.14,8.8
2026-09-14,26.51,,8.81,,1.44,,1.48,
2026-09-15,,,,,,,,11.03
