period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-01-31,10.9,,,,0.0,,,
2006-04-30,11.64,,,,0.0,,,
2006-07-31,10.84,,,,0.0,,,
2006-10-31,12.45,2.77,4.49,,0.0,14.49,0.86,
2007-01-31,13.03,1.94,6.72,,0.0,12.3,1.06,
2007-04-30,13.64,2.02,6.75,,0.0,12.81,1.06,
2007-07-31,14.52,2.09,6.95,,0.0,12.52,1.16,
2007-10-31,17.21,2.37,7.28,,0.0,14.52,1.19,
2008-01-31,15.58,2.49,6.27,,0.0,14.97,1.04,
2008-04-30,15.28,2.53,6.05,,0.0,15.31,1.0,
2008-07-31,14.25,2.57,5.56,,0.0,14.45,0.99,
2008-10-31,11.14,2.38,4.69,,0.0,11.95,0.93,
2009-01-31,7.75,2.05,3.79,,0.0,11.45,0.68,
2009-04-30,9.6,1.79,5.37,,0.0,10.75,0.89,
2009-07-31,14.59,1.66,8.82,,0.0,11.81,1.24,
2009-10-31,14.37,1.64,8.76,,0.0,11.27,1.28,
2010-01-31,14.94,1.99,7.51,,0.0,12.83,1.16,
2010-04-30,19.02,2.32,8.22,,0.0,12.96,1.47,
2010-07-31,18.7,2.49,7.51,,0.0,12.94,1.45,
2010-10-31,19.13,2.49,7.7,,0.0,14.17,1.35,
2011-01-31,20.0,2.67,7.51,,0.0,14.1,1.42,
2011-04-30,23.32,2.79,8.37,,0.0,14.38,1.62,
2011-07-31,22.01,2.96,7.45,,0.0,14.88,1.48,
2011-10-31,20.94,3.26,6.43,,0.0,15.47,1.35,
2012-01-31,21.64,3.17,6.83,,0.0,15.48,1.4,
2012-04-30,23.9,3.29,7.27,,0.0,15.58,1.53,
2012-07-31,22.44,3.38,6.65,,0.0,15.6,1.44,
2012-10-31,23.45,3.38,6.94,,0.0,16.91,1.39,
2013-01-31,24.31,3.52,6.91,,0.0,17.45,1.39,
2013-04-30,24.06,3.52,6.85,,0.0,17.62,1.37,
2013-07-31,24.97,3.38,7.39,,0.0,17.69,1.41,
2013-10-31,27.46,4.13,6.66,,0.0,23.37,1.18,
2014-01-31,26.11,4.17,6.27,,0.0,23.57,1.11,
2014-04-30,29.31,4.29,6.83,,0.0,23.44,1.25,
2014-07-31,32.12,4.55,7.06,,0.0,23.48,1.37,
2014-10-31,30.54,3.77,8.1,,0.0,16.75,1.82,
2015-01-31,24.91,3.68,6.77,,0.0,15.93,1.56,
2015-04-30,29.14,3.47,8.4,,0.0,15.91,1.83,
2015-07-31,25.75,3.42,7.53,,0.0,15.7,1.64,
2015-10-31,26.4,3.35,7.88,,0.0,15.81,1.67,
2016-01-31,24.58,3.33,7.38,28.23,0.87,16.38,1.5,
2016-04-30,29.2,3.36,8.69,27.58,1.06,16.53,1.77,
2016-07-31,28.87,3.35,8.62,29.63,0.97,17.06,1.69,
2016-10-31,30.36,3.52,8.62,30.14,1.01,16.64,1.82,
2017-01-31,34.92,3.66,9.54,29.56,1.18,17.12,2.04,
2017-04-30,32.05,3.84,8.36,31.0,1.03,17.38,1.84,
2017-07-31,35.4,3.99,8.88,30.12,1.18,17.84,1.98,
2017-10-31,39.38,4.21,9.36,31.22,1.26,18.6,2.12,
2018-01-31,42.46,4.2,10.11,31.37,1.35,19.37,2.19,
2018-04-30,39.58,4.42,8.95,32.58,1.21,20.48,1.93,
2018-07-31,42.09,4.59,9.16,32.93,1.28,21.52,1.96,
2018-10-31,39.79,4.68,8.5,34.02,1.17,22.37,1.78,
2019-01-31,40.8,4.65,8.77,33.51,1.22,23.13,1.76,
2019-04-30,41.69,4.72,8.83,34.86,1.2,23.76,1.75,
2019-07-31,43.18,4.75,9.08,35.76,1.21,24.18,1.79,
2019-10-31,42.6,4.7,9.06,36.42,1.17,24.31,1.75,
2020-01-31,41.66,4.97,8.38,37.32,1.12,24.46,1.7,
2020-04-30,31.91,4.28,7.46,37.66,0.85,23.9,1.34,
2020-07-31,34.28,3.85,8.91,37.29,0.92,22.64,1.51,
2020-10-31,34.67,4.78,7.25,39.13,0.89,22.09,1.57,
2021-01-31,44.84,4.94,9.09,40.83,1.1,21.23,2.11,
2021-04-30,54.99,5.93,9.27,41.29,1.33,20.86,2.64,
