period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,14.26,,,6.58,2.17,,,
2006-06-30,12.81,,,7.03,1.82,,,
2006-09-30,12.1,,,7.17,1.69,,,
2006-12-31,13.75,1.01,13.62,7.2,1.91,6.62,2.08,
2007-03-31,15.21,0.74,20.55,7.22,2.11,6.14,2.48,
2007-06-30,16.16,0.48,33.67,7.36,2.2,5.81,2.78,
2007-09-30,12.69,0.39,32.53,7.14,1.78,5.69,2.23,
2007-12-31,9.51,0.42,22.64,7.1,1.34,5.87,1.62,
2008-03-31,11.42,0.47,24.3,7.18,1.59,6.22,1.84,
2008-06-30,10.18,0.39,26.1,7.14,1.43,6.54,1.56,
2008-09-30,7.18,0.04,179.52,7.02,1.02,6.68,1.07,
2008-12-31,3.88,-2.31,0.0,4.18,0.93,6.42,0.6,
2009-03-31,4.03,-2.85,0.0,3.48,1.16,5.43,0.74,
2009-06-30,6.31,-3.3,0.0,3.49,1.81,4.58,1.38,
2009-09-30,8.5,-3.13,0.0,3.57,2.38,4.27,1.99,
2009-12-31,9.87,-0.77,0.0,3.8,2.6,4.43,2.23,
2010-03-31,10.27,0.0,0.0,4.09,2.51,5.14,2.0,
2010-06-30,8.96,0.94,9.54,5.02,1.79,6.08,1.47,
2010-09-30,10.24,1.56,6.57,5.89,1.74,6.77,1.51,
2010-12-31,12.91,1.75,7.38,6.16,2.09,6.84,1.89,
2011-03-31,16.37,1.93,8.48,6.63,2.47,7.06,2.32,
2011-06-30,13.61,1.76,7.73,7.17,1.9,6.92,1.97,
2011-09-30,10.12,1.36,7.44,7.44,1.36,6.33,1.6,
2011-12-31,12.53,1.63,7.69,8.2,1.53,6.27,2.0,
2012-03-31,15.53,1.36,11.42,8.31,1.87,6.36,2.44,
2012-06-30,12.93,1.47,8.79,9.0,1.44,6.96,1.86,
2012-09-30,13.07,1.6,8.17,9.51,1.37,7.43,1.76,
2012-12-31,15.53,0.94,16.52,9.46,1.64,7.2,2.16,
2013-03-31,14.91,0.82,18.19,9.41,1.59,6.68,2.23,
2013-06-30,16.15,0.61,26.48,9.79,1.65,6.12,2.64,
2013-09-30,15.19,0.51,29.78,10.2,1.49,5.94,2.56,
2013-12-31,16.2,0.7,23.14,10.35,1.56,6.07,2.67,
2014-03-31,18.29,0.67,27.29,10.26,1.78,6.23,2.93,
2014-06-30,18.08,0.86,21.03,10.7,1.69,6.83,2.65,
2014-09-30,17.94,0.95,18.88,10.12,1.77,7.18,2.5,
2014-12-31,18.37,0.37,49.64,9.6,1.91,7.43,2.47,
2015-03-31,17.55,0.52,33.74,9.53,1.84,7.63,2.3,
2015-06-30,18.01,0.53,33.98,9.76,1.84,7.59,2.37,
2015-09-30,16.87,0.49,34.43,9.87,1.71,7.6,2.22,
2015-12-31,19.42,0.97,20.02,9.65,2.01,7.64,2.54,
2016-03-31,20.35,1.06,19.2,9.8,2.08,8.17,2.49,
2016-06-30,18.61,-0.52,0.0,8.61,2.16,8.41,2.21,
2016-09-30,20.46,-0.55,0.0,8.84,2.31,8.22,2.49,
2016-12-31,24.14,-0.21,0.0,9.18,2.63,8.6,2.81,
2017-03-31,29.63,-0.03,0.0,9.62,3.08,8.77,3.38,
2017-06-30,28.66,1.94,14.77,10.35,2.77,9.61,2.98,
2017-09-30,35.66,2.15,16.59,10.73,3.32,10.1,3.53,
2017-12-31,40.11,1.28,31.33,9.99,4.01,10.61,3.78,
2018-03-31,43.88,1.29,34.01,9.83,4.46,10.74,4.09,
2018-06-30,36.63,0.94,38.97,9.26,3.96,9.98,3.67,
2018-09-30,35.66,1.05,33.96,9.1,3.92,10.45,3.41,
2018-12-31,30.33,2.35,12.91,8.67,3.5,10.77,2.82,
2019-03-31,38.59,2.54,15.19,8.53,4.52,11.17,3.46,
2019-06-30,46.51,2.57,18.1,8.68,5.36,11.62,4.0,
2019-09-30,56.32,2.69,20.94,8.8,6.4,11.87,4.74,
2019-12-31,66.41,2.6,25.54,8.89,7.47,12.82,5.18,
2020-03-31,52.83,2.95,17.91,9.34,5.65,13.93,3.79,
2020-06-30,82.55,3.45,23.93,10.52,7.85,15.42,5.35,
2020-09-30,77.71,3.91,19.87,12.01,6.47,16.64,4.67,
2020-12-31,117.35,4.28,27.42,13.29,8.83,17.14,6.85,
2021-03-31,119.19,4.4,27.09,13.97,8.53,17.41,6.85,
2021-06-30,131.32,5.11,25.7,15.07,8.71,18.57,7.07,
2021-09-30,107.11,5.31,20.17,15.5,6.91,19.35,5.54,
2021-10-03,,,,,,,,19.74
2021-12-31,160.55,5.53,29.03,15.79,10.17,20.02,8.02,26.09
2022-03-31,116.18,5.36,21.68,15.36,7.56,20.16,5.76,
2022-04-03,,,,,,,,24.0
2022-06-30,88.09,4.76,18.51,14.56,6.05,19.26,4.57,
2022-07-03,,,,,,,,16.49
2022-09-30,74.02,4.45,16.63,14.47,5.12,18.99,3.9,
2022-10-02,,,,,,,,18.26
2022-12-31,86.14,4.22,20.41,15.74,5.47,18.49,4.66,25.2
2023-03-31,106.13,3.8,27.93,15.76,6.73,17.9,5.93,
2023-04-02,,,,,,,,33.68
2023-06-30,110.02,3.37,32.65,15.8,6.97,17.14,6.42,
2023-07-02,,,,,,,,36.36
2023-09-30,99.38,3.05,32.58,15.93,6.24,16.47,6.03,
2023-10-01,,,,,,,,28.78
