period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,64.76,,,,0.0,,,
2006-06-30,62.2,,,,0.0,,,
2006-09-30,65.28,,,,0.0,,,
2006-12-31,80.51,8.67,9.29,,0.0,124.16,0.65,
2007-03-31,77.51,8.84,8.77,,0.0,127.0,0.61,
2007-06-30,76.13,9.54,7.98,,0.0,132.31,0.58,
2007-09-30,71.42,7.47,9.56,67.36,1.06,104.47,0.68,
2008-06-30,58.22,7.19,8.1,73.12,0.8,107.19,0.54,
2008-09-30,53.95,5.75,9.38,73.46,0.73,110.79,0.49,
2008-12-31,41.14,1.82,22.61,75.68,0.54,107.84,0.38,
2009-03-31,40.24,-2.84,0.0,65.32,0.62,133.47,0.3,
2009-06-30,48.02,-5.48,0.0,70.43,0.68,121.83,0.39,
2009-09-30,50.23,-6.18,0.0,74.22,0.68,118.36,0.42,
2009-12-31,53.81,-3.96,0.0,73.89,0.73,121.14,0.44,
2010-03-31,51.77,1.44,35.95,74.92,0.69,131.28,0.39,
2010-06-30,44.15,3.34,13.22,77.44,0.57,140.96,0.31,
2010-09-30,46.39,3.94,11.77,82.09,0.57,144.7,0.32,
2010-12-31,50.96,3.62,14.08,84.59,0.6,145.03,0.35,
2011-03-31,52.49,3.14,16.72,83.76,0.63,146.78,0.36,
2011-06-30,53.91,1.77,30.48,85.38,0.63,138.89,0.39,
2011-09-30,44.98,1.67,26.95,88.05,0.51,139.42,0.32,
2011-12-31,43.58,1.59,27.43,87.0,0.5,142.16,0.31,
2012-03-31,57.73,2.2,26.24,85.03,0.68,143.67,0.4,
2012-06-30,53.51,4.51,11.86,87.81,0.61,160.22,0.33,
2012-09-30,52.68,5.95,8.85,91.68,0.57,166.69,0.32,
2012-12-31,62.57,6.01,10.41,86.19,0.73,165.81,0.38,
2013-03-31,69.72,6.46,10.79,85.75,0.81,148.32,0.47,
2013-06-30,81.96,7.72,10.62,86.39,0.95,144.2,0.57,
2013-09-30,87.83,8.42,10.43,89.34,0.98,140.3,0.63,
2013-12-31,83.63,11.02,7.59,93.92,0.89,143.11,0.58,
2014-03-31,78.84,11.5,6.86,96.03,0.82,162.21,0.49,
2014-06-30,83.56,11.56,7.23,95.58,0.87,161.95,0.52,
2014-09-30,82.96,12.04,6.89,98.26,0.84,161.71,0.51,
2014-12-31,88.57,12.06,7.34,95.83,0.92,160.02,0.55,
2015-03-31,100.16,12.52,8.0,102.07,0.98,156.82,0.64,
2015-06-30,95.76,12.25,7.82,94.16,1.02,153.65,0.62,
2015-09-30,85.17,11.76,7.24,96.64,0.88,150.43,0.57,
2015-12-31,89.35,11.7,7.64,99.36,0.9,148.76,0.6,
2016-03-31,78.67,12.31,6.39,98.85,0.8,149.78,0.53,
2016-06-30,73.99,12.27,6.03,107.7,0.69,153.11,0.48,
2016-09-30,87.2,11.99,7.27,113.83,0.77,157.93,0.55,
2016-12-31,88.05,11.66,7.55,113.23,0.78,162.43,0.54,
2017-03-31,83.09,11.15,7.45,116.73,0.71,167.6,0.5,
2017-06-30,80.33,11.5,6.98,115.11,0.7,170.51,0.47,
2017-09-30,92.53,11.77,7.86,116.02,0.8,172.44,0.54,
2017-12-31,98.74,14.44,6.84,122.19,0.81,174.97,0.56,
2018-03-31,102.98,14.99,6.87,120.19,0.86,177.41,0.58,
2018-06-30,101.75,15.39,6.61,124.87,0.81,181.33,0.56,
2018-09-30,99.63,16.21,6.14,126.81,0.79,182.96,0.54,
2018-12-31,93.0,11.71,7.94,123.67,0.75,185.37,0.5,
2019-03-31,96.3,11.61,8.29,127.53,0.76,186.61,0.52,
2019-06-30,101.17,11.91,8.49,130.43,0.78,189.18,0.53,
2019-09-30,111.21,12.17,9.14,136.72,0.81,193.96,0.57,
2019-12-31,116.21,15.86,7.33,139.2,0.83,195.29,0.6,
2020-03-31,100.95,13.42,7.52,137.94,0.73,193.87,0.52,
2020-06-30,105.73,10.09,10.48,122.6,0.86,175.37,0.6,
2020-09-30,113.14,9.39,12.04,146.56,0.77,171.12,0.66,
2020-12-31,132.04,10.29,12.84,155.42,0.85,177.39,0.74,
2021-03-31,135.46,14.86,9.12,163.32,0.83,181.54,0.75,
2021-06-30,151.76,19.64,7.73,162.97,0.93,202.56,0.75,
2021-09-30,156.05,20.57,7.59,33.5,4.66,206.31,0.76,
2021-12-31,162.68,19.92,8.17,164.65,0.99,200.52,0.81,
2022-03-31,160.16,18.26,8.77,175.4,0.91,200.78,0.8,
2022-06-30,136.99,16.55,8.28,158.85,0.86,196.73,0.7,
2022-09-30,117.28,14.74,7.96,150.54,0.78,195.91,0.6,
2022-12-31,122.94,13.5,9.11,148.35,0.83,197.23,0.62,
2023-03-31,129.86,13.28,9.78,159.64,0.81,201.04,0.65,
2023-06-30,147.33,16.21,9.09,168.51,0.87,210.2,0.7,
2023-09-30,166.57,20.45,8.15,167.74,0.99,219.98,0.76,
2023-12-31,169.93,23.5,7.23,169.04,1.01,229.85,0.74,
2024-03-31,235.89,25.25,9.34,180.46,1.31,230.03,1.03,
2024-06-30,192.11,24.52,7.83,174.76,1.1,229.51,0.84,
2025-06-30,167.0,22.46,7.44,195.84,0.85,236.11,0.71,
2025-12-31,210.75,15.61,13.5,,,175.43,1.2,
2026-06-30,168.42,18.39,9.16,203.38,0.83,190.74,0.88,
2026-09-14,197.56,,10.74,,0.97,,1.04,
