period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,35.06,,,17.58,1.99,,,
2006-06-30,34.25,,,17.37,1.97,,,
2006-09-30,37.17,,,17.84,2.08,,,
2006-12-31,42.81,0.84,50.96,33.38,1.28,21.07,2.03,
2007-03-31,44.19,0.87,50.79,33.73,1.31,22.27,1.98,
2007-06-30,48.88,0.95,51.46,34.07,1.43,23.31,2.1,
2007-09-30,54.55,1.14,47.85,34.38,1.59,24.21,2.25,
2007-12-31,54.52,1.69,32.26,34.89,1.56,21.93,2.49,
2008-03-31,53.72,1.91,28.13,35.36,1.52,22.49,2.39,
2008-06-30,52.67,2.1,25.08,35.97,1.46,23.34,2.26,
2008-09-30,51.98,2.11,24.64,36.02,1.44,23.87,2.18,
2008-12-31,32.2,2.25,14.31,35.71,0.9,24.22,1.33,
2009-03-31,33.71,2.07,16.29,35.84,0.94,23.67,1.42,
2009-06-30,38.53,2.0,19.27,36.94,1.04,23.33,1.65,
2009-09-30,41.27,2.03,20.33,37.71,1.09,23.45,1.76,
2009-12-31,45.07,2.01,22.42,37.7,1.2,23.44,1.92,
2010-03-31,48.62,2.21,22.0,37.72,1.29,24.42,1.99,
2010-06-30,46.36,2.29,20.24,37.66,1.23,24.79,1.87,
2010-09-30,45.25,2.42,18.7,38.74,1.17,25.27,1.79,
2010-12-31,52.32,2.53,20.68,39.25,1.33,25.23,2.07,
2011-03-31,52.5,2.62,20.04,39.8,1.32,25.85,2.03,
2011-06-30,60.86,3.41,17.85,41.02,1.48,27.0,2.25,
2011-09-30,47.86,3.44,13.91,40.17,1.19,28.16,1.7,
2011-12-31,42.5,3.46,12.28,40.49,1.05,29.88,1.42,
2012-03-31,53.41,3.57,14.96,41.63,1.28,31.25,1.71,
2012-06-30,49.3,2.84,17.36,41.29,1.19,32.27,1.53,
2012-09-30,56.0,2.94,19.05,42.45,1.32,33.05,1.69,
2012-12-31,60.85,3.21,18.96,43.26,1.41,34.01,1.79,
2013-03-31,73.12,3.39,21.57,43.46,1.68,34.58,2.11,
2013-06-30,81.05,3.52,23.02,43.83,1.85,35.07,2.31,
2013-09-30,88.39,3.59,24.62,45.49,1.94,35.32,2.5,
2013-12-31,106.97,3.48,30.74,46.57,2.3,35.9,2.98,
2014-03-31,115.65,3.91,29.58,51.21,2.26,36.88,3.14,
2014-06-30,113.63,3.84,29.59,51.73,2.2,38.69,2.94,
2014-09-30,117.34,4.15,28.27,51.27,2.29,40.33,2.91,
2014-12-31,120.94,4.71,25.68,51.31,2.36,42.02,2.88,
2015-03-31,129.83,4.31,30.12,50.03,2.6,41.99,3.09,
2015-06-30,125.55,4.89,25.67,51.9,2.42,41.9,3.0,
2015-09-30,118.46,4.9,24.18,52.24,2.27,41.82,2.83,
2015-12-31,137.57,4.92,27.96,53.42,2.57,42.23,3.26,
2016-03-31,137.47,4.97,27.66,53.17,2.59,43.24,3.18,
