period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2007-06-30,52.06,,,10.62,4.9,,,
2007-09-30,42.98,,,10.91,3.94,,,
2007-12-31,30.65,,,10.62,2.89,,,
2008-03-31,26.78,0.56,47.83,10.82,2.48,14.44,1.85,
2008-06-30,27.9,0.5,55.81,11.25,2.48,14.66,1.9,
2008-09-30,22.04,0.46,47.92,11.57,1.91,15.4,1.43,
2008-12-31,23.4,0.84,27.85,11.59,2.02,15.48,1.51,
2009-03-31,26.91,0.86,31.29,11.9,2.26,16.21,1.66,
2009-06-30,20.97,0.72,29.13,12.19,1.72,17.21,1.22,
2009-09-30,14.75,0.88,16.76,12.68,1.16,18.39,0.8,
2009-12-31,12.02,0.98,12.27,12.98,0.93,19.54,0.62,
2010-03-31,11.16,0.86,12.97,13.14,0.85,20.56,0.54,
2010-06-30,12.9,1.16,11.12,13.67,0.94,21.44,0.6,
2010-09-30,16.48,1.18,13.97,14.16,1.16,22.13,0.74,
2010-12-31,19.9,1.08,18.43,14.31,1.39,22.89,0.87,
2011-03-31,25.59,1.26,20.31,14.72,1.74,24.01,1.07,
2011-06-30,27.12,1.28,21.18,15.23,1.78,24.94,1.09,
2011-09-30,13.72,1.22,11.25,15.62,0.88,25.82,0.53,
2011-12-31,13.68,1.64,8.34,16.15,0.85,26.65,0.51,
2012-03-31,14.21,1.46,9.73,16.33,0.87,27.05,0.53,
2012-06-30,9.53,1.39,6.86,17.19,0.55,29.55,0.32,
2012-09-30,18.45,-13.44,0.0,18.31,1.01,32.08,0.58,
2012-12-31,15.66,-13.95,0.0,11.42,1.37,34.44,0.45,
2013-03-31,17.17,-13.87,0.0,18.62,0.92,36.17,0.47,
2013-06-30,23.59,-14.28,0.0,17.02,1.39,36.42,0.65,
2013-09-30,24.69,0.12,205.77,17.05,1.45,36.48,0.68,
2013-12-31,31.99,0.05,639.7,17.76,1.8,37.4,0.86,
2014-03-31,31.41,-0.34,0.0,17.63,1.78,37.22,0.84,
2014-06-30,31.97,0.16,199.79,18.04,1.77,36.69,0.87,
2014-09-30,27.45,0.09,305.0,17.99,1.53,36.59,0.75,
2014-12-31,25.61,0.3,85.38,19.4,1.32,36.5,0.7,
2015-03-31,30.13,0.4,75.33,19.31,1.56,37.55,0.8,
2015-06-30,36.86,0.34,108.42,19.7,1.87,38.68,0.95,
2015-09-30,37.85,0.61,62.05,19.92,1.9,39.12,0.97,
2015-12-31,37.2,0.82,45.36,20.23,1.84,39.66,0.94,
2016-03-31,36.42,1.47,24.77,20.81,1.75,40.12,0.91,
2016-06-30,41.14,1.3,31.65,21.14,1.95,41.35,0.99,
2016-09-30,44.42,1.57,28.29,21.67,2.05,42.98,1.03,
2016-12-31,54.68,1.69,32.36,22.07,2.48,44.74,1.22,
2017-03-31,61.41,1.93,31.82,22.82,2.69,45.71,1.34,
2017-06-30,57.64,2.35,24.53,23.6,2.44,46.26,1.25,
2017-09-30,58.63,2.56,22.9,24.37,2.41,46.57,1.26,
2017-12-31,60.39,5.2,11.61,26.25,2.3,46.63,1.3,
2018-03-31,58.04,5.18,11.2,26.82,2.16,47.7,1.22,
2018-06-30,56.81,5.43,10.46,27.61,2.06,48.37,1.17,
2018-09-30,66.73,5.73,11.65,28.71,2.32,49.57,1.35,
2018-12-31,60.48,3.36,18.0,29.07,2.08,50.56,1.2,
2019-03-31,65.7,3.64,18.05,30.64,2.14,51.34,1.28,
2019-06-30,70.49,3.81,18.5,31.56,2.23,51.7,1.36,
2019-09-30,74.9,3.89,19.25,32.46,2.31,51.82,1.45,
2019-12-31,74.56,4.02,18.55,33.6,2.22,52.25,1.43,
2020-03-31,79.77,4.06,19.65,33.65,2.37,52.18,1.53,
2020-06-30,99.03,3.06,32.36,50.91,1.95,53.7,1.84,
2020-09-30,108.73,3.05,35.65,51.99,2.09,56.3,1.93,
2020-12-31,128.22,2.65,48.38,52.62,2.44,60.16,2.13,
2021-03-31,119.13,2.29,52.02,53.24,2.24,63.1,1.89,
2021-06-30,137.71,2.98,46.21,54.07,2.55,64.72,2.13,
2021-09-30,121.48,2.53,48.01,54.78,2.22,64.95,1.87,46.68
2021-12-31,110.27,2.41,45.76,55.32,1.99,63.9,1.73,41.7
2022-03-31,122.04,2.24,54.48,55.83,2.19,64.16,1.9,54.61
2022-06-30,127.92,1.37,93.37,55.85,2.29,63.96,2.0,35.56
2022-09-30,127.57,1.22,104.57,56.12,2.27,63.77,2.0,29.01
2022-12-31,133.11,2.06,64.62,56.45,2.36,63.36,2.1,22.37
2023-03-31,137.72,3.07,44.86,55.55,2.48,63.36,2.17,19.84
2023-06-30,132.07,5.02,26.31,55.7,2.37,63.7,2.07,17.8
2023-09-30,133.16,6.44,20.68,55.68,2.39,64.63,2.06,15.78
2023-12-31,153.11,6.93,22.09,54.12,2.83,65.54,2.34,17.24
2024-03-31,156.49,7.35,21.29,52.73,2.97,65.99,2.37,17.92
2024-06-30,169.56,7.98,21.25,53.68,3.16,66.8,2.54,18.49
2024-09-30,199.25,8.77,22.72,55.17,3.61,67.63,2.95,20.32
2024-12-31,213.9,9.66,22.14,53.94,3.97,69.21,3.09,20.97
2025-03-31,259.32,10.24,25.32,53.73,4.83,70.98,3.65,25.07
2025-06-30,232.51,10.59,21.96,54.2,4.29,72.73,3.2,21.47
2025-09-30,234.43,10.39,22.56,54.07,4.34,75.0,3.13,20.61
2025-12-31,199.83,9.72,20.56,53.48,3.74,77.87,2.57,18.98
2026-03-31,207.7,9.41,22.07,51.46,4.04,80.59,2.58,18.46
2026-06-30,166.77,9.56,17.44,52.35,3.19,83.03,2.01,14.89
2026-09-14,182.9,,19.13,,3.49,,2.2,
2026-09-15,,,,,,,,14.6
