period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2010-06-30,1.59,,,-2.68,-0.59,,,
2010-09-30,1.36,,,0.16,8.66,,,
2010-12-31,1.78,,,0.15,12.21,,,
2011-03-31,1.85,0.03,56.57,0.12,15.81,0.35,5.25,
2011-06-30,1.94,0.33,5.91,0.22,8.69,0.14,13.46,
2011-09-30,1.63,0.31,5.21,0.19,8.64,0.16,10.25,
2011-12-31,1.9,-0.17,0.0,0.14,13.32,0.14,13.89,
2012-03-31,2.48,-0.19,0.0,0.1,25.46,0.12,20.36,
2012-06-30,2.09,-0.22,0.0,0.04,52.94,0.1,21.04,
2012-09-30,1.95,-0.25,0.0,-0.02,-110.91,0.09,20.79,
2012-12-31,2.26,-0.25,0.0,0.07,31.02,0.26,8.75,
2013-03-31,2.53,-0.19,0.0,0.1,25.88,0.54,4.68,
2013-06-30,7.16,-0.14,0.0,0.35,20.71,0.75,9.52,
2013-09-30,12.89,-0.09,0.0,0.31,42.0,0.96,13.48,
2013-12-31,10.03,-0.04,0.0,0.36,27.76,1.11,9.04,
2014-03-31,13.9,-0.07,0.0,0.49,28.35,1.14,12.16,
2014-06-30,16.0,-0.08,0.0,0.51,31.41,1.33,12.06,
2014-09-30,16.18,-0.1,0.0,0.51,31.75,1.55,10.47,
2014-12-31,14.83,-0.16,0.0,0.48,30.66,1.71,8.65,
2015-03-31,12.58,-0.21,0.0,0.44,28.88,1.88,6.7,
2015-06-30,17.88,-0.28,0.0,0.38,47.63,1.97,9.09,
2015-09-30,16.56,-0.35,0.0,0.67,24.73,2.0,8.3,
2015-12-31,16.0,-0.46,0.0,0.55,29.11,2.12,7.56,
2016-03-31,15.32,-0.52,0.0,0.48,31.69,2.19,6.98,
2016-06-30,14.15,-0.57,0.0,1.14,12.47,2.3,6.16,
2016-09-30,13.6,-0.44,0.0,1.19,11.4,2.79,4.88,
2016-12-31,14.25,-0.31,0.0,2.29,6.23,3.21,4.43,
2017-03-31,18.55,-0.31,0.0,2.35,7.88,3.75,4.95,
2017-06-30,24.11,-0.3,0.0,2.48,9.71,4.27,5.65,
2017-09-30,22.74,-0.56,0.0,2.29,9.92,4.48,5.08,
2017-12-31,20.76,-0.79,0.0,2.07,10.04,4.74,4.37,
2018-03-31,17.74,-0.93,0.0,2.09,8.5,4.98,3.56,
2018-06-30,22.86,-1.08,0.0,1.85,12.37,5.42,4.22,
2018-09-30,17.65,-0.71,0.0,2.06,8.57,6.79,2.6,
2018-12-31,22.19,-0.38,0.0,2.22,10.0,8.29,2.68,
2019-03-31,18.66,-0.37,0.0,2.1,8.89,8.7,2.14,
2019-06-30,14.9,-0.25,0.0,2.45,6.09,9.52,1.56,
2019-09-30,16.06,-0.31,0.0,2.55,6.3,9.24,1.74,
2019-12-31,27.89,-0.33,0.0,2.75,10.14,9.2,3.03,
2020-03-31,34.93,-0.05,0.0,3.62,9.66,9.45,3.7,
2020-06-30,71.99,0.14,512.0,3.84,18.73,9.0,8.0,
2020-09-30,143.0,0.18,806.56,5.94,24.08,9.37,15.26,
2020-12-31,235.22,0.21,1120.11,8.01,29.36,9.9,23.76,
2021-03-31,222.64,0.33,668.0,8.26,26.95,10.95,20.33,
2021-06-30,226.57,0.64,354.01,8.69,26.08,12.57,18.02,
2021-09-30,258.49,1.03,250.96,9.26,27.92,14.01,18.45,120.81
2021-12-31,352.26,1.63,216.11,10.0,35.21,15.94,22.11,125.57
2022-03-31,359.2,2.45,146.61,11.24,31.95,18.28,19.65,100.82
2022-06-30,224.47,2.76,81.33,11.92,18.83,19.61,11.45,53.81
2022-09-30,265.25,3.23,82.12,12.89,20.58,21.71,12.22,52.6
2022-12-31,123.18,3.62,34.03,14.38,8.57,23.47,5.25,23.74
2023-03-31,207.46,3.4,61.02,15.41,13.46,24.8,8.37,51.93
2023-06-30,261.77,3.53,74.16,16.35,16.01,27.08,9.67,71.24
2023-09-30,250.22,3.11,80.46,17.06,14.67,27.58,9.07,64.91
2023-12-31,248.48,4.3,57.79,19.9,12.49,27.8,8.94,69.84
2024-03-31,175.79,3.98,44.17,20.42,8.61,27.19,6.47,58.9
2024-06-30,197.88,3.6,54.97,21.04,9.41,27.35,7.24,70.9
2024-09-30,261.63,3.69,70.9,22.03,11.88,27.86,9.39,94.44
2024-12-31,403.84,2.04,197.96,22.89,17.64,27.99,14.43,129.45
2025-03-31,259.16,1.75,148.09,23.4,11.07,27.37,9.47,98.13
2025-06-30,317.66,1.68,189.08,24.2,13.13,26.43,12.02,153.94
2025-09-30,444.72,1.45,306.7,24.27,18.33,27.2,16.35,229.03
2025-12-31,449.72,1.08,416.41,22.08,20.37,26.91,16.71,222.6
2026-03-31,371.75,1.09,341.06,22.57,16.47,27.75,13.4,178.7
2026-06-30,420.6,1.08,389.44,22.15,18.99,29.33,14.34,194.94
2026-09-14,358.97,,332.38,,16.21,,12.24,
2026-09-15,,,,,,,,188.57
