period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,5.5,,,,0.0,,,
2006-06-30,5.36,,,,0.0,,,
2006-09-30,5.6,,,,0.0,,,
2006-12-31,6.38,0.74,8.67,,0.0,1.83,3.48,
2007-03-31,6.28,0.65,9.62,,0.0,1.75,3.58,
2007-06-30,6.79,0.6,11.24,,0.0,1.71,3.97,
2007-09-30,6.17,0.59,10.55,,0.0,1.73,3.57,
2007-12-31,6.07,0.63,9.72,,0.0,1.84,3.29,
2008-03-31,6.26,0.69,9.14,,0.0,2.0,3.14,
2008-06-30,6.65,0.72,9.3,,0.0,2.11,3.16,
2008-09-30,5.95,0.74,8.08,,0.0,2.18,2.73,
2008-12-31,5.02,0.61,8.28,,0.0,2.0,2.51,
2009-03-31,5.69,0.45,12.69,,0.0,1.73,3.28,
2009-06-30,5.98,0.41,14.62,,0.0,1.61,3.71,
2009-09-30,7.27,0.4,18.18,,0.0,1.57,4.63,
2009-12-31,7.59,0.52,14.59,,0.0,1.74,4.35,
2010-03-31,6.96,0.71,9.8,,0.0,2.04,3.41,
2010-06-30,6.47,0.81,7.99,,0.0,2.24,2.89,
2010-09-30,6.99,0.91,7.68,,0.0,2.38,2.94,
2010-12-31,8.64,0.98,8.82,,0.0,2.55,3.39,
2011-03-31,8.39,1.02,8.23,,0.0,2.69,3.12,
2011-06-30,8.98,1.02,8.8,,0.0,2.81,3.2,
2011-09-30,8.14,0.94,8.66,,0.0,2.84,2.86,
2011-12-31,9.19,0.88,10.45,,0.0,2.8,3.28,
2012-03-31,10.88,0.87,12.46,4.31,2.53,2.83,3.84,
2012-06-30,9.94,0.9,11.01,4.1,2.42,2.92,3.4,
2012-09-30,11.59,1.02,11.33,4.36,2.66,3.13,3.7,
2012-12-31,12.57,1.1,11.43,4.82,2.61,3.4,3.69,
2013-03-31,12.59,1.13,11.17,5.05,2.49,3.55,3.54,
2013-06-30,13.42,1.19,11.25,4.82,2.78,3.73,3.59,
2013-09-30,12.7,1.21,10.52,5.2,2.44,3.86,3.29,
2013-12-31,13.06,1.19,10.97,5.39,2.42,3.86,3.38,
2014-03-31,14.99,1.23,12.14,5.71,2.62,3.93,3.81,
2014-06-30,16.02,1.28,12.5,5.61,2.85,4.09,3.91,
2014-09-30,15.38,1.44,10.71,6.14,2.5,4.39,3.51,
2014-12-31,17.06,1.55,11.0,6.24,2.73,4.65,3.67,
2015-03-31,17.9,1.73,10.36,6.87,2.6,5.07,3.53,
2015-06-30,17.74,1.84,9.63,6.68,2.65,5.18,3.42,
2015-09-30,16.21,1.81,8.96,6.95,2.33,5.12,3.16,
2015-12-31,17.77,1.86,9.55,7.43,2.39,5.12,3.47,
2016-03-31,20.47,1.76,11.64,7.48,2.74,4.96,4.13,
2016-06-30,21.11,1.69,12.46,7.13,2.96,4.99,4.23,
2016-09-30,24.62,1.83,13.46,7.82,3.15,5.29,4.65,
2016-12-31,23.14,1.97,11.75,8.09,2.86,5.64,4.1,
2017-03-31,26.43,2.14,12.35,,0.0,5.9,4.48,
2017-06-30,28.86,5.94,4.86,8.57,3.37,18.25,1.58,
2017-09-30,31.0,5.93,5.23,9.14,3.39,18.27,1.7,
2017-12-31,32.73,2.24,14.61,9.72,3.37,18.66,1.75,
2018-03-31,36.12,2.28,15.83,10.59,3.41,18.85,1.92,
2018-06-30,31.26,-1.49,0.0,9.66,3.24,6.69,4.67,
2018-09-30,37.75,-1.5,0.0,9.91,3.81,6.72,5.62,
2018-12-31,31.56,2.29,13.78,10.46,3.02,6.5,4.86,
2019-03-31,35.02,2.08,16.81,10.93,3.2,6.23,5.62,
2019-06-30,34.59,2.03,17.04,9.65,3.58,6.22,5.56,
2019-09-30,41.34,2.1,19.73,9.83,4.21,6.4,6.46,
2019-12-31,52.04,2.28,22.82,10.41,5.0,6.9,7.54,
2020-03-31,43.21,2.64,16.35,10.74,4.03,7.52,5.75,
2020-06-30,51.72,3.01,17.19,11.12,4.65,8.03,6.44,
2020-09-30,74.25,3.29,22.59,11.76,6.31,8.56,8.68,
2020-12-31,100.29,3.51,28.57,12.61,7.96,9.2,10.9,
2021-03-31,109.19,3.72,29.34,13.32,8.19,9.7,11.26,
2021-06-30,111.35,3.87,28.79,13.76,8.09,10.26,10.85,
2021-09-30,103.88,4.05,25.67,14.39,7.22,10.79,9.63,
2021-12-31,112.4,4.12,27.28,14.96,7.52,11.04,10.18,
2022-03-31,97.86,4.56,21.48,15.98,6.12,11.93,8.2,
2022-06-30,77.13,5.18,14.88,16.46,4.69,12.86,6.0,
2022-09-30,65.07,5.88,11.06,17.46,3.73,13.88,4.69,
2022-12-31,71.09,6.23,11.41,18.31,3.88,14.21,5.0,
2023-03-31,89.22,6.15,14.52,19.62,4.55,14.05,6.35,
2023-06-30,97.21,5.74,16.95,20.15,4.82,13.57,7.16,
2023-09-30,84.16,5.24,16.06,20.55,4.1,13.01,6.47,
2023-12-31,101.19,5.36,18.88,21.75,4.65,13.61,7.43,
2024-03-31,132.91,5.43,24.47,22.47,5.91,14.02,9.48,
2024-06-30,170.23,5.77,29.53,22.76,7.48,15.01,11.34,
2024-09-30,170.58,6.42,26.56,24.04,7.1,16.22,10.52,
2024-12-31,194.46,6.81,28.55,25.16,7.73,17.02,11.42,
2025-03-31,163.96,7.55,21.73,26.97,6.08,18.31,8.96,
2025-06-30,224.43,8.56,26.2,28.93,7.76,20.15,11.14,
2025-09-30,277.44,9.53,29.1,32.43,8.56,21.98,12.62,
2025-12-31,302.65,10.43,29.02,33.17,9.13,23.41,12.93,
2026-03-31,337.33,11.8,28.59,36.14,9.33,25.4,13.28,
2026-06-30,477.57,13.62,35.06,39.57,12.07,27.32,17.48,
2026-09-14,418.01,,30.68,,10.56,,15.3,
