period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,11.73,,,,0.0,,,
2006-06-30,12.22,,,,0.0,,,
2006-09-30,12.3,,,,0.0,,,
2006-12-31,13.81,12.13,1.14,,0.0,136.43,0.1,
2007-03-31,13.4,6.23,2.15,,0.0,76.79,0.17,
2007-06-30,16.08,6.38,2.52,,0.0,77.88,0.21,
2007-09-30,16.09,6.91,2.33,,0.0,82.79,0.19,
2007-12-31,16.98,7.95,2.14,,0.0,93.42,0.18,
2008-03-31,15.21,8.61,1.77,,0.0,101.49,0.15,
2008-06-30,17.86,9.87,1.81,,0.0,112.48,0.16,
2008-09-30,12.71,10.04,1.27,,0.0,121.08,0.1,
2008-12-31,11.89,7.27,1.64,,0.0,114.64,0.1,
2009-03-31,10.55,6.22,1.7,,0.0,103.82,0.1,
2009-06-30,12.3,4.26,2.89,,0.0,89.54,0.14,
2009-09-30,13.44,3.48,3.86,,0.0,79.34,0.17,
2009-12-31,15.28,5.31,2.88,,0.0,82.81,0.18,
2010-03-31,13.85,5.56,2.49,,0.0,88.02,0.16,
2010-06-30,11.28,6.06,1.86,,0.0,92.55,0.12,
2010-09-30,13.04,6.42,2.03,,0.0,94.08,0.14,
2010-12-31,14.24,6.29,2.26,,0.0,94.3,0.15,
2011-03-31,16.23,7.27,2.23,,0.0,101.37,0.16,
2011-06-30,16.23,7.18,2.26,,0.0,106.17,0.15,
2011-09-30,12.71,7.61,1.67,,0.0,111.73,0.11,
2011-12-31,15.23,7.72,1.97,,0.0,115.28,0.13,
2012-03-31,15.62,7.25,2.15,40.04,0.39,112.15,0.14,
2012-06-30,14.16,6.42,2.2,39.87,0.36,108.96,0.13,
2012-09-30,16.19,6.05,2.67,39.17,0.41,105.36,0.15,
2012-12-31,17.29,6.02,2.87,42.37,0.41,103.38,0.17,
2013-03-31,16.4,4.76,3.45,40.92,0.4,101.87,0.16,
2013-06-30,17.14,5.34,3.21,40.82,0.42,100.99,0.17,
2013-09-30,20.91,5.27,3.97,42.18,0.5,100.43,0.21,
2013-12-31,22.71,4.94,4.6,45.57,0.5,100.4,0.23,
2014-03-31,24.89,5.54,4.49,,0.0,98.88,0.25,
2014-06-30,28.0,5.42,5.17,46.72,0.6,99.08,0.28,
2014-09-30,25.56,5.32,4.8,45.62,0.56,98.32,0.26,
2014-12-31,20.87,1.86,11.22,39.21,0.53,92.93,0.22,
2015-03-31,20.75,1.56,13.3,43.11,0.48,85.01,0.24,
2015-06-30,21.06,1.49,14.14,43.88,0.48,77.52,0.27,
2015-09-30,19.71,0.42,46.93,43.09,0.46,68.35,0.29,
2015-12-31,20.37,2.16,9.43,39.1,0.52,61.57,0.33,
2016-03-31,21.14,1.67,12.66,42.48,0.5,57.11,0.37,
2016-06-30,23.0,1.24,18.55,42.23,0.54,52.88,0.43,
2016-09-30,23.43,1.58,14.83,42.25,0.55,51.2,0.46,
2016-12-31,25.65,2.51,10.22,41.79,0.61,52.91,0.48,
2017-03-31,25.66,2.97,8.64,43.46,0.59,55.89,0.46,
2017-06-30,25.86,2.9,8.92,44.14,0.59,56.86,0.45,
2017-09-30,28.23,3.17,8.91,45.14,0.63,58.42,0.48,
2017-12-31,29.89,3.34,8.95,45.09,0.66,59.61,0.5,
2018-03-31,31.96,3.2,9.99,47.34,0.68,61.78,0.52,
2018-06-30,34.29,3.79,9.05,45.11,0.76,65.32,0.52,
2018-09-30,37.25,4.2,8.87,45.24,0.82,68.87,0.54,
2018-12-31,30.94,4.24,7.3,44.73,0.69,69.91,0.44,
2019-03-31,33.76,4.41,7.66,45.56,0.74,70.28,0.48,
2019-06-30,34.31,4.03,8.51,44.71,0.77,70.07,0.49,
2019-09-30,32.43,3.6,9.01,43.99,0.74,67.89,0.48,
2019-12-31,34.49,4.17,8.27,45.85,0.75,66.3,0.52,
2020-03-31,24.05,3.0,8.02,43.98,0.55,60.42,0.4,
2020-06-30,25.34,-1.27,0.0,39.59,0.64,51.63,0.49,
2020-09-30,23.13,-2.27,0.0,20.68,1.12,41.22,0.56,
2020-12-31,28.26,-2.9,0.0,39.98,0.71,37.59,0.75,
2021-03-31,32.55,-1.66,0.0,,0.0,40.85,0.8,
2021-06-30,32.19,2.41,13.36,,0.0,47.53,0.68,
2021-09-30,34.7,4.08,8.51,42.88,0.81,60.2,0.58,
2021-12-31,35.81,5.92,6.05,44.12,0.81,68.66,0.52,
2022-03-31,37.69,5.95,6.33,45.93,0.82,78.74,0.48,
2022-06-30,39.78,7.31,5.44,45.82,0.87,90.38,0.44,
2022-09-30,35.66,8.16,4.37,46.07,0.77,97.41,0.37,
2022-12-31,49.02,7.85,6.24,46.16,1.06,101.39,0.48,
2023-03-31,47.22,8.8,5.37,47.56,0.99,99.85,0.47,
2023-06-30,46.76,8.28,5.65,47.93,0.98,93.79,0.5,
2023-09-30,53.99,8.45,6.39,49.43,1.09,90.95,0.59,
2023-12-31,55.32,8.67,6.38,50.79,1.09,88.59,0.62,
2024-03-31,57.88,8.86,6.53,52.19,1.11,87.19,0.66,
2024-06-30,57.53,8.82,6.52,51.96,1.11,87.3,0.66,
2024-09-30,57.23,7.05,8.12,52.01,1.1,85.58,0.67,
2024-12-31,48.26,6.69,7.21,53.49,0.9,83.43,0.58,
2025-03-31,58.94,5.97,9.87,54.23,1.09,82.56,0.71,
2025-06-30,56.82,5.54,10.26,54.01,1.05,81.24,0.7,
2025-09-30,55.25,6.22,8.88,54.31,1.02,80.63,0.69,
2025-12-31,61.57,5.78,10.65,54.84,1.12,81.02,0.76,
2026-03-31,86.84,6.74,12.88,57.23,1.52,82.62,1.05,
2026-06-30,77.76,7.98,9.74,58.88,1.32,88.47,0.88,
2026-09-14,91.14,,11.42,,1.55,,1.03,
