period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,14.49,,,6.13,2.36,,,
2006-06-30,14.47,,,6.43,2.25,,,
2006-09-30,11.7,,,6.7,1.75,,,
2006-12-31,11.33,0.83,13.65,6.83,1.66,8.73,1.3,
2007-03-31,9.54,0.82,11.63,7.05,1.35,11.18,0.85,
2007-06-30,13.0,0.72,18.06,7.23,1.8,13.18,0.99,
2007-09-30,11.57,0.66,17.53,7.44,1.55,15.22,0.76,
2007-12-31,11.66,0.81,14.4,7.75,1.5,15.74,0.74,
2008-03-31,11.32,0.95,11.92,8.1,1.4,15.65,0.72,
2008-06-30,13.21,1.01,13.08,8.47,1.56,15.85,0.83,
2008-09-30,9.92,1.02,9.73,8.72,1.14,15.94,0.62,
2008-12-31,5.21,-0.86,0.0,7.71,0.68,15.87,0.33,
2009-03-31,5.8,-1.17,0.0,7.71,0.75,15.24,0.38,
2009-06-30,7.96,-1.24,0.0,7.88,1.01,14.55,0.55,
2009-09-30,11.47,-1.55,0.0,7.8,1.47,13.86,0.83,
2009-12-31,11.53,0.11,104.82,7.9,1.46,13.44,0.86,
2010-03-31,8.88,0.18,49.33,7.94,1.12,13.13,0.68,
2010-06-30,9.5,0.1,95.0,9.45,1.01,13.86,0.69,
2010-09-30,9.79,0.57,17.18,9.81,1.0,15.08,0.65,
2010-12-31,14.92,1.01,14.77,10.38,1.44,16.92,0.88,
2011-03-31,18.16,1.24,14.65,10.78,1.68,17.94,1.01,
2011-06-30,16.02,0.92,17.41,10.67,1.5,18.38,0.87,
2011-09-30,9.51,0.86,11.06,11.08,0.86,18.31,0.52,
2011-12-31,10.96,0.51,21.49,11.34,0.97,17.45,0.63,
2012-03-31,11.51,0.33,34.88,11.49,1.0,16.94,0.68,
2012-06-30,9.39,0.68,13.8,11.4,0.82,16.42,0.57,
2012-09-30,9.42,-2.16,0.0,8.92,1.06,16.18,0.58,
2012-12-31,9.19,-2.13,0.0,9.19,1.0,16.44,0.56,
2013-03-31,7.6,-2.22,0.0,9.25,0.82,16.71,0.45,
2013-06-30,8.4,-2.15,0.0,8.06,1.04,16.81,0.5,
2013-09-30,9.74,0.3,32.47,8.04,1.21,16.77,0.58,
2013-12-31,8.58,0.26,33.0,8.53,1.01,16.5,0.52,
2014-03-31,8.45,0.15,56.33,8.44,1.0,16.1,0.52,
2014-06-30,8.2,-0.05,0.0,8.31,0.99,15.59,0.53,
2014-09-30,6.81,0.13,52.38,8.52,0.8,15.6,0.44,
2014-12-31,7.53,0.18,41.83,8.58,0.88,15.86,0.47,
2015-03-31,9.01,0.27,33.37,8.57,1.05,16.23,0.56,
2015-06-30,9.99,-0.1,0.0,8.48,1.18,17.68,0.57,
2015-09-30,6.23,-0.21,0.0,8.33,0.75,20.15,0.31,
2015-12-31,6.51,-0.28,0.0,8.34,0.78,22.71,0.29,
2016-03-31,6.65,-0.39,0.0,8.17,0.81,24.67,0.27,
2016-06-30,7.53,0.19,39.63,8.28,0.91,24.39,0.31,
2016-09-30,11.45,0.44,26.02,8.51,1.35,22.84,0.5,
2016-12-31,13.63,0.34,40.09,8.26,1.65,22.59,0.6,
2017-03-31,16.13,0.69,23.38,8.58,1.88,21.51,0.75,
2017-06-30,17.36,0.7,24.8,8.94,1.94,21.47,0.81,
2017-09-30,15.37,0.66,23.29,9.36,1.64,21.51,0.71,
2017-12-31,15.67,1.04,15.07,9.93,1.58,20.13,0.78,
2018-03-31,15.29,0.85,17.99,10.19,1.5,21.53,0.71,
2018-06-30,17.63,1.32,13.36,11.01,1.6,22.14,0.8,
2018-09-30,15.91,1.35,11.79,11.33,1.4,22.61,0.7,
2018-12-31,9.73,1.38,7.05,11.83,0.82,17.79,0.55,
2019-03-31,11.73,1.26,9.31,11.64,1.01,16.7,0.7,
2019-06-30,10.2,0.64,15.94,11.65,0.88,15.37,0.66,
2019-09-30,12.2,0.57,21.39,11.82,1.03,14.84,0.82,
2019-12-31,15.05,0.39,38.59,12.12,1.24,19.12,0.79,
2020-03-31,10.34,0.41,25.22,12.02,0.86,18.75,0.55,
2020-06-30,11.86,2.07,5.73,13.55,0.88,20.07,0.59,
2020-09-30,11.41,1.53,7.46,13.11,0.87,19.86,0.57,
2020-12-31,13.8,1.67,8.26,13.52,1.02,19.75,0.7,
2021-03-31,14.5,1.65,8.79,13.47,1.08,19.97,0.73,
2021-06-30,14.3,0.22,65.0,13.64,1.05,19.83,0.72,
2021-09-27,,,,,,,,9.01
2021-09-30,12.57,0.8,15.71,13.88,0.91,20.16,0.62,
2021-12-31,14.9,0.5,29.8,14.06,1.06,20.77,0.72,
2022-01-03,,,,,,,,11.52
2022-03-31,14.82,0.7,21.17,14.28,1.04,21.41,0.69,
2022-04-04,,,,,,,,11.7
2022-06-30,12.5,0.71,17.61,14.43,0.87,22.3,0.56,
2022-07-04,,,,,,,,9.3
2022-09-30,13.18,0.94,14.02,14.9,0.88,23.63,0.56,
2022-10-03,,,,,,,,8.2
2022-12-31,15.08,0.91,16.57,15.02,1.0,24.05,0.63,
2023-01-02,,,,,,,,9.47
2023-03-31,13.49,0.68,19.84,14.89,0.91,23.79,0.57,
2023-04-03,,,,,,,,12.15
2023-06-30,13.9,0.48,28.96,14.87,0.93,22.94,0.61,
2023-07-03,,,,,,,,13.09
2023-09-30,12.88,-0.3,0.0,14.59,0.88,22.01,0.59,
2023-10-02,,,,,,,,10.61
2023-12-31,15.81,-0.18,0.0,14.8,1.07,21.6,0.73,
2024-01-01,,,,,,,,10.96
2024-03-31,15.65,-0.02,0.0,14.95,1.05,21.76,0.72,
2024-04-01,,,,,,,,10.44
2024-06-30,19.43,0.16,121.44,15.0,1.3,22.37,0.87,
2024-07-01,,,,,,,,12.76
2024-09-30,18.25,0.66,27.65,15.17,1.2,22.78,0.8,11.08
2024-12-30,,,,,,,,13.37
2024-12-31,24.75,0.54,45.83,15.33,1.61,23.49,1.05,
2025-03-31,20.51,0.75,27.35,15.62,1.31,24.22,0.85,10.26
2025-06-30,40.82,0.9,45.36,15.84,2.58,25.36,1.61,18.77
2025-09-29,,,,,,,,23.37
2025-09-30,57.6,1.26,45.71,16.47,3.5,26.54,2.17,
2025-12-29,,,,,,,,25.82
2025-12-31,69.0,1.68,41.07,17.05,4.05,27.63,2.5,
2026-03-30,,,,,,,,27.51
2026-03-31,97.42,1.84,52.95,17.7,5.51,29.32,3.32,
2026-06-29,,,,,,,,41.37
2026-06-30,187.02,2.21,84.62,18.36,10.18,31.69,5.9,
2026-09-14,113.22,,51.23,,6.17,,3.57,
2026-09-15,,,,,,,,17.69
