period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,19.98,,,7.21,2.77,,,
2006-06-30,18.65,,,8.34,2.24,,,
2006-09-30,20.49,,,8.11,2.53,,,
2006-12-31,17.77,2.78,6.39,7.83,2.27,9.06,1.96,
2007-03-31,18.6,2.77,6.72,7.87,2.36,9.17,2.03,
2007-06-30,23.31,1.69,13.79,8.04,2.9,9.17,2.54,
2007-09-30,22.71,1.77,12.83,7.97,2.85,9.25,2.46,
2007-12-31,20.8,1.83,11.37,7.43,2.8,9.49,2.19,
2008-03-31,17.66,1.97,8.97,7.45,2.37,9.76,1.81,
2008-06-30,17.65,1.99,8.87,7.62,2.32,9.93,1.78,
2008-09-30,13.53,1.88,7.2,7.79,1.74,9.98,1.36,
2008-12-31,9.83,1.44,6.82,7.3,1.35,9.4,1.05,
2009-03-31,10.53,0.96,10.97,7.23,1.46,8.6,1.22,
2009-06-30,13.67,0.72,18.98,7.3,1.87,8.03,1.7,
2009-09-30,15.27,0.71,21.51,7.53,2.03,7.72,1.98,
2009-12-31,16.88,1.15,14.68,7.84,2.15,8.2,2.06,
2010-03-31,15.94,1.66,9.6,8.02,1.99,9.14,1.74,
2010-06-30,15.23,2.08,7.32,8.16,1.87,10.07,1.51,
2010-09-30,17.84,2.37,7.53,8.48,2.1,10.93,1.63,
2010-12-31,21.46,2.62,8.19,8.94,2.4,11.47,1.87,
2011-03-31,22.9,2.65,8.64,9.11,2.52,11.74,1.95,
2011-06-30,21.84,2.59,8.43,9.44,2.31,11.8,1.85,
2011-09-30,17.8,2.39,7.45,9.65,1.84,11.67,1.53,
2011-12-31,19.55,1.88,10.4,9.61,2.03,11.69,1.67,
2012-03-31,22.69,1.55,14.64,9.67,2.35,11.52,1.97,
2012-06-30,19.48,1.37,14.22,9.81,1.99,11.48,1.7,
2012-09-30,18.83,1.53,12.3,10.17,1.85,11.46,1.64,
2012-12-31,21.26,1.51,14.08,9.89,2.15,11.14,1.91,
2013-03-31,24.57,1.61,15.26,9.87,2.49,11.03,2.23,
2013-06-30,24.32,1.81,13.44,10.05,2.42,10.87,2.24,
2013-09-30,28.32,1.7,16.66,10.1,2.81,10.82,2.62,
