period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2014-03-31,11.31,,,,0.0,,,
2014-09-30,9.62,,,,0.0,,,
2014-12-31,9.44,,,,0.0,,,
2015-03-31,10.39,1.36,7.64,,0.0,10.8,0.96,
2015-06-30,12.04,1.4,8.6,,0.0,10.99,1.1,
2015-09-30,10.66,1.75,6.09,,0.0,11.01,0.97,
2015-12-31,11.14,1.71,6.52,,0.0,10.82,1.03,
2016-03-31,9.22,1.32,6.98,15.37,0.6,10.07,0.92,
2016-06-30,8.2,1.26,6.51,14.89,0.55,9.89,0.83,
2016-09-30,8.62,0.93,9.32,14.92,0.58,9.43,0.91,
2016-12-31,9.92,0.85,11.62,14.85,0.67,9.49,1.04,
2017-03-31,10.09,1.0,10.09,14.58,0.69,9.64,1.05,
2017-06-30,11.13,1.04,10.73,14.33,0.78,9.52,1.17,
2017-09-30,11.24,1.07,10.49,15.16,0.74,9.66,1.16,
2017-12-31,12.05,0.25,48.21,14.12,0.85,8.74,1.38,
2018-03-31,11.57,0.0,0.0,14.39,0.8,8.93,1.3,
2018-06-30,10.46,0.05,226.43,13.84,0.76,9.01,1.16,
2018-09-30,10.73,0.12,92.16,13.96,0.77,9.16,1.17,
2018-12-31,8.44,1.18,7.15,14.39,0.59,9.22,0.92,
2019-03-31,8.26,1.4,5.9,14.5,0.57,9.05,0.91,
2019-06-30,8.52,1.41,6.04,14.58,0.58,8.95,0.95,
2019-09-30,8.13,1.36,5.98,15.52,0.52,8.74,0.93,
2019-12-31,9.05,1.14,7.94,15.12,0.6,9.31,0.97,
2020-03-31,6.66,1.27,5.24,16.22,0.41,9.49,0.7,
2020-06-30,9.31,1.23,7.57,15.95,0.58,9.36,0.99,
2020-09-30,9.0,1.51,5.96,16.65,0.54,9.66,0.93,
2020-12-31,11.7,1.77,6.61,16.83,0.7,9.72,1.2,
2021-03-31,12.85,1.83,7.02,16.56,0.78,9.72,1.32,
2021-06-30,12.99,2.05,6.34,16.99,0.77,10.01,1.3,
2021-09-30,13.5,2.12,6.37,17.57,0.77,10.1,1.34,
2021-12-31,15.14,2.06,7.35,17.94,0.84,10.22,1.48,
2022-03-31,16.55,2.18,7.59,17.68,0.94,10.75,1.54,
2022-06-30,14.12,2.24,6.31,17.56,0.8,10.98,1.29,
2022-09-30,12.63,2.13,5.93,17.62,0.72,11.21,1.13,
2022-12-31,16.26,2.25,7.23,18.41,0.88,12.22,1.33,
2023-03-31,18.58,1.96,9.48,18.71,0.99,13.03,1.43,
2023-06-30,18.11,9.86,1.84,27.15,0.67,23.41,0.77,
2023-09-30,22.03,9.12,2.42,26.41,0.83,26.86,0.82,
2023-12-31,27.61,8.3,3.33,26.85,1.03,29.78,0.93,
2024-03-31,27.45,8.5,3.23,26.75,1.03,32.55,0.84,
2024-06-30,27.45,0.33,83.17,26.3,1.04,25.58,1.07,
2024-09-30,28.72,0.98,29.31,27.49,1.04,25.54,1.12,
2024-12-31,28.17,1.52,18.53,26.95,1.05,25.2,1.12,
2025-03-31,28.46,1.51,18.85,27.48,1.04,24.38,1.17,
2025-06-30,32.96,1.89,17.44,28.3,1.16,23.79,1.39,
2025-09-30,39.96,2.22,18.0,28.87,1.38,23.31,1.71,
2025-12-31,45.13,2.36,19.12,29.27,1.54,23.06,1.96,
2026-03-31,38.08,1.85,20.58,,0.0,17.2,2.21,
2026-06-30,49.56,2.0,24.78,,,15.01,3.3,
2026-09-14,52.99,,26.5,,0.0,,3.53,
