period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,42.62,,,13.14,3.24,,,
2006-06-30,34.16,,,13.48,2.53,,,
2006-09-30,37.53,,,14.52,2.59,,,
2006-12-31,40.99,2.97,13.8,15.47,2.65,50.99,0.8,
2007-03-31,40.43,3.0,13.48,15.84,2.55,52.21,0.77,
2007-06-30,39.04,3.19,12.24,15.97,2.44,53.21,0.73,
2007-09-30,36.97,3.34,11.07,16.07,2.3,54.2,0.68,
2007-12-31,44.42,3.42,12.99,16.01,2.77,55.01,0.81,
2008-03-31,26.25,3.54,7.42,16.13,1.63,57.29,0.46,
2008-06-30,20.05,2.92,6.87,16.04,1.25,59.77,0.34,
2008-09-30,19.4,2.72,7.13,16.6,1.17,62.34,0.31,
2008-12-31,20.32,2.4,8.47,17.3,1.17,65.08,0.31,
2009-03-31,16.01,2.43,6.59,18.1,0.88,67.38,0.24,
2009-06-30,19.11,2.89,6.61,18.72,1.02,69.45,0.28,
2009-09-30,19.16,3.03,6.32,19.86,0.96,71.66,0.27,
2009-12-31,23.32,3.24,7.2,20.58,1.13,73.65,0.32,
2010-03-31,25.0,3.46,7.22,21.46,1.16,75.53,0.33,
2010-06-30,21.84,3.72,5.87,22.27,0.98,77.68,0.28,
2010-09-30,27.1,3.97,6.83,23.3,1.16,80.09,0.34,
2010-12-31,27.96,4.1,6.82,23.78,1.18,82.86,0.34,
2011-03-31,35.1,4.29,8.18,24.67,1.42,85.94,0.41,
2011-06-30,40.19,4.46,9.01,25.6,1.57,88.51,0.45,
2011-09-30,36.06,4.49,8.03,26.44,1.36,90.8,0.4,
2011-12-31,39.76,4.73,8.41,27.23,1.46,93.39,0.43,
2012-03-31,46.37,4.82,9.62,27.93,1.66,95.99,0.48,
2012-06-30,46.2,4.93,9.37,28.69,1.61,98.91,0.47,
2012-09-30,43.93,5.26,8.35,29.86,1.47,101.85,0.43,
2012-12-31,43.18,5.28,8.18,30.6,1.41,105.51,0.41,
2013-03-31,45.72,5.13,8.91,31.35,1.46,109.26,0.42,
2013-06-30,52.56,5.26,9.99,31.19,1.68,112.9,0.47,
2013-09-30,57.7,5.29,10.91,31.42,1.84,116.53,0.5,
2013-12-31,60.9,5.5,11.07,32.54,1.87,119.45,0.51,
2014-03-31,66.55,5.44,12.23,33.08,2.01,121.8,0.55,
2014-06-30,66.67,5.46,12.21,33.85,1.97,125.03,0.53,
2014-09-30,70.64,5.56,12.7,33.89,2.08,128.48,0.55,
2014-12-31,83.1,5.7,14.58,34.02,2.44,131.97,0.63,
2015-03-31,97.57,6.06,16.1,33.49,2.91,137.04,0.71,
2015-06-30,101.05,6.28,16.09,34.68,2.91,141.71,0.71,
2015-09-30,96.51,6.3,15.32,34.76,2.78,151.25,0.64,
2015-12-31,98.29,6.01,16.35,35.39,2.78,162.43,0.61,
2016-03-31,108.14,6.22,17.39,36.76,2.94,171.58,0.63,
2016-06-30,119.0,6.39,18.62,38.16,3.12,182.11,0.65,
2016-09-30,118.53,6.77,17.51,39.45,3.0,186.98,0.63,
2016-12-31,136.04,7.25,18.76,40.1,3.39,191.0,0.71,
2017-03-31,139.93,7.81,17.92,45.59,3.07,194.92,0.72,
2017-06-30,158.85,8.32,19.09,46.98,3.38,197.67,0.8,
2017-09-30,168.42,8.8,19.14,48.82,3.45,200.78,0.84,
2017-12-31,190.23,10.72,17.74,51.43,3.7,204.52,0.93,
2018-03-31,185.26,11.36,16.31,52.01,3.56,210.47,0.88,
2018-06-30,213.15,12.02,17.73,52.79,4.04,216.76,0.98,
2018-09-30,231.91,12.75,18.19,54.67,4.24,223.42,1.04,
2018-12-31,217.85,12.19,17.87,56.58,3.85,229.99,0.95,
2019-03-31,217.05,12.88,16.85,57.14,3.8,235.93,0.92,
2019-06-30,215.15,13.32,16.15,58.92,3.65,241.67,0.89,
2019-09-30,192.52,13.75,14.0,60.99,3.16,246.81,0.78,
2019-12-31,261.43,14.33,18.24,63.75,4.1,250.43,1.04,
2020-03-31,222.73,14.29,15.59,63.21,3.52,255.54,0.87,
2020-06-30,264.56,17.78,14.88,70.02,3.78,257.41,1.03,
2020-09-30,280.8,17.41,16.13,71.76,3.91,262.42,1.07,
2020-12-31,316.99,16.03,19.77,72.23,4.39,267.5,1.18,
2021-03-31,337.52,17.59,19.19,73.42,4.6,273.89,1.23,
2021-06-30,364.58,15.14,24.08,76.38,4.77,283.76,1.28,
2021-09-30,357.0,16.12,22.15,77.77,4.59,291.82,1.22,
2021-12-31,460.27,18.08,25.46,79.75,5.77,300.84,1.53,
2022-03-31,468.83,18.27,25.66,81.07,5.78,311.5,1.51,
2022-06-30,473.88,19.15,24.75,81.5,5.81,321.46,1.47,
2022-09-30,467.42,20.42,22.89,83.49,5.6,331.04,1.41,
2022-12-31,492.2,21.18,23.24,87.21,5.64,341.05,1.44,
2023-03-31,440.3,21.86,20.14,92.08,4.78,354.52,1.24,
2023-06-30,449.61,22.34,20.13,94.25,4.77,368.8,1.22,
2023-09-30,473.48,23.03,20.56,96.83,4.89,382.14,1.24,
2023-12-31,496.09,23.86,20.79,102.19,4.85,395.67,1.25,
2024-03-31,467.99,16.38,28.57,100.4,4.66,406.42,1.15,
2024-06-30,483.81,15.1,32.04,102.8,4.71,414.11,1.17,
2024-09-30,557.43,15.37,36.27,108.21,5.15,423.84,1.32,
2024-12-31,484.13,15.51,31.21,107.4,4.51,431.68,1.12,
2025-03-31,503.39,23.89,21.07,110.78,4.54,442.81,1.14,
2025-06-30,301.97,23.09,13.08,111.02,2.72,458.94,0.66,
2025-09-30,336.34,19.17,17.55,112.11,3.0,475.16,0.71,
2025-12-31,323.71,13.23,24.47,110.47,2.93,490.92,0.66,
2026-03-31,267.41,13.28,20.14,114.42,2.34,494.33,0.54,
2026-06-30,413.09,15.58,26.51,115.48,3.58,495.33,0.83,
2026-09-14,383.55,,24.62,,3.32,,0.77,
