period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,15.35,,,13.09,1.17,,,
2006-06-30,15.34,,,13.39,1.15,,,
2006-09-30,14.57,,,13.7,1.06,,,
2006-12-31,15.29,1.48,10.36,14.17,1.08,14.33,1.07,
2007-03-31,16.93,1.54,10.99,14.34,1.18,14.44,1.17,
2007-06-30,19.25,1.59,12.11,14.49,1.33,14.57,1.32,
2007-09-30,18.96,1.71,11.12,14.65,1.29,14.85,1.28,
2007-12-31,21.15,1.73,12.22,29.87,0.71,15.12,1.4,
2008-03-31,21.19,1.8,11.75,15.06,1.41,15.67,1.35,
2008-06-30,25.58,1.9,13.45,15.21,1.68,16.34,1.57,
2008-09-30,24.19,2.09,11.56,15.54,1.56,17.13,1.41,
2008-12-31,16.34,2.27,7.21,15.35,1.06,17.38,0.94,
2009-03-31,14.15,2.2,6.43,15.53,0.91,16.68,0.85,
2009-06-30,18.02,2.15,8.38,15.88,1.13,15.55,1.16,
2009-09-30,20.29,1.97,10.32,16.28,1.25,14.43,1.41,
2009-12-31,22.31,1.87,11.93,16.63,1.34,13.98,1.6,
2010-03-31,25.7,2.02,12.75,17.01,1.51,14.5,1.77,
2010-06-30,24.49,2.26,10.86,17.33,1.41,15.36,1.59,
2010-09-30,28.95,2.53,11.44,17.68,1.64,16.16,1.79,
2010-12-31,32.93,2.77,11.91,18.07,1.82,16.84,1.96,
2011-03-31,35.09,2.91,12.08,18.39,1.91,17.48,2.01,
2011-06-30,37.43,3.0,12.48,18.76,2.0,18.29,2.05,
2011-09-30,29.43,3.15,9.36,19.2,1.53,19.09,1.54,
2011-12-31,38.42,3.36,11.44,19.35,1.99,19.92,1.93,
2012-03-31,39.19,3.61,10.86,19.66,1.99,20.68,1.89,
2012-06-30,43.74,3.87,11.32,20.15,2.17,21.22,2.06,
2012-09-30,43.73,4.04,10.84,20.75,2.11,21.62,2.02,
2012-12-31,46.58,4.14,11.25,21.17,2.2,21.91,2.13,
2013-03-31,53.03,4.26,12.45,21.56,2.46,22.22,2.39,
2013-06-30,57.71,4.39,13.14,22.1,2.61,22.6,2.55,
2013-09-30,58.4,4.54,12.88,22.54,2.59,22.98,2.54,
2013-12-31,63.47,4.71,13.48,23.27,2.73,23.52,2.7,
2014-03-31,71.26,4.89,14.59,23.48,3.04,24.07,2.96,
2014-06-30,76.1,5.14,14.82,23.85,3.19,24.87,3.06,
2014-09-30,83.1,5.43,15.32,24.19,3.44,25.76,3.23,
2014-12-31,91.68,5.75,15.95,23.99,3.82,26.55,3.45,
2015-03-31,83.73,5.86,14.29,24.0,3.49,26.73,3.13,
2015-06-30,74.13,5.81,12.76,24.14,3.07,26.28,2.82,
2015-09-30,69.17,5.78,11.97,24.07,2.87,25.81,2.68,
2015-12-31,61.58,5.49,11.22,24.38,2.53,24.98,2.47,
2016-03-31,63.08,5.35,11.79,24.35,2.59,24.32,2.59,
2016-06-30,69.64,5.14,13.55,24.48,2.84,23.8,2.93,
2016-09-30,78.3,5.0,15.66,24.58,3.19,23.59,3.32,
2016-12-31,83.74,5.07,16.52,24.43,3.43,23.78,3.52,
2017-03-31,86.03,5.23,16.45,24.37,3.53,24.38,3.53,
