period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2008-03-31,13.68,,,6.27,2.18,,,
2008-06-30,17.83,,,6.38,2.8,,,
2008-09-30,13.48,,,6.25,2.16,,,
2008-12-31,11.54,0.27,43.15,6.4,1.8,1.24,9.34,
2009-03-31,12.26,0.33,36.87,6.54,1.88,1.36,9.04,
2009-06-30,13.75,0.41,33.95,6.74,2.04,1.39,9.89,
2009-09-30,15.29,0.51,29.98,6.85,2.23,1.49,10.24,
2009-12-31,19.38,0.56,34.76,6.97,2.78,1.56,12.43,
2010-03-31,20.2,0.6,33.52,7.15,2.83,1.64,12.29,
2010-06-30,15.72,0.61,25.77,7.35,2.14,1.76,8.95,
2010-09-30,16.53,0.68,24.4,7.49,2.21,1.83,9.03,
2010-12-31,15.7,0.72,21.88,7.67,2.05,1.92,8.17,
2011-03-31,16.45,0.77,21.37,7.88,2.09,2.02,8.14,
2011-06-30,18.87,0.86,22.07,7.98,2.36,2.13,8.87,
2011-09-30,19.23,0.89,21.53,8.14,2.36,2.23,8.63,
2011-12-31,22.82,0.95,24.15,8.4,2.72,2.35,9.72,
2012-03-31,26.58,1.07,24.89,8.76,3.03,2.48,10.73,
2012-06-30,27.9,0.34,82.59,8.07,3.46,2.57,10.85,
2012-09-30,30.35,0.56,54.69,8.52,3.56,2.7,11.26,
2012-12-31,34.34,0.64,54.08,8.58,4.0,2.8,12.26,
2013-03-31,38.56,0.64,60.25,8.48,4.55,2.92,13.19,
2013-06-30,41.57,1.45,28.62,8.58,4.85,3.07,13.56,
2013-09-30,43.55,1.72,25.32,8.61,5.06,3.38,12.87,
2013-12-31,50.85,1.76,28.85,8.7,5.84,3.5,14.54,
2014-03-31,49.38,1.99,24.78,8.85,5.58,3.83,12.89,
2014-06-30,48.29,2.15,22.46,8.91,5.42,4.15,11.63,
2014-09-30,49.0,1.95,25.13,12.21,4.01,4.28,11.44,
2014-12-31,60.32,2.14,28.25,9.19,6.56,4.65,12.97,
2015-03-31,60.3,2.14,28.25,12.67,4.76,4.77,12.63,
2015-06-30,62.02,2.28,27.26,12.92,4.8,4.94,12.57,
2015-09-30,64.44,2.32,27.78,13.47,4.78,5.09,12.66,
2015-12-31,71.87,2.47,29.1,13.46,5.34,5.18,13.87,
2016-03-31,71.02,2.54,27.96,13.43,5.29,5.29,13.42,
2016-06-30,68.99,2.07,33.33,15.25,4.53,5.36,12.86,
2016-09-30,77.06,2.24,34.4,15.43,4.99,5.64,13.65,
2016-12-31,72.85,2.29,31.81,15.0,4.86,5.98,12.17,
2017-03-31,83.14,1.81,45.94,14.62,5.69,6.3,13.19,
2017-06-30,87.89,2.43,36.17,15.28,5.75,6.66,13.2,
2017-09-30,98.79,2.52,39.2,15.78,6.26,6.9,14.32,
2017-12-31,107.22,2.72,39.42,16.2,6.62,7.1,15.11,
2018-03-31,112.69,3.56,31.65,16.66,6.76,7.37,15.28,
2018-06-30,124.97,3.68,33.96,16.37,7.63,7.68,16.27,
2018-09-30,141.83,3.98,35.64,16.79,8.45,7.95,17.84,
2018-12-31,124.9,4.18,29.88,16.95,7.37,8.25,15.14,
2019-03-31,148.12,4.35,34.05,17.15,8.63,8.46,17.51,
2019-06-30,164.83,4.68,35.22,17.62,9.35,8.74,18.85,
2019-09-30,163.61,4.78,34.23,17.57,9.31,9.07,18.04,
2019-12-31,179.02,4.92,36.39,17.95,9.97,9.33,19.18,
2020-03-31,153.73,4.99,30.81,17.75,8.66,9.52,16.14,
2020-06-30,184.61,4.72,39.11,18.28,10.1,9.17,20.14,
2020-09-30,191.4,4.38,43.7,18.67,10.25,8.8,21.75,
2020-12-31,209.67,4.34,48.31,19.3,10.86,8.69,24.13,
2021-03-31,203.28,4.34,46.84,19.33,10.52,8.67,23.44,
2021-06-30,224.81,4.44,50.63,19.44,11.56,9.23,24.37,
2021-09-30,214.46,5.04,42.55,19.46,11.02,9.85,21.77,32.56
2021-12-31,209.01,5.41,38.63,18.89,11.06,10.46,19.98,30.78
2022-03-31,214.24,5.69,37.65,18.91,11.33,11.12,19.26,30.05
2022-06-30,190.57,6.06,31.45,18.75,10.16,11.66,16.34,25.75
2022-09-30,172.25,6.26,27.52,18.83,9.15,12.23,14.08,22.16
2022-12-31,201.9,6.39,31.6,19.63,10.29,12.67,15.93,25.06
2023-03-31,219.53,6.68,32.86,20.58,10.67,13.08,16.79,26.05
2023-06-30,231.68,7.03,32.96,20.94,11.07,13.5,17.16,26.06
2023-09-30,224.81,7.38,30.46,20.95,10.73,13.93,16.14,24.17
2023-12-31,255.01,7.74,32.95,21.64,11.78,14.31,17.82,26.33
2024-03-31,273.87,7.96,34.41,22.15,12.37,14.74,18.58,27.3
2024-06-30,258.04,8.37,30.83,21.71,11.89,15.25,16.92,25.19
2024-09-30,270.86,8.81,30.74,20.95,12.93,15.86,17.07,25.68
2024-12-31,311.93,9.09,34.32,20.59,15.15,16.6,18.8,28.19
2025-03-31,346.49,9.23,37.54,20.57,16.85,17.32,20.01,30.14
2025-06-30,351.61,9.56,36.78,21.06,16.7,18.19,19.33,29.58
2025-09-30,338.66,9.55,35.46,20.77,16.3,19.0,17.82,27.5
2025-12-31,348.62,9.97,34.97,21.34,16.34,19.79,17.61,27.41
2026-03-31,301.06,10.74,28.03,19.88,15.15,20.72,14.53,22.84
2026-06-30,342.45,11.03,31.05,19.73,17.36,21.66,15.81,24.62
2026-09-14,375.28,,34.02,,19.02,,17.33,
2026-09-15,,,,,,,,25.95
