period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,17.91,,,5.11,3.5,,,
2006-06-30,15.04,,,5.06,2.97,,,
2006-09-30,10.58,,,5.03,2.1,,,
2006-12-31,10.18,-0.69,0.0,4.09,2.49,4.56,2.23,
2007-03-31,9.34,-0.7,0.0,4.03,2.32,4.56,2.05,
2007-06-30,12.33,-0.75,0.0,4.03,3.06,4.53,2.72,
2007-09-30,11.42,-0.8,0.0,3.9,2.92,4.55,2.51,
2007-12-31,14.68,0.13,112.96,3.95,3.72,4.7,3.12,
2008-03-31,11.39,0.08,142.36,3.78,3.01,4.85,2.35,
2008-06-30,9.52,0.03,317.3,3.75,2.54,4.9,1.94,
2008-09-30,8.59,0.03,286.34,3.63,2.37,4.99,1.72,
2008-12-31,6.39,-0.09,0.0,3.63,1.76,4.93,1.3,
2009-03-31,4.73,-0.16,0.0,3.58,1.32,4.86,0.97,
2009-06-30,6.98,-0.1,0.0,3.64,1.92,4.89,1.43,
2009-09-30,7.47,-0.07,0.0,3.7,2.02,4.8,1.55,
2009-12-31,9.0,0.07,128.52,3.75,2.4,4.75,1.89,
2010-03-31,13.36,0.18,74.22,3.79,3.53,4.78,2.79,
2010-06-30,12.08,0.26,46.47,3.61,3.35,4.94,2.45,
2010-09-30,14.43,0.6,24.06,4.01,3.6,5.44,2.65,
2010-12-31,16.2,0.8,20.25,4.29,3.78,6.01,2.7,
2011-03-31,16.29,0.85,19.17,4.4,3.71,6.45,2.53,
2011-06-30,15.98,0.81,19.72,4.51,3.54,6.64,2.41,
2011-09-30,8.75,0.46,19.02,4.4,1.99,6.39,1.37,
2011-12-31,7.96,0.21,37.9,4.42,1.8,6.04,1.32,
2012-03-31,8.0,0.12,66.67,4.43,1.8,5.79,1.38,
2012-06-30,6.94,0.06,115.67,4.45,1.56,5.55,1.25,
2012-09-30,6.67,0.03,192.77,4.47,1.49,5.42,1.23,
2012-12-31,5.42,-0.1,0.0,4.35,1.25,5.23,1.04,
2013-03-31,4.97,-0.23,0.0,4.18,1.19,4.82,1.03,
2013-06-30,6.85,-0.36,0.0,4.06,1.69,4.71,1.46,
2013-09-30,8.18,-0.38,0.0,4.05,2.02,4.87,1.68,
2013-12-31,13.42,-0.6,0.0,3.69,3.63,5.07,2.64,
2014-03-31,10.2,-0.62,0.0,3.56,2.86,5.44,1.88,
2014-06-30,8.38,-0.63,0.0,3.45,2.43,5.61,1.5,
2014-09-30,9.4,-0.71,0.0,3.36,2.8,5.69,1.65,
2014-12-31,12.1,-0.36,0.0,3.38,3.58,5.86,2.07,
2015-03-31,15.2,-0.13,0.0,3.48,4.37,6.11,2.49,
2015-06-30,12.19,0.02,609.5,3.52,3.46,6.15,1.98,
2015-09-30,10.2,0.18,56.67,3.6,2.84,5.88,1.73,
2015-12-31,9.12,0.13,70.15,3.51,2.6,5.62,1.62,
2016-03-31,10.48,-0.1,0.0,3.36,3.12,5.17,2.03,
2016-06-30,10.07,-0.13,0.0,3.36,3.0,5.11,1.97,
2016-09-30,11.6,-0.13,0.0,3.42,3.4,5.22,2.22,
2016-12-31,15.1,-0.16,0.0,3.36,4.5,5.15,2.93,
2017-03-31,16.1,-0.04,0.0,3.36,4.8,5.35,3.01,
2017-06-30,17.9,-0.04,0.0,3.37,5.32,5.46,3.28,
2017-09-30,23.6,-0.1,0.0,3.4,6.95,5.55,4.25,
2017-12-31,20.9,0.0,0.0,3.46,6.04,5.79,3.61,
2018-03-31,28.55,0.12,237.92,3.7,7.71,6.02,4.74,
2018-06-30,43.55,0.32,136.09,3.98,10.94,6.37,6.84,
2018-09-30,46.0,0.64,71.88,4.38,10.5,6.82,6.75,
2018-12-31,37.79,0.78,48.45,4.58,8.25,7.16,5.28,
2019-03-31,31.02,0.78,39.77,4.74,6.55,7.13,4.35,
2019-06-30,31.05,0.65,47.77,4.82,6.44,6.85,4.53,
2019-09-30,29.52,0.47,62.81,5.02,5.88,6.63,4.45,
2019-12-31,46.72,0.34,137.41,5.08,9.2,6.34,7.37,
2020-03-31,44.54,0.2,222.7,5.09,8.75,6.29,7.08,
2020-06-30,71.95,0.2,359.75,7.59,9.48,6.38,11.27,
2020-09-30,77.73,0.19,409.11,7.8,9.96,6.45,12.05,
2020-12-31,92.22,0.41,224.93,8.1,11.38,6.86,13.45,
2021-03-31,85.03,0.79,107.63,8.51,9.99,7.28,11.68,
2021-06-30,105.74,1.16,91.16,9.02,11.73,7.77,13.6,
2021-09-30,134.16,1.32,101.64,9.41,14.26,7.91,16.95,66.42
2021-12-31,126.98,1.26,100.78,9.65,13.15,8.0,15.87,58.79
2022-03-31,70.55,1.03,68.5,9.83,7.18,7.98,8.84,53.45
2022-06-30,54.73,0.84,65.15,10.12,5.41,8.13,6.73,60.81
2022-09-30,59.14,0.59,100.24,10.28,5.75,8.55,6.92,53.04
2022-12-31,53.75,0.57,94.3,10.53,5.1,8.89,6.05,57.49
2023-03-31,46.94,0.71,66.11,10.87,4.32,9.1,5.16,55.88
2023-06-30,54.0,0.85,63.53,11.32,4.77,9.2,5.87,62.43
