period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,10.67,,,15.35,0.7,,,
2006-06-30,10.61,,,15.45,0.69,,,
2006-09-30,11.91,,,15.85,0.75,,,
2006-12-31,12.54,2.12,5.91,16.67,0.75,29.96,0.42,
2007-03-31,12.91,2.07,6.23,16.8,0.77,30.56,0.42,
2007-06-30,14.16,2.1,6.74,17.17,0.82,31.14,0.45,
2007-09-30,15.38,1.88,8.18,17.19,0.89,31.66,0.49,
2007-12-31,15.32,1.9,8.06,17.58,0.87,32.18,0.48,
2008-03-31,12.91,1.96,6.59,17.64,0.73,32.74,0.39,
2008-06-30,12.74,2.04,6.25,17.87,0.71,33.19,0.38,
2008-09-30,11.69,2.19,5.34,17.94,0.65,33.7,0.35,
2008-12-31,12.55,-0.77,0.0,27.78,0.45,34.13,0.37,
2009-03-31,11.35,-0.76,0.0,28.36,0.4,35.17,0.32,
2009-06-30,11.71,-0.9,0.0,29.16,0.4,36.17,0.32,
2009-09-30,11.72,-1.08,0.0,29.78,0.39,37.06,0.32,
2009-12-31,13.03,1.72,7.57,29.67,0.44,37.95,0.34,
2010-03-31,12.37,1.3,9.52,29.95,0.41,38.07,0.32,
2010-06-30,11.35,0.36,31.53,29.88,0.38,38.09,0.3,
2010-09-30,14.33,0.18,79.62,29.94,0.48,37.85,0.38,
2010-12-31,15.97,0.9,17.74,30.74,0.52,37.63,0.42,
2011-03-31,17.42,1.25,13.94,31.41,0.55,37.67,0.46,
2011-06-30,17.05,2.24,7.61,32.05,0.53,37.9,0.45,
2011-09-30,17.07,2.5,6.83,30.91,0.55,38.38,0.44,
2011-12-31,18.87,0.85,22.2,30.31,0.62,39.07,0.48,
2012-03-31,18.22,0.93,19.59,31.12,0.59,39.46,0.46,
2012-06-30,21.45,1.0,21.45,31.74,0.68,39.75,0.54,
2012-09-30,22.25,1.07,20.79,32.46,0.69,40.04,0.56,
2012-12-31,21.36,0.31,68.89,29.92,0.71,40.52,0.53,
2013-03-31,24.54,0.4,61.35,30.61,0.8,40.85,0.6,
2013-06-30,25.4,0.54,47.04,30.46,0.83,41.23,0.62,
2013-09-30,23.79,0.76,31.3,31.54,0.75,41.65,0.57,
2013-12-31,25.33,4.0,6.33,33.34,0.76,41.96,0.6,
2014-03-31,24.79,4.47,5.55,3.34,7.41,40.7,0.61,
2014-06-30,25.78,4.7,5.48,3.86,6.67,37.91,0.68,
2014-09-30,26.62,4.81,5.53,4.33,6.15,34.97,0.76,
2014-12-31,25.19,2.42,10.41,3.29,7.65,32.5,0.78,
2015-03-31,26.5,2.29,11.57,2.64,10.04,31.27,0.85,
2015-06-30,25.68,2.32,11.07,3.17,8.11,31.58,0.81,
2015-09-30,24.26,2.42,10.02,3.57,6.79,32.12,0.76,
2015-12-31,26.1,4.37,5.97,4.38,5.96,32.15,0.81,
2016-03-31,30.92,4.41,7.01,4.93,6.27,32.26,0.96,
2016-06-30,32.26,3.54,9.11,5.09,6.34,31.85,1.01,
2016-09-30,30.33,3.44,8.82,5.39,5.63,31.29,0.97,
2016-12-31,31.51,3.21,9.81,5.9,5.34,30.84,1.02,
2017-03-31,29.08,2.99,9.73,6.14,4.74,30.26,0.96,
2017-06-30,26.96,3.89,6.93,6.56,4.11,30.26,0.89,
2017-09-30,30.27,3.89,7.78,6.97,4.34,30.44,0.99,
2017-12-31,32.76,7.36,4.45,10.95,2.99,30.83,1.06,
2018-03-31,29.93,7.63,3.92,12.67,2.36,31.27,0.96,
2018-06-30,31.89,7.56,4.22,12.97,2.46,31.58,1.01,
2018-09-30,34.23,7.86,4.36,13.57,2.52,31.7,1.08,
2018-12-31,36.45,3.76,9.69,13.24,2.75,31.69,1.15,
2019-03-31,38.73,3.87,10.01,13.89,2.79,31.71,1.22,
2019-06-30,37.81,3.82,9.9,14.01,2.7,31.68,1.19,
2019-09-30,40.37,3.88,10.4,14.58,2.77,31.75,1.27,
2019-12-31,41.49,4.65,8.92,15.19,2.73,31.85,1.3,
2020-03-31,36.68,4.43,8.28,14.9,2.46,31.73,1.16,
2020-06-30,38.05,4.61,8.25,15.49,2.46,31.33,1.21,
2020-09-30,41.52,4.41,9.41,16.08,2.58,31.0,1.34,
2020-12-31,41.44,4.3,9.64,16.74,2.48,30.98,1.34,
2021-03-31,41.45,4.57,9.07,17.56,2.36,31.28,1.33,
2021-06-30,40.37,4.84,8.34,18.14,2.23,32.08,1.26,
2021-09-30,39.35,5.34,7.37,18.96,2.08,32.4,1.21,10.24
2021-12-31,38.31,5.32,7.2,19.82,1.93,32.24,1.19,9.7
2022-03-31,38.01,5.14,7.39,20.28,1.87,32.29,1.18,9.34
2022-06-30,38.33,4.98,7.7,20.8,1.84,32.18,1.19,9.28
2022-09-30,29.04,4.6,6.31,21.14,1.37,32.38,0.9,7.35
2022-12-31,30.64,5.06,6.05,22.02,1.39,32.56,0.94,7.93
2023-03-31,30.72,5.14,5.98,22.41,1.37,32.39,0.95,8.31
2023-06-30,29.86,5.0,5.97,22.95,1.3,32.08,0.93,8.01
2023-09-30,26.49,4.96,5.34,23.57,1.12,31.84,0.83,6.9
2023-12-31,31.47,2.75,11.44,22.31,1.41,31.79,0.99,8.29
2024-03-31,35.62,2.67,13.34,22.74,1.57,31.8,1.12,9.15
2024-06-30,35.57,2.66,13.37,23.17,1.54,31.83,1.12,8.94
2024-09-30,39.37,2.31,17.04,23.2,1.7,31.81,1.24,9.65
2024-12-31,35.6,4.14,8.6,23.89,1.49,31.92,1.12,8.53
2025-03-31,41.12,4.2,9.79,24.2,1.7,32.03,1.28,9.72
2025-06-30,39.86,4.29,9.29,24.75,1.61,32.42,1.23,9.19
2025-09-30,41.14,4.68,8.79,25.22,1.63,32.52,1.26,9.23
2025-12-31,38.78,4.06,9.55,25.07,1.55,32.67,1.19,8.66
2026-03-31,48.63,4.11,11.83,25.06,1.94,32.93,1.48,10.21
2026-06-30,41.63,3.85,10.81,25.32,1.64,32.98,1.26,8.45
2026-09-14,51.29,,13.32,,2.03,,1.56,
2026-09-15,,,,,,,,10.12
