period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,11.67,,,4.66,2.5,,,
2006-06-30,11.9,,,5.21,2.28,,,
2006-09-30,10.87,,,5.74,1.89,,,
2006-12-31,12.29,2.01,6.11,6.38,1.93,21.75,0.56,
2007-03-31,10.1,2.09,4.83,6.79,1.49,23.02,0.44,
2007-06-30,11.62,2.5,4.65,7.63,1.52,24.22,0.48,
2007-09-30,15.21,2.35,6.47,7.93,1.92,26.49,0.57,
2007-12-31,18.15,3.13,5.8,9.45,1.92,29.92,0.61,
2008-03-31,16.24,3.83,4.24,10.74,1.51,32.98,0.49,
2008-06-30,20.74,3.84,5.4,12.04,1.72,35.75,0.58,
2008-09-30,12.81,4.46,2.87,12.83,1.0,37.2,0.34,
2008-12-31,6.88,3.17,2.17,12.98,0.53,35.59,0.19,
2009-03-31,11.62,2.16,5.38,13.3,0.87,33.33,0.35,
2009-06-30,15.92,2.08,7.65,14.19,1.12,33.05,0.48,
2009-09-30,21.94,2.4,9.14,15.66,1.4,33.32,0.66,
2009-12-31,26.52,4.19,6.33,17.5,1.52,36.47,0.73,
2010-03-31,23.42,5.68,4.12,19.35,1.21,40.71,0.58,
2010-06-30,18.12,5.93,3.06,20.39,0.89,42.4,0.43,
2010-09-30,17.05,5.52,3.09,21.35,0.8,43.04,0.4,
2010-12-31,20.36,4.63,4.4,22.24,0.92,42.28,0.48,
2011-03-31,22.4,3.54,6.33,22.91,0.98,40.54,0.55,
2011-06-30,21.85,3.09,7.07,23.55,0.93,40.54,0.54,
2011-09-30,15.45,3.26,4.74,24.46,0.63,41.67,0.37,
2011-12-31,18.59,2.91,6.39,25.2,0.74,39.55,0.47,
2012-03-31,24.86,4.25,5.85,28.41,0.88,42.35,0.59,
2012-06-30,18.31,6.58,2.78,31.17,0.59,51.53,0.36,
2012-09-30,23.41,7.63,3.07,33.07,0.71,56.17,0.42,
2012-12-31,25.85,8.38,3.09,34.22,0.76,63.3,0.41,
2013-03-31,30.76,8.02,3.84,35.39,0.87,66.32,0.46,
2013-06-30,38.14,3.98,9.58,33.3,1.15,62.07,0.61,
2013-09-30,39.09,3.97,9.85,34.97,1.12,61.78,0.63,
2013-12-31,51.92,4.38,11.85,36.2,1.43,62.58,0.83,
2014-03-31,57.01,4.33,13.17,37.31,1.53,62.52,0.91,
2014-06-30,57.57,6.68,8.62,37.79,1.52,62.45,0.92,
2014-09-30,60.7,6.39,9.5,38.3,1.58,63.16,0.96,
2014-12-31,69.57,6.46,10.77,39.15,1.78,63.15,1.1,
2015-03-31,57.81,6.54,8.84,39.94,1.45,62.89,0.92,
2015-06-30,50.12,6.18,8.11,40.08,1.25,61.27,0.82,
2015-09-30,51.14,5.63,9.08,40.42,1.27,59.2,0.86,
2015-12-31,38.98,4.86,8.02,41.19,0.95,57.04,0.68,
2016-03-31,30.99,3.55,8.73,41.24,0.75,54.06,0.57,
2016-06-30,31.35,1.0,31.35,39.24,0.8,55.04,0.57,
2016-09-30,39.12,-1.49,0.0,37.81,1.03,57.22,0.68,
2016-12-31,45.79,-1.76,0.0,37.26,1.23,59.67,0.77,
2017-03-31,55.97,-1.25,0.0,37.91,1.48,63.16,0.89,
2017-06-30,60.41,1.34,45.08,38.84,1.56,65.07,0.93,
2017-09-30,59.25,4.85,12.22,40.88,1.45,65.46,0.91,
2017-12-31,54.87,1.27,43.21,37.95,1.45,66.87,0.82,
2018-03-31,64.01,0.64,100.02,37.79,1.69,67.59,0.95,
2018-06-30,54.05,2.2,24.57,38.96,1.39,67.9,0.8,
2018-09-30,41.23,1.68,24.54,39.36,1.05,67.84,0.61,
2018-12-31,26.39,2.78,9.49,37.5,0.7,64.41,0.41,
2019-03-31,34.69,0.59,58.8,34.86,1.0,60.72,0.57,
2019-06-30,34.72,-2.58,0.0,33.79,1.03,56.5,0.61,
2019-09-30,43.54,-5.22,0.0,32.1,1.36,53.27,0.82,
2019-12-31,46.75,-4.01,0.0,31.37,1.49,52.88,0.88,
2020-03-31,30.9,-1.96,0.0,30.81,1.0,54.08,0.57,
2020-06-30,33.21,-0.84,0.0,31.63,1.05,56.02,0.59,
2020-09-30,27.49,-0.11,0.0,31.5,0.87,55.32,0.5,
2020-12-31,41.66,0.56,74.4,32.12,1.3,53.95,0.77,
2021-03-31,50.21,1.13,44.43,32.51,1.54,53.39,0.94,
2021-06-30,53.53,2.66,20.12,34.81,1.54,54.93,0.97,
2021-09-30,42.45,4.79,8.86,36.53,1.16,57.97,0.73,
2021-10-01,,,,,,,,5.66
2021-12-31,49.05,6.38,7.69,38.4,1.28,60.47,0.81,7.78
2022-03-31,37.35,5.83,6.41,38.29,0.98,61.11,0.61,
