period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,14.78,,,24.41,0.61,,,
2006-06-30,13.81,,,24.73,0.56,,,
2006-09-30,16.08,,,24.53,0.66,,,
2006-12-31,17.71,1.32,13.42,27.04,0.66,5.17,3.43,
2007-03-31,18.19,1.3,13.99,27.11,0.67,5.36,3.39,
2007-06-30,16.97,1.25,13.58,28.03,0.61,5.52,3.07,
2007-09-30,18.94,1.21,15.66,27.78,0.68,5.73,3.31,
2007-12-31,19.42,1.43,13.58,28.12,0.69,5.48,3.54,
2008-03-31,19.91,1.45,13.73,28.13,0.71,5.45,3.65,
2008-06-30,19.9,2.86,6.96,29.21,0.68,5.47,3.64,
2008-09-30,24.14,3.11,7.76,31.01,0.78,5.44,4.43,
2008-12-31,19.46,2.76,7.05,30.93,0.63,5.5,3.54,
2009-03-31,14.37,2.98,4.82,31.08,0.46,5.31,2.7,
2009-06-30,16.35,1.78,9.18,30.96,0.53,5.13,3.19,
2009-09-30,20.27,1.4,14.48,31.22,0.65,4.9,4.13,
2009-12-31,21.92,1.49,14.71,30.86,0.71,4.66,4.7,
2010-03-31,22.74,1.14,19.94,30.33,0.75,4.56,4.99,
2010-06-30,21.51,0.98,21.95,30.02,0.72,4.55,4.73,
2010-09-30,24.54,0.77,31.87,31.26,0.79,4.68,5.25,
2010-12-31,25.04,0.83,30.17,32.18,0.78,5.18,4.84,
2011-03-31,27.95,0.77,36.3,38.33,0.73,5.58,5.01,
2011-06-30,28.33,0.79,35.87,37.97,0.75,6.43,4.41,
2011-09-30,25.68,1.04,24.69,37.44,0.69,7.16,3.58,
2011-12-31,30.33,0.9,33.7,37.86,0.8,7.93,3.82,
2012-03-31,30.97,0.94,32.95,40.03,0.77,8.42,3.68,
2012-06-30,33.28,0.8,41.6,38.32,0.87,8.38,3.97,
2012-09-30,33.36,0.75,44.48,40.54,0.82,8.34,4.0,
2012-12-31,35.86,0.98,36.59,40.41,0.89,8.31,4.32,
2013-03-31,40.22,1.0,40.22,39.72,1.01,8.66,4.65,
2013-06-30,40.11,0.72,55.7,42.3,0.95,9.07,4.42,
2013-09-30,37.78,0.63,59.97,41.32,0.91,9.75,3.87,
