period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,18.34,,,12.5,1.47,,,
2006-06-30,19.41,,,12.46,1.56,,,
2006-09-30,21.1,,,13.3,1.59,,,
2006-12-31,20.9,2.47,8.46,13.57,1.54,14.08,1.48,
2007-03-31,20.4,2.53,8.06,13.75,1.48,14.46,1.41,
2007-06-30,21.0,2.59,8.11,14.05,1.49,14.88,1.41,
2007-09-30,21.46,2.59,8.29,14.3,1.5,15.38,1.4,
2007-12-31,18.36,2.38,7.71,14.45,1.27,15.85,1.16,
2008-03-31,17.88,2.32,7.71,14.67,1.22,16.28,1.1,
2008-06-30,14.74,2.18,6.76,14.48,1.02,16.5,0.89,
2008-09-30,23.55,2.03,11.6,14.14,1.67,16.25,1.45,
2008-12-31,18.68,0.7,26.68,24.2,0.77,15.47,1.21,
2009-03-31,9.19,0.66,13.92,25.12,0.37,16.99,0.54,
2009-06-30,15.69,0.7,22.41,26.0,0.6,18.42,0.85,
2009-09-30,18.26,0.77,23.71,27.55,0.66,19.84,0.92,
2009-12-31,17.52,1.75,10.01,22.08,0.79,21.91,0.8,
2010-03-31,20.24,1.64,12.34,22.7,0.89,20.78,0.97,
2010-06-30,16.67,1.62,10.29,23.21,0.72,19.67,0.85,
2010-09-30,16.39,1.66,9.87,23.87,0.69,18.75,0.87,
2010-12-31,20.26,2.21,9.17,24.3,0.83,17.74,1.14,
2011-03-31,20.8,2.43,8.56,25.46,0.82,17.39,1.2,
2011-06-30,18.49,2.58,7.16,26.13,0.71,17.09,1.08,
2011-09-30,15.96,2.7,5.91,26.41,0.6,16.74,0.95,
2011-12-31,18.33,2.82,6.5,26.92,0.68,16.44,1.11,
2012-03-31,22.86,2.9,7.88,27.7,0.83,16.6,1.38,
2012-06-30,22.54,3.02,7.46,28.33,0.8,16.67,1.35,
2012-09-30,23.42,3.18,7.37,29.5,0.79,16.87,1.39,
2012-12-31,23.34,3.36,6.95,30.18,0.77,17.04,1.37,
2013-03-31,25.44,3.53,7.21,30.89,0.82,16.92,1.5,
2013-06-30,28.6,3.69,7.75,30.89,0.93,16.88,1.69,
2013-09-30,28.83,3.8,7.59,32.01,0.9,16.68,1.73,
2013-12-31,31.9,3.89,8.2,32.53,0.98,16.39,1.95,
2014-03-31,35.19,4.02,8.75,33.51,1.05,16.25,2.17,
2014-06-30,37.45,4.05,9.25,34.58,1.08,16.2,2.31,
2014-09-30,37.22,4.08,9.12,35.09,1.06,16.39,2.27,
2014-12-31,39.6,4.1,9.66,35.83,1.11,16.57,2.39,
2015-03-31,39.55,4.09,9.67,36.79,1.07,16.77,2.36,
2015-06-30,41.17,4.11,10.02,37.06,1.11,16.91,2.43,
2015-09-30,37.83,4.14,9.14,37.98,1.0,17.13,2.21,
2015-12-31,40.33,4.12,9.79,38.08,1.06,17.26,2.34,
2016-03-31,36.15,4.07,8.88,39.11,0.92,17.59,2.06,
2016-06-30,35.65,4.05,8.8,40.14,0.89,17.93,1.99,
2016-09-30,33.62,4.03,8.34,40.6,0.83,18.21,1.85,
2016-12-31,42.2,3.99,10.58,39.97,1.06,18.41,2.29,
2017-03-31,42.91,4.03,10.65,40.52,1.06,18.6,2.31,
2017-06-30,43.01,4.1,10.49,41.5,1.04,18.85,2.28,
2017-09-30,43.12,3.9,11.06,41.97,1.03,19.06,2.26,
2017-12-31,47.77,4.1,11.65,42.54,1.12,19.43,2.46,
2018-03-31,41.51,4.03,10.3,42.25,0.98,19.75,2.1,
2018-06-30,44.24,3.93,11.26,42.5,1.04,20.0,2.21,
2018-09-30,42.25,4.23,9.99,42.38,1.0,20.44,2.07,
2018-12-31,37.34,4.28,8.72,43.02,0.87,20.74,1.8,
2019-03-31,39.51,4.52,8.74,44.05,0.9,21.4,1.85,
2019-06-30,39.07,4.84,8.07,45.26,0.86,22.18,1.76,
2019-09-30,42.11,4.63,9.1,45.54,0.92,22.97,1.83,
2019-12-31,45.35,4.09,11.09,45.47,1.0,23.63,1.92,
2020-03-31,24.45,2.9,8.43,44.75,0.55,23.01,1.06,
2020-06-30,22.25,0.59,37.72,43.72,0.51,22.04,1.01,
2020-09-30,20.52,0.37,55.46,44.05,0.47,20.93,0.98,
2020-12-31,26.46,0.43,61.54,44.81,0.59,19.92,1.33,
2021-03-31,34.37,1.44,23.86,45.48,0.76,19.55,1.76,
2021-06-30,39.92,3.83,10.42,47.01,0.85,19.72,2.02,
2021-09-30,41.09,4.3,9.56,47.8,0.86,19.53,2.1,
2021-12-31,42.64,5.08,8.39,48.92,0.87,20.13,2.12,
2022-03-31,43.26,4.97,8.7,47.94,0.9,20.22,2.14,
2022-06-30,35.16,4.34,8.1,47.4,0.74,19.94,1.76,
2022-09-30,36.35,4.03,9.02,47.01,0.77,20.85,1.74,
2022-12-31,37.56,3.27,11.49,47.53,0.79,21.75,1.73,
2023-03-31,34.22,3.59,9.53,48.69,0.7,23.92,1.43,
