period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-01-31,10.18,,,4.26,2.39,,,
2006-04-30,9.98,,,4.26,2.34,,,
2006-07-31,9.9,,,4.51,2.2,,,
2006-10-31,11.01,0.87,12.6,4.7,2.34,26.97,0.41,
2007-01-31,10.69,0.9,11.83,4.97,2.15,27.84,0.38,
2007-04-30,10.79,0.92,11.73,4.86,2.22,28.45,0.38,
2007-07-31,10.4,0.99,10.47,5.1,2.04,29.17,0.36,
2007-10-31,10.28,1.02,10.11,5.25,1.96,29.97,0.34,
2008-01-31,11.59,1.04,11.11,5.42,2.14,30.73,0.38,
2008-04-30,13.31,1.07,12.44,5.5,2.42,31.73,0.42,
2008-07-31,13.51,1.12,12.06,5.84,2.32,32.8,0.41,
2008-10-31,12.91,1.15,11.2,5.74,2.25,33.56,0.38,
2009-01-31,10.95,1.13,9.69,5.7,1.92,34.07,0.32,
2009-04-30,11.78,1.13,10.39,5.47,2.15,34.09,0.35,
2009-07-31,11.72,1.14,10.28,5.92,1.98,34.09,0.34,
2009-10-31,11.74,1.14,10.27,6.06,1.94,34.36,0.34,
2010-01-31,12.69,1.24,10.26,6.4,1.98,34.96,0.36,
2010-04-30,12.81,1.27,10.09,6.09,2.1,35.77,0.36,
2010-07-31,12.3,1.3,9.48,6.1,2.02,36.47,0.34,
2010-10-31,13.09,1.34,9.74,6.33,2.07,37.25,0.35,
2011-01-31,13.62,1.49,9.14,6.75,2.02,38.05,0.36,
2011-04-30,13.45,1.52,8.83,6.51,2.06,39.14,0.34,
2011-07-31,12.98,1.56,8.3,7.01,1.85,40.27,0.32,
2011-10-31,14.07,1.57,8.98,6.92,2.03,41.54,0.34,
2012-01-31,15.31,1.51,10.16,7.39,2.07,42.75,0.36,
2012-04-30,14.8,1.55,9.57,7.26,2.04,43.86,0.34,
2012-07-31,18.83,1.58,11.94,7.38,2.55,44.61,0.42,
2012-10-31,19.08,1.62,11.8,7.8,2.45,45.21,0.42,
2013-01-31,17.89,1.67,10.69,8.22,2.18,45.98,0.39,
2013-04-30,20.0,1.69,11.84,7.69,2.6,46.44,0.43,
2013-07-31,20.18,1.71,11.8,7.83,2.58,47.07,0.43,
2013-10-31,19.99,1.73,11.56,8.07,2.48,47.63,0.42,
2014-01-31,19.57,1.63,12.03,8.39,2.33,48.25,0.41,
2014-04-30,21.02,1.62,13.0,8.07,2.6,48.59,0.43,
2014-07-31,19.52,1.62,12.03,8.56,2.28,49.11,0.4,
2014-10-31,20.37,1.63,12.52,8.68,2.35,49.57,0.41,
2015-01-31,22.82,1.68,13.56,8.87,2.57,49.92,0.46,
2015-04-30,21.09,1.66,12.73,8.26,2.55,49.92,0.42,
2015-07-31,19.57,1.6,12.26,8.51,2.3,49.97,0.39,
2015-10-31,15.67,1.56,10.07,8.58,1.83,49.89,0.31,
2016-01-31,18.32,1.52,12.03,8.81,2.08,49.8,0.37,
2016-04-30,18.6,1.51,12.34,8.29,2.24,50.25,0.37,
2016-07-31,20.44,1.55,13.19,8.53,2.4,50.76,0.4,
2016-10-31,19.75,1.53,12.88,8.71,2.27,51.31,0.38,
2017-01-31,18.96,1.46,12.99,8.81,2.15,51.9,0.37,
2017-04-30,21.51,1.47,14.67,8.39,2.56,52.51,0.41,
2017-07-31,23.04,1.38,16.66,8.8,2.62,53.2,0.43,
2017-10-31,25.31,1.25,20.25,8.86,2.86,54.2,0.47,
2018-01-31,31.06,1.09,28.41,9.13,3.4,55.26,0.56,
2018-04-30,25.93,1.0,25.93,8.85,2.93,56.19,0.46,
2018-07-31,26.32,0.58,45.13,8.38,3.14,57.07,0.46,
2018-10-31,29.75,0.58,51.01,9.1,3.27,57.52,0.52,
2019-01-31,28.59,0.75,37.95,9.22,3.1,58.13,0.49,
2019-04-30,30.85,0.96,32.25,8.72,3.54,58.66,0.53,
2019-07-31,33.28,1.47,22.59,9.03,3.69,59.33,0.56,
2019-10-31,35.53,1.66,21.36,9.19,3.86,60.08,0.59,
2020-01-31,34.85,1.73,20.14,9.6,3.63,60.84,0.57,
2020-04-30,37.16,1.75,21.2,8.72,4.26,62.28,0.6,
2020-07-31,39.74,2.09,19.01,9.55,4.16,63.25,0.63,
2020-10-31,42.78,2.31,18.55,10.3,4.15,64.1,0.67,
2021-01-31,43.48,1.58,27.46,10.34,4.2,65.44,0.66,
2021-04-30,43.48,1.44,30.19,10.05,4.33,65.98,0.66,
2021-07-31,44.47,1.19,37.37,10.41,4.27,66.58,0.67,
2021-10-31,46.79,0.96,48.74,10.89,4.3,67.57,0.69,23.56
2022-01-31,43.95,1.62,27.13,11.09,3.96,67.93,0.65,21.06
2022-04-30,48.28,1.54,31.28,10.38,4.65,68.7,0.7,22.69
2022-07-31,41.83,1.66,25.15,10.48,3.99,70.54,0.59,22.37
2022-10-31,45.28,1.07,42.18,9.89,4.58,72.58,0.62,22.92
2023-01-31,45.94,1.42,32.35,10.37,4.43,74.42,0.62,22.76
2023-04-30,48.41,1.38,34.99,9.8,4.94,76.13,0.64,24.66
2023-07-31,51.45,1.73,29.8,10.57,4.87,77.5,0.66,25.16
2023-10-31,52.78,2.01,26.3,10.59,4.98,78.54,0.67,24.2
2024-01-31,53.57,1.91,28.05,11.22,4.78,79.92,0.67,24.21
2024-04-30,57.92,2.33,24.86,10.94,5.29,81.13,0.71,25.12
2024-07-31,67.22,1.92,35.01,11.27,5.96,82.15,0.82,27.8
2024-10-31,80.48,2.43,33.12,11.73,6.86,83.3,0.97,32.01
2025-01-31,96.61,2.41,40.09,12.14,7.96,84.26,1.15,36.96
2025-04-30,95.98,2.34,41.02,11.31,8.48,84.85,1.13,37.11
2025-07-31,96.94,2.66,36.44,12.11,8.01,86.03,1.13,36.79
2025-10-31,100.34,2.86,35.08,12.82,7.83,87.45,1.15,36.67
2026-01-31,118.39,2.73,43.36,13.29,8.91,88.87,1.33,41.65
2026-04-30,131.36,2.84,46.25,12.65,10.39,90.53,1.45,45.24
2026-07-31,110.93,2.76,40.19,13.16,8.43,91.95,1.21,37.34
2026-09-14,109.08,,39.52,,8.29,,1.19,
