period_end,price,eps,pe,bvps,pb,sps,ps,fwd_pe
2006-03-31,30.38,,,18.59,1.63,,,
2006-06-30,30.78,,,19.47,1.58,,,
2006-09-30,33.82,,,19.99,1.69,,,
2006-12-31,38.79,6.62,5.86,19.87,1.95,62.85,0.62,
2007-03-31,38.36,6.87,5.58,20.26,1.89,63.59,0.6,
2007-06-30,42.83,6.98,6.14,20.98,2.04,64.66,0.66,
2007-09-30,47.45,6.91,6.87,21.71,2.19,66.33,0.72,
2007-12-31,48.21,7.26,6.64,22.62,2.13,72.1,0.67,
2008-03-31,43.71,7.66,5.71,23.3,1.88,78.56,0.56,
2008-06-30,45.75,8.05,5.68,24.03,1.9,87.21,0.52,
2008-09-30,40.52,9.2,4.4,24.63,1.65,95.32,0.43,
2008-12-31,41.89,8.66,4.84,23.62,1.77,90.69,0.46,
2009-03-31,35.92,7.56,4.75,22.82,1.57,81.88,0.44,
2009-06-30,37.09,6.15,6.03,23.13,1.6,71.02,0.52,
2009-09-30,36.62,4.28,8.56,23.62,1.55,61.55,0.6,
2009-12-31,36.61,3.98,9.2,24.41,1.5,63.86,0.57,
2010-03-31,36.2,4.39,8.25,25.05,1.45,70.0,0.52,
2010-06-30,31.05,5.18,5.99,28.55,1.09,74.27,0.42,
2010-09-30,33.86,5.64,6.0,29.86,1.13,75.87,0.45,
2010-12-31,40.32,6.22,6.48,30.66,1.31,78.82,0.51,
2011-03-31,46.64,7.03,6.63,31.98,1.46,82.7,0.56,
2011-06-30,45.37,7.61,5.96,33.29,1.36,88.69,0.51,
2011-09-30,40.76,8.3,4.91,33.84,1.2,95.84,0.43,
2011-12-31,47.85,8.42,5.68,33.96,1.41,99.3,0.48,
2012-03-31,49.23,8.28,5.95,35.1,1.4,102.68,0.48,
2012-06-30,48.9,9.51,5.14,36.39,1.34,104.48,0.47,
2012-09-30,52.6,9.47,5.55,37.8,1.39,103.65,0.51,
2012-12-31,50.1,9.7,5.16,38.13,1.31,103.36,0.48,
2013-03-31,52.49,9.82,5.35,38.93,1.35,101.22,0.52,
2013-06-30,52.99,7.96,6.66,38.98,1.36,97.93,0.54,
2013-09-30,50.82,7.66,6.63,40.16,1.27,98.45,0.52,
2013-12-31,60.18,7.37,8.16,41.64,1.45,98.88,0.61,
2014-03-31,58.49,7.35,7.96,42.59,1.37,99.28,0.59,
2014-06-30,60.7,7.85,7.73,44.11,1.38,101.1,0.6,
2014-09-30,57.1,7.95,7.18,44.27,1.29,100.64,0.57,
2014-12-31,56.53,7.6,7.44,43.1,1.31,95.94,0.59,
2015-03-31,52.37,6.67,7.85,42.44,1.23,87.43,0.6,
2015-06-30,51.68,5.62,9.2,42.94,1.2,79.19,0.65,
2015-09-30,46.62,4.74,9.83,42.48,1.1,70.16,0.66,
2015-12-31,49.3,3.85,12.81,42.54,1.16,59.35,0.83,
2016-03-31,53.35,3.11,17.15,43.04,1.24,54.95,0.97,
