ticker,name,as_of,pe,fwd_pe,pb,peg,mcap
AAPL,Apple,2026-09-14,38.24,36.18,45.26,3.25,4.86T
ADI,Analog Devices,2026-09-14,42.83,22.69,5.21,0.89,174.94B
ALAB,Astera Labs,2026-09-14,127.25,45.81,25.84,0.87,44.59B
AMAT,Applied Materials,2026-09-14,36.63,24.17,13.14,0.78,336.65B
AMD,Advanced Micro Devices,2026-09-14,126.84,44.63,11.98,0.67,805.48B
AMZN,Amazon.com,2026-09-14,20.4,27.37,4.96,1.32,2.73T
ANET,Arista Networks,2026-09-14,59.43,40.43,16.01,1.71,236.87B
ARM,Arm Holdings,2026-09-14,243.89,100.1,29.58,2.52,255.28B
ASML,ASML Holding,2026-09-14,49.04,,0.0,n/a,615.10B
AVGO,Broadcom,2026-09-14,43.97,19.91,16.51,0.36,1.65T
BE,Bloom Energy,2026-09-14,338.22,72.8,45.96,n/a,75.71B
CDNS,Cadence Design Systems,2026-09-14,55.48,32.51,11.21,2.16,76.85B
GEV,GE Vernova,2026-09-14,25.12,41.77,17.76,1.08,232.98B
GLW,Corning,2026-09-14,65.87,38.78,9.91,1.17,123.70B
GOOG,Alphabet,2026-09-14,17.36,,6.6,n/a,4.25T
INTC,Intel,2026-09-14,0.0,58.25,4.75,0.84,510.69B
KLAC,KLA Corporation,2026-09-14,46.2,31.0,34.8,1.54,220.92B
LITE,Lumentum Holdings,2026-09-14,0.0,38.53,15.93,0.36,74.90B
LRCX,Lam Research,2026-09-14,47.48,28.76,27.44,1.08,342.22B
MCHP,Microchip Technology,2026-09-14,105.12,18.13,6.02,0.40,38.81B
MPWR,Monolithic Power Systems,2026-09-14,69.79,35.69,14.42,1.04,56.18B
MRVL,Marvell Technology,2026-09-14,72.46,40.1,10.35,0.88,191.89B
MSFT,Microsoft,2026-09-14,28.16,25.58,8.49,1.59,3.75T
MU,Micron Technology,2026-09-14,20.92,6.4,10.36,0.04,1.04T
NOW,ServiceNow,2026-09-14,88.97,31.42,11.76,1.28,147.17B
NVDA,NVIDIA,2026-09-14,26.67,17.51,22.25,0.34,5.09T
NXPI,NXP Semiconductors,2026-09-14,19.12,13.41,4.96,0.71,56.54B
ON,ON Semiconductor,2026-09-14,47.45,18.47,3.85,0.53,27.89B
QCOM,QUALCOMM,2026-09-14,20.57,19.43,6.88,3.15,192.41B
SKHY,SK hynix,2026-09-14,0.0,,0.0,n/a,918.27B
SNDK,Sandisk,2026-09-14,21.04,7.25,14.7,0.18,227.24B
SNPS,Synopsys,2026-09-14,66.8,22.55,2.35,1.09,73.10B
STM,STMicroelectronics,2026-09-14,93.69,,2.36,n/a,42.97B
STX,Seagate Technology Holdings,2026-09-14,57.95,22.51,84.38,0.34,183.18B
SWKS,Skyworks Solutions,2026-09-14,40.86,16.77,2.08,4.39,11.93B
TER,Teradyne,2026-09-14,45.22,33.75,14.82,0.94,51.47B
TSM,Taiwan Semiconductor Manufacturing Company,2026-09-14,30.68,,10.56,n/a,1.94T
TXN,Texas Instruments,2026-09-14,40.03,27.22,13.36,1.15,240.57B
WDC,Western Digital,2026-09-14,17.58,21.25,17.39,0.30,153.93B
